# Delay scan
# MW at 19 dB, 18.5125 GHz x2, 18.6 dB
# Laser at 365819 GHz, -1st Resonance.
# PM at 0.5 (44 dB)
# 0 mV static
i	d	s	sb	n	nb
4782.000	76087.000	0.223	-0.021	-0.329	0.162
4781.000	76097.000	0.206	-0.021	-0.329	0.162
4780.000	76107.000	0.205	-0.021	-0.329	0.162
4779.000	76117.000	0.205	-0.021	-0.329	0.162
4778.000	76127.000	0.212	-0.021	-0.329	0.162
4777.000	76137.000	0.206	-0.021	-0.329	0.162
4776.000	76147.000	0.184	-0.021	-0.329	0.162
4775.000	76157.000	0.195	-0.021	-0.329	0.162
4774.000	76167.000	0.218	-0.021	-0.329	0.162
4773.000	76177.000	0.234	-0.021	-0.329	0.162
4772.000	76187.000	0.213	-0.021	-0.329	0.162
4771.000	76197.000	0.166	-0.021	-0.329	0.162
4770.000	76207.000	0.189	-0.021	-0.329	0.162
4769.000	76217.000	0.218	-0.021	-0.329	0.162
4768.000	76227.000	0.217	-0.021	-0.329	0.162
4767.000	76237.000	0.224	-0.021	-0.329	0.162
4766.000	76247.000	0.240	-0.021	-0.329	0.162
4765.000	76257.000	0.196	-0.021	-0.329	0.162
4764.000	76267.000	0.191	-0.021	-0.329	0.162
4763.000	76277.000	0.207	-0.021	-0.329	0.162
4762.000	76287.000	0.234	-0.021	-0.329	0.162
4761.000	76297.000	0.201	-0.021	-0.329	0.162
4760.000	76307.000	0.191	-0.021	-0.329	0.162
4759.000	76317.000	0.212	-0.021	-0.329	0.162
4758.000	76327.000	0.204	-0.021	-0.329	0.162
4757.000	76337.000	0.224	-0.021	-0.329	0.162
4756.000	76347.000	0.238	-0.021	-0.329	0.162
4755.000	76357.000	0.226	-0.021	-0.329	0.162
4754.000	76367.000	0.227	-0.021	-0.329	0.162
4753.000	76377.000	0.204	-0.021	-0.329	0.162
4752.000	76387.000	0.190	-0.021	-0.329	0.162
4751.000	76397.000	0.222	-0.021	-0.329	0.162
4750.000	76407.000	0.243	-0.021	-0.329	0.162
4749.000	76417.000	0.256	-0.021	-0.329	0.162
4748.000	76427.000	0.240	-0.021	-0.329	0.162
4747.000	76437.000	0.261	-0.021	-0.329	0.162
4746.000	76447.000	0.214	-0.021	-0.329	0.162
4745.000	76457.000	0.210	-0.021	-0.329	0.162
4744.000	76467.000	0.193	-0.021	-0.329	0.162
4743.000	76477.000	0.180	-0.021	-0.329	0.162
4742.000	76487.000	0.203	-0.021	-0.329	0.162
4741.000	76497.000	0.209	-0.021	-0.329	0.162
4740.000	76507.000	0.203	-0.021	-0.329	0.162
4739.000	76517.000	0.198	-0.021	-0.329	0.162
4738.000	76527.000	0.199	-0.021	-0.329	0.162
4737.000	76537.000	0.218	-0.021	-0.329	0.162
4736.000	76547.000	0.239	-0.021	-0.329	0.162
4735.000	76557.000	0.219	-0.021	-0.329	0.162
4734.000	76567.000	0.219	-0.021	-0.329	0.162
4733.000	76577.000	0.230	-0.021	-0.329	0.162
4732.000	76587.000	0.215	-0.021	-0.329	0.162
4731.000	76597.000	0.255	-0.021	-0.329	0.162
4730.000	76607.000	0.239	-0.021	-0.329	0.162
4729.000	76617.000	0.207	-0.021	-0.329	0.162
4728.000	76627.000	0.211	-0.021	-0.329	0.162
4727.000	76637.000	0.197	-0.021	-0.329	0.162
4726.000	76647.000	0.213	-0.021	-0.329	0.162
4725.000	76657.000	0.183	-0.021	-0.329	0.162
4724.000	76667.000	0.188	-0.021	-0.329	0.162
