# Filename	C:\Users\labuser\Documents\Data\2018-11-05\42_fscan.txt
# Date	2018-11-6-15:40
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 25 dB. Laser at -100 GHz with -10 GHz Limit. MW Pulse from Laser -200 ns to -100 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18480000000.000	0.152	0.252	0.258
18485000000.000	0.152	0.270	0.255
18490000000.000	0.152	0.247	0.246
18495000000.000	0.152	0.218	0.261
18500000000.000	0.152	0.225	0.231
18505000000.000	0.152	0.168	0.264
18510000000.000	0.152	0.159	0.253
18515000000.000	0.152	0.169	0.267
18520000000.000	0.152	0.203	0.238
18525000000.000	0.152	0.247	0.250
18530000000.000	0.152	0.225	0.263
18535000000.000	0.152	0.217	0.242
18540000000.000	0.152	0.244	0.257
18480500000.000	0.152	0.249	0.249
18485500000.000	0.152	0.258	0.268
18490500000.000	0.152	0.251	0.235
18495500000.000	0.152	0.228	0.274
18500500000.000	0.152	0.228	0.244
18505500000.000	0.152	0.187	0.273
18510500000.000	0.152	0.156	0.251
18515500000.000	0.152	0.185	0.244
18520500000.000	0.152	0.222	0.257
18525500000.000	0.152	0.226	0.241
18530500000.000	0.152	0.211	0.235
18535500000.000	0.152	0.204	0.242
18481000000.000	0.152	0.253	0.258
18486000000.000	0.152	0.210	0.262
18491000000.000	0.152	0.235	0.231
18496000000.000	0.152	0.218	0.254
18501000000.000	0.152	0.217	0.232
18506000000.000	0.152	0.181	0.249
18511000000.000	0.152	0.147	0.232
18516000000.000	0.152	0.169	0.243
18521000000.000	0.152	0.222	0.259
18526000000.000	0.152	0.222	0.230
18531000000.000	0.152	0.251	0.238
18536000000.000	0.152	0.237	0.238
18481500000.000	0.152	0.249	0.223
18486500000.000	0.152	0.206	0.242
18491500000.000	0.152	0.236	0.273
18496500000.000	0.152	0.220	0.245
18501500000.000	0.152	0.219	0.259
18506500000.000	0.152	0.174	0.259
18511500000.000	0.152	0.144	0.234
18516500000.000	0.152	0.179	0.255
18521500000.000	0.152	0.174	0.247
18526500000.000	0.152	0.222	0.253
18531500000.000	0.152	0.214	0.245
18536500000.000	0.152	0.234	0.226
18482000000.000	0.152	0.234	0.247
18487000000.000	0.152	0.245	0.253
18492000000.000	0.152	0.248	0.243
18497000000.000	0.152	0.207	0.252
18502000000.000	0.152	0.217	0.241
18507000000.000	0.152	0.179	0.278
18512000000.000	0.152	0.158	0.213
18517000000.000	0.152	0.169	0.260
18522000000.000	0.152	0.211	0.247
18527000000.000	0.152	0.219	0.223
18532000000.000	0.152	0.239	0.236
18537000000.000	0.152	0.231	0.230
18482500000.000	0.152	0.227	0.245
18487500000.000	0.152	0.219	0.242
18492500000.000	0.152	0.218	0.289
18497500000.000	0.152	0.217	0.246
18502500000.000	0.152	0.215	0.245
18507500000.000	0.152	0.176	0.262
18512500000.000	0.152	0.165	0.236
18517500000.000	0.152	0.183	0.241
18522500000.000	0.152	0.202	0.230
18527500000.000	0.152	0.217	0.241
18532500000.000	0.152	0.224	0.255
18537500000.000	0.152	0.260	0.248
18483000000.000	0.152	0.263	0.241
18488000000.000	0.152	0.255	0.228
18493000000.000	0.152	0.228	0.249
18498000000.000	0.152	0.213	0.248
18503000000.000	0.152	0.192	0.227
18508000000.000	0.152	0.187	0.238
18513000000.000	0.152	0.150	0.246
18518000000.000	0.152	0.186	0.243
18523000000.000	0.152	0.214	0.252
18528000000.000	0.152	0.248	0.227
18533000000.000	0.152	0.223	0.259
18538000000.000	0.152	0.220	0.276
18483500000.000	0.152	0.239	0.252
18488500000.000	0.152	0.239	0.258
18493500000.000	0.152	0.229	0.247
18498500000.000	0.152	0.225	0.272
18503500000.000	0.152	0.199	0.240
18508500000.000	0.152	0.172	0.259
18513500000.000	0.152	0.170	0.241
18518500000.000	0.152	0.198	0.234
18523500000.000	0.152	0.219	0.239
18528500000.000	0.152	0.236	0.240
18533500000.000	0.152	0.265	0.227
18538500000.000	0.152	0.257	0.230
18484000000.000	0.152	0.218	0.238
18489000000.000	0.152	0.230	0.254
18494000000.000	0.152	0.223	0.263
18499000000.000	0.152	0.227	0.256
18504000000.000	0.152	0.226	0.239
18509000000.000	0.152	0.174	0.239
18514000000.000	0.152	0.172	0.225
18519000000.000	0.152	0.184	0.244
18524000000.000	0.152	0.230	0.261
18529000000.000	0.152	0.247	0.282
18534000000.000	0.152	0.236	0.264
18539000000.000	0.152	0.241	0.237
18484500000.000	0.152	0.236	0.257
18489500000.000	0.152	0.223	0.252
18494500000.000	0.152	0.213	0.234
18499500000.000	0.152	0.231	0.262
18504500000.000	0.152	0.182	0.260
18509500000.000	0.152	0.165	0.249
18514500000.000	0.152	0.167	0.256
18519500000.000	0.152	0.211	0.249
18524500000.000	0.152	0.223	0.250
18529500000.000	0.152	0.222	0.262
18534500000.000	0.152	0.235	0.255
18539500000.000	0.152	0.243	0.237
