# Filename	C:\Users\labuser\Documents\Data\2018-09-29\3_fscan.txt
# Date	2018-9-30-0:10
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using MW ionization at -180 GHz. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field 100 ns after lasers, for 300 ns. Variable attenuation at -19 dB.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18480000000.000	0.003	0.110	0.104
18481000000.000	0.003	0.099	0.101
18482000000.000	0.003	0.112	0.114
18483000000.000	0.003	0.090	0.112
18484000000.000	0.003	0.101	0.104
18485000000.000	0.003	0.102	0.113
18486000000.000	0.003	0.105	0.113
18487000000.000	0.003	0.106	0.102
18488000000.000	0.003	0.104	0.102
18489000000.000	0.003	0.105	0.096
18490000000.000	0.003	0.100	0.108
18491000000.000	0.003	0.100	0.105
18492000000.000	0.003	0.101	0.103
18493000000.000	0.003	0.095	0.103
18494000000.000	0.003	0.096	0.097
18495000000.000	0.003	0.099	0.093
18496000000.000	0.003	0.101	0.098
18497000000.000	0.003	0.103	0.103
18498000000.000	0.003	0.097	0.103
18499000000.000	0.003	0.096	0.105
18500000000.000	0.003	0.095	0.107
18501000000.000	0.003	0.093	0.128
18502000000.000	0.003	0.088	0.119
18503000000.000	0.003	0.080	0.100
18504000000.000	0.003	0.081	0.106
18505000000.000	0.003	0.073	0.090
18506000000.000	0.003	0.081	0.099
18507000000.000	0.003	0.063	0.094
18508000000.000	0.003	0.060	0.110
18509000000.000	0.003	0.065	0.101
18510000000.000	0.003	0.061	0.103
18511000000.000	0.003	0.065	0.114
18512000000.000	0.003	0.057	0.104
18513000000.000	0.003	0.067	0.110
18514000000.000	0.003	0.060	0.099
18515000000.000	0.003	0.068	0.106
18516000000.000	0.003	0.072	0.105
18517000000.000	0.003	0.070	0.108
18518000000.000	0.003	0.085	0.108
18519000000.000	0.003	0.092	0.114
18520000000.000	0.003	0.087	0.089
18521000000.000	0.003	0.096	0.095
18522000000.000	0.003	0.096	0.114
18523000000.000	0.003	0.100	0.100
18524000000.000	0.003	0.098	0.108
18525000000.000	0.003	0.110	0.113
18526000000.000	0.003	0.102	0.108
18527000000.000	0.003	0.116	0.112
18528000000.000	0.003	0.116	0.103
18529000000.000	0.003	0.108	0.091
18530000000.000	0.003	0.098	0.107
18531000000.000	0.003	0.108	0.113
18532000000.000	0.003	0.104	0.093
18533000000.000	0.003	0.092	0.113
18534000000.000	0.003	0.102	0.090
18535000000.000	0.003	0.114	0.093
