# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. HP 214B. Short (250 ns) integration gate.
# Type:	Frequency
# Hittite Freq:	18513.1 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
0	65.18	0.063337	0.0453709	0.0168113	0.00884845	
1	64.78	0.063337	0.0453709	0.0152657	0.00884845	
2	64.48	0.063337	0.0453709	0.0152329	0.00884845	
3	64.28	0.063337	0.0453709	0.0142135	0.00884845	
4	64.08	0.063337	0.0453709	0.0165811	0.00884845	
5	63.88	0.063337	0.0453709	0.0194091	0.00884845	
6	63.68	0.063337	0.0453709	0.0188172	0.00884845	
7	63.28	0.063337	0.0453709	0.0175676	0.00884845	
8	63.18	0.063337	0.0453709	0.0152	0.00884845	
9	62.88	0.063337	0.0453709	0.0206587	0.00884845	
10	62.68	0.063337	0.0453709	0.0237827	0.00884845	
11	62.18	0.063337	0.0453709	0.0213164	0.00884845	
12	61.78	0.063337	0.0453709	0.0188172	0.00884845	
13	61.38	0.063337	0.0453709	0.0198366	0.00884845	
14	60.98	0.063337	0.0453709	0.0220398	0.00884845	
15	60.68	0.063337	0.0453709	0.0200339	0.00884845	
16	60.18	0.063337	0.0453709	0.0229935	0.00884845	
17	59.68	0.063337	0.0453709	0.0235854	0.00884845	
18	59.58	0.063337	0.0453709	0.0228948	0.00884845	
19	58.48	0.063337	0.0453709	0.02398	0.00884845	
20	58.08	0.063337	0.0453709	0.0278931	0.00884845	
21	57.78	0.063337	0.0453709	0.0272684	0.00884845	
22	57.08	0.063337	0.0453709	0.0248021	0.00884845	
23	56.38	0.063337	0.0453709	0.0278274	0.00884845	
24	55.88	0.063337	0.0453709	0.0300964	0.00884845	
25	54.68	0.063337	0.0453709	0.0280576	0.00884845	
26	54.28	0.063337	0.0453709	0.0250651	0.00884845	
27	53.48	0.063337	0.0453709	0.0334834	0.00884845	
28	53.08	0.063337	0.0453709	0.0249994	0.00884845	
29	52.38	0.063337	0.0453709	0.0255584	0.00884845	
30	51.88	0.063337	0.0453709	0.02227	0.00884845	
31	51.08	0.063337	0.0453709	0.026512	0.00884845	
32	50.38	0.063337	0.0453709	0.0289126	0.00884845	
33	49.88	0.063337	0.0453709	0.0245061	0.00884845	
34	48.58	0.063337	0.0453709	0.0284851	0.00884845	
35	47.78	0.063337	0.0453709	0.0232894	0.00884845	
36	47.08	0.063337	0.0453709	0.0239142	0.00884845	
37	46.18	0.063337	0.0453709	0.0271368	0.00884845	
38	45.58	0.063337	0.0453709	0.0272684	0.00884845	
39	44.58	0.063337	0.0453709	0.026249	0.00884845	
40	43.68	0.063337	0.0453709	0.0249007	0.00884845	
41	42.78	0.063337	0.0453709	0.0218096	0.00884845	
42	42.08	0.063337	0.0453709	0.0200339	0.00884845	
43	40.98	0.063337	0.0453709	0.019146	0.00884845	
44	40.18	0.063337	0.0453709	0.0198037	0.00884845	
45	39.28	0.063337	0.0453709	0.0189159	0.00884845	
46	38.58	0.063337	0.0453709	0.017732	0.00884845	
47	37.48	0.063337	0.0453709	0.0168771	0.00884845	
48	36.78	0.063337	0.0453709	0.0196393	0.00884845	
49	35.88	0.063337	0.0453709	0.0173045	0.00884845	
50	35.28	0.063337	0.0453709	0.016318	0.00884845	
51	33.78	0.063337	0.0453709	0.0185541	0.00884845	
52	33.38	0.063337	0.0453709	0.0198037	0.00884845	
53	32.68	0.063337	0.0453709	0.0206258	0.00884845	
54	32.08	0.063337	0.0453709	0.0144765	0.00884845	
55	31.18	0.063337	0.0453709	0.0138517	0.00884845	
56	30.28	0.063337	0.0453709	0.0157919	0.00884845	
57	29.58	0.063337	0.0453709	0.0111881	0.00884845	
58	29.48	0.063337	0.0453709	0.0150684	0.00884845	
59	27.88	0.063337	0.0453709	0.012931	0.00884845	
60	27.18	0.063337	0.0453709	0.0152986	0.00884845	
61	26.08	0.063337	0.0453709	0.0139175	0.00884845	
62	25.38	0.063337	0.0453709	0.0148711	0.00884845	
63	24.38	0.063337	0.0453709	0.0104318	0.00884845	
64	23.28	0.063337	0.0453709	0.0104976	0.00884845	
65	22.48	0.063337	0.0453709	0.0107606	0.00884845	
66	21.78	0.063337	0.0453709	0.0086232	0.00884845	
67	20.98	0.063337	0.0453709	0.0129968	0.00884845	
68	20.38	0.063337	0.0453709	0.00809705	0.00884845	
69	19.28	0.063337	0.0453709	0.00625556	0.00884845	
70	18.68	0.063337	0.0453709	0.0102345	0.00884845	
71	17.88	0.063337	0.0453709	0.0144436	0.00884845	
72	17.18	0.063337	0.0453709	0.0119116	0.00884845	
73	15.78	0.063337	0.0453709	0.0115499	0.00884845	
74	15.18	0.063337	0.0453709	0.0121418	0.00884845	
75	14.78	0.063337	0.0453709	0.0125693	0.00884845	
76	13.78	0.063337	0.0453709	0.0131283	0.00884845	
77	12.98	0.063337	0.0453709	0.0144108	0.00884845	
78	11.88	0.063337	0.0453709	0.0113854	0.00884845	
79	11.18	0.063337	0.0453709	0.0124706	0.00884845	
80	10.28	0.063337	0.0453709	0.0126021	0.00884845	
81	9.48	0.063337	0.0453709	0.0158576	0.00884845	
82	8.78	0.063337	0.0453709	0.0128652	0.00884845	
83	7.58	0.063337	0.0453709	0.0109908	0.00884845	
84	6.58	0.063337	0.0453709	0.0153644	0.00884845	
85	5.98	0.063337	0.0453709	0.0117143	0.00884845	
86	5.38	0.063337	0.0453709	0.00905069	0.00884845	
87	4.48	0.063337	0.0453709	0.0152	0.00884845	
88	3.78	0.063337	0.0453709	0.018883	0.00884845	
89	2.88	0.063337	0.0453709	0.013786	0.00884845	
90	2.28	0.063337	0.0453709	0.0156275	0.00884845	
91	1.18	0.063337	0.0453709	0.0167784	0.00884845	
92	-0.02	0.063337	0.0453709	0.0215466	0.00884845	
93	-0.72	0.063337	0.0453709	0.0155617	0.00884845	
94	-1.52	0.063337	0.0453709	0.0170415	0.00884845	
95	-2.52	0.063337	0.0453709	0.0210204	0.00884845	
96	-3.02	0.063337	0.0453709	0.0209218	0.00884845	
97	-3.92	0.063337	0.0453709	0.0225331	0.00884845	
98	-4.92	0.063337	0.0453709	0.0220069	0.00884845	
99	-5.72	0.063337	0.0453709	0.0339109	0.00884845	
100	-6.42	0.063337	0.0453709	0.027663	0.00884845	
101	-7.42	0.063337	0.0453709	0.0308198	0.00884845	
102	-8.42	0.063337	0.0453709	0.035851	0.00884845	
103	-8.92	0.063337	0.0453709	0.0386791	0.00884845	
104	-9.62	0.063337	0.0453709	0.0437103	0.00884845	
105	-11.12	0.063337	0.0453709	0.0421319	0.00884845	
106	-11.72	0.063337	0.0453709	0.0465712	0.00884845	
107	-12.42	0.063337	0.0453709	0.0469987	0.00884845	
108	-13.12	0.063337	0.0453709	0.0457491	0.00884845	
109	-13.92	0.063337	0.0453709	0.0572913	0.00884845	
110	-15.02	0.063337	0.0453709	0.0512078	0.00884845	
111	-15.62	0.063337	0.0453709	0.0596919	0.00884845	
112	-16.32	0.063337	0.0453709	0.0552197	0.00884845	
113	-16.72	0.063337	0.0453709	0.0576859	0.00884845	
114	-17.52	0.063337	0.0453709	0.0606126	0.00884845	
115	-18.42	0.063337	0.0453709	0.0604482	0.00884845	
116	-19.02	0.063337	0.0453709	0.062191	0.00884845	
117	-19.92	0.063337	0.0453709	0.0683732	0.00884845	
118	-21.12	0.063337	0.0453709	0.0614018	0.00884845	
119	-21.92	0.063337	0.0453709	0.0629803	0.00884845	
120	-22.42	0.063337	0.0453709	0.0703791	0.00884845	
121	-23.52	0.063337	0.0453709	0.0723193	0.00884845	
122	-24.22	0.063337	0.0453709	0.0696886	0.00884845	
123	-25.32	0.063337	0.0453709	0.0716287	0.00884845	
124	-26.22	0.063337	0.0453709	0.0706093	0.00884845	
125	-27.22	0.063337	0.0453709	0.0758707	0.00884845	
126	-28.12	0.063337	0.0453709	0.0782384	0.00884845	
127	-29.32	0.063337	0.0453709	0.0821844	0.00884845	
128	-30.32	0.063337	0.0453709	0.095042	0.00884845	
129	-31.02	0.063337	0.0453709	0.0890901	0.00884845	
130	-31.62	0.063337	0.0453709	0.0821187	0.00884845	
131	-32.92	0.063337	0.0453709	0.106288	0.00884845	
132	-33.82	0.063337	0.0453709	0.100599	0.00884845	
133	-34.52	0.063337	0.0453709	0.105137	0.00884845	
134	-35.42	0.063337	0.0453709	0.110399	0.00884845	
135	-36.52	0.063337	0.0453709	0.110629	0.00884845	
136	-37.12	0.063337	0.0453709	0.0934965	0.00884845	
137	-38.12	0.063337	0.0453709	0.0994156	0.00884845	
138	-39.02	0.063337	0.0453709	0.0938582	0.00884845	
139	-39.92	0.063337	0.0453709	0.10961	0.00884845	
140	-40.92	0.063337	0.0453709	0.0967191	0.00884845	
141	-41.92	0.063337	0.0453709	0.110366	0.00884845	
142	-42.32	0.063337	0.0453709	0.117929	0.00884845	
143	-43.22	0.063337	0.0453709	0.114674	0.00884845	
144	-44.22	0.063337	0.0453709	0.106749	0.00884845	
145	-45.12	0.063337	0.0453709	0.108097	0.00884845	
146	-46.12	0.063337	0.0453709	0.102375	0.00884845	
147	-46.92	0.063337	0.0453709	0.111352	0.00884845	
148	-47.72	0.063337	0.0453709	0.116417	0.00884845	
149	-48.32	0.063337	0.0453709	0.110366	0.00884845	
150	-49.02	0.063337	0.0453709	0.105927	0.00884845	
151	-49.82	0.063337	0.0453709	0.108722	0.00884845	
152	-50.42	0.063337	0.0453709	0.106486	0.00884845	
153	-51.32	0.063337	0.0453709	0.110169	0.00884845	
154	-51.92	0.063337	0.0453709	0.10619	0.00884845	
155	-52.72	0.063337	0.0453709	0.133319	0.00884845	
156	-53.72	0.063337	0.0453709	0.106946	0.00884845	
157	-54.42	0.063337	0.0453709	0.111747	0.00884845	
158	-55.02	0.063337	0.0453709	0.114509	0.00884845	
159	-55.82	0.063337	0.0453709	0.110728	0.00884845	
160	-56.72	0.063337	0.0453709	0.105335	0.00884845	
161	-57.92	0.063337	0.0453709	0.112372	0.00884845	
162	-58.32	0.063337	0.0453709	0.107965	0.00884845	
163	-59.42	0.063337	0.0453709	0.116022	0.00884845	
164	-60.12	0.063337	0.0453709	0.125394	0.00884845	
165	-61.12	0.063337	0.0453709	0.106387	0.00884845	
166	-61.72	0.063337	0.0453709	0.112438	0.00884845	
167	-63.02	0.063337	0.0453709	0.110136	0.00884845	
168	-63.62	0.063337	0.0453709	0.129471	0.00884845	
169	-64.52	0.063337	0.0453709	0.115331	0.00884845	
170	-65.22	0.063337	0.0453709	0.123585	0.00884845	
171	-66.22	0.063337	0.0453709	0.112964	0.00884845	
172	-66.92	0.063337	0.0453709	0.118357	0.00884845	
