# Blinking MW between 18.5112 and 18.48 (off resonance) GHz, Hittite @ 14 dBm, Dye laser at -180 GHz, looking for 10% MW ionization
# Using the HP 214B for field ionization.
# here 'd' is the Variable Attenuator value.
i	d	s1	s2	r
0	-24	0.076494	0.098214	0.778853
1	-26	0.089799	0.102411	0.876849
2	-28	0.086815	0.095011	0.913728
3	-29	0.076437	0.082256	0.929266
4	-27	0.071475	0.079382	0.900400
5	-25	0.082380	0.098367	0.837475
6	-30	0.092341	0.094497	0.977184
7	-27.5	0.078740	0.083221	0.946156
8	-28.5	0.082558	0.086526	0.954141
9	-26.5	0.088517	0.090617	0.976824
