# Filename	C:\Users\labuser\Documents\Data\2018-10-31\3_fscan.txt
# Date	2018-10-31-20:37
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 9 dB. Laser just red of 27f in +40 V Top to Bot. MW Pulse from Laser -200 ns to +100 ns. Looking for MW Power Shift.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	-0.007	0.044	0.034
18502000000.000	-0.007	0.042	0.025
18504000000.000	-0.007	0.039	0.023
18506000000.000	-0.007	0.051	0.034
18508000000.000	-0.007	0.071	0.028
18510000000.000	-0.007	0.129	0.035
18512000000.000	-0.007	0.109	0.026
18514000000.000	-0.007	0.048	0.034
18516000000.000	-0.007	0.043	0.034
18518000000.000	-0.007	0.045	0.032
18520000000.000	-0.007	0.052	0.043
18500200000.000	-0.007	0.051	0.041
18502200000.000	-0.007	0.043	0.036
18504200000.000	-0.007	0.052	0.041
18506200000.000	-0.007	0.062	0.033
18508200000.000	-0.007	0.079	0.043
18510200000.000	-0.007	0.136	0.031
18512200000.000	-0.007	0.096	0.030
18514200000.000	-0.007	0.057	0.037
18516200000.000	-0.007	0.041	0.027
18518200000.000	-0.007	0.048	0.026
18500400000.000	-0.007	0.031	0.028
18502400000.000	-0.007	0.034	0.035
18504400000.000	-0.007	0.050	0.036
18506400000.000	-0.007	0.046	0.030
18508400000.000	-0.007	0.080	0.032
18510400000.000	-0.007	0.148	0.037
18512400000.000	-0.007	0.091	0.031
18514400000.000	-0.007	0.052	0.034
18516400000.000	-0.007	0.037	0.034
18518400000.000	-0.007	0.042	0.021
18500600000.000	-0.007	0.043	0.034
18502600000.000	-0.007	0.044	0.036
18504600000.000	-0.007	0.049	0.034
18506600000.000	-0.007	0.048	0.033
18508600000.000	-0.007	0.092	0.035
18510600000.000	-0.007	0.144	0.035
18512600000.000	-0.007	0.089	0.030
18514600000.000	-0.007	0.057	0.033
18516600000.000	-0.007	0.045	0.028
18518600000.000	-0.007	0.050	0.027
18500800000.000	-0.007	0.042	0.034
18502800000.000	-0.007	0.035	0.034
18504800000.000	-0.007	0.044	0.028
18506800000.000	-0.007	0.053	0.040
18508800000.000	-0.007	0.111	0.035
18510800000.000	-0.007	0.154	0.040
18512800000.000	-0.007	0.078	0.038
18514800000.000	-0.007	0.051	0.036
18516800000.000	-0.007	0.053	0.038
18518800000.000	-0.007	0.052	0.039
18501000000.000	-0.007	0.042	0.044
18503000000.000	-0.007	0.044	0.034
18505000000.000	-0.007	0.048	0.037
18507000000.000	-0.007	0.045	0.030
18509000000.000	-0.007	0.113	0.030
18511000000.000	-0.007	0.135	0.039
18513000000.000	-0.007	0.077	0.032
18515000000.000	-0.007	0.052	0.029
18517000000.000	-0.007	0.041	0.033
18519000000.000	-0.007	0.041	0.039
18501200000.000	-0.007	0.032	0.032
18503200000.000	-0.007	0.043	0.038
18505200000.000	-0.007	0.045	0.038
18507200000.000	-0.007	0.059	0.033
18509200000.000	-0.007	0.117	0.037
18511200000.000	-0.007	0.135	0.028
18513200000.000	-0.007	0.073	0.032
18515200000.000	-0.007	0.046	0.026
18517200000.000	-0.007	0.042	0.031
18519200000.000	-0.007	0.053	0.028
18501400000.000	-0.007	0.037	0.025
18503400000.000	-0.007	0.048	0.035
18505400000.000	-0.007	0.045	0.033
18507400000.000	-0.007	0.067	0.035
18509400000.000	-0.007	0.118	0.032
18511400000.000	-0.007	0.131	0.032
18513400000.000	-0.007	0.068	0.032
18515400000.000	-0.007	0.038	0.028
18517400000.000	-0.007	0.044	0.032
18519400000.000	-0.007	0.043	0.032
18501600000.000	-0.007	0.033	0.031
18503600000.000	-0.007	0.042	0.026
18505600000.000	-0.007	0.048	0.033
18507600000.000	-0.007	0.057	0.036
18509600000.000	-0.007	0.118	0.030
18511600000.000	-0.007	0.130	0.036
18513600000.000	-0.007	0.062	0.033
18515600000.000	-0.007	0.038	0.029
18517600000.000	-0.007	0.037	0.033
18519600000.000	-0.007	0.038	0.035
18501800000.000	-0.007	0.045	0.035
18503800000.000	-0.007	0.040	0.030
18505800000.000	-0.007	0.053	0.023
18507800000.000	-0.007	0.058	0.029
18509800000.000	-0.007	0.139	0.039
18511800000.000	-0.007	0.131	0.032
18513800000.000	-0.007	0.058	0.042
18515800000.000	-0.007	0.054	0.027
18517800000.000	-0.007	0.047	0.037
18519800000.000	-0.007	0.035	0.036
