# Filename	C:\Users\labuser\Documents\Data\2018-10-31\1_fscan.txt
# Date	2018-10-31-14:46
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 9 dB. Laser just red of 27f in +40 V Top to Bot. MW Pulse from Laser -200 ns to +100 ns. Looking for MW Power Shift.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	-0.001	0.027	0.023
18502000000.000	-0.001	0.025	0.021
18504000000.000	-0.001	0.022	0.023
18506000000.000	-0.001	0.016	0.019
18508000000.000	-0.001	0.025	0.024
18510000000.000	-0.001	0.060	0.015
18512000000.000	-0.001	0.110	0.020
18514000000.000	-0.001	0.039	0.014
18516000000.000	-0.001	0.018	0.021
18518000000.000	-0.001	0.014	0.024
18520000000.000	-0.001	0.025	0.021
18500200000.000	-0.001	0.019	0.022
18502200000.000	-0.001	0.013	0.019
18504200000.000	-0.001	0.020	0.021
18506200000.000	-0.001	0.017	0.021
18508200000.000	-0.001	0.017	0.017
18510200000.000	-0.001	0.057	0.016
18512200000.000	-0.001	0.090	0.017
18514200000.000	-0.001	0.031	0.020
18516200000.000	-0.001	0.022	0.022
18518200000.000	-0.001	0.018	0.022
18500400000.000	-0.001	0.027	0.020
18502400000.000	-0.001	0.021	0.020
18504400000.000	-0.001	0.017	0.018
18506400000.000	-0.001	0.018	0.022
18508400000.000	-0.001	0.028	0.015
18510400000.000	-0.001	0.074	0.023
18512400000.000	-0.001	0.086	0.024
18514400000.000	-0.001	0.028	0.020
18516400000.000	-0.001	0.020	0.021
18518400000.000	-0.001	0.008	0.015
18500600000.000	-0.001	0.020	0.021
18502600000.000	-0.001	0.021	0.018
18504600000.000	-0.001	0.015	0.015
18506600000.000	-0.001	0.017	0.016
18508600000.000	-0.001	0.021	0.014
18510600000.000	-0.001	0.083	0.012
18512600000.000	-0.001	0.094	0.019
18514600000.000	-0.001	0.024	0.017
18516600000.000	-0.001	0.018	0.017
18518600000.000	-0.001	0.014	0.018
18500800000.000	-0.001	0.015	0.018
18502800000.000	-0.001	0.013	0.019
18504800000.000	-0.001	0.006	0.016
18506800000.000	-0.001	0.015	0.015
18508800000.000	-0.001	0.024	0.013
18510800000.000	-0.001	0.088	0.022
18512800000.000	-0.001	0.090	0.029
18514800000.000	-0.001	0.029	0.017
18516800000.000	-0.001	0.016	0.023
18518800000.000	-0.001	0.011	0.020
18501000000.000	-0.001	0.016	0.021
18503000000.000	-0.001	0.021	0.018
18505000000.000	-0.001	0.016	0.017
18507000000.000	-0.001	0.018	0.025
18509000000.000	-0.001	0.023	0.024
18511000000.000	-0.001	0.093	0.024
18513000000.000	-0.001	0.087	0.016
18515000000.000	-0.001	0.031	0.021
18517000000.000	-0.001	0.014	0.009
18519000000.000	-0.001	0.020	0.013
18501200000.000	-0.001	0.023	0.020
18503200000.000	-0.001	0.018	0.015
18505200000.000	-0.001	0.017	0.017
18507200000.000	-0.001	0.014	0.015
18509200000.000	-0.001	0.034	0.014
18511200000.000	-0.001	0.088	0.019
18513200000.000	-0.001	0.073	0.018
18515200000.000	-0.001	0.019	0.017
18517200000.000	-0.001	0.010	0.016
18519200000.000	-0.001	0.015	0.033
18501400000.000	-0.001	0.022	0.017
18503400000.000	-0.001	0.018	0.023
18505400000.000	-0.001	0.019	0.015
18507400000.000	-0.001	0.014	0.017
18509400000.000	-0.001	0.032	0.014
18511400000.000	-0.001	0.095	0.014
18513400000.000	-0.001	0.074	0.016
18515400000.000	-0.001	0.018	0.015
18517400000.000	-0.001	0.017	0.018
18519400000.000	-0.001	0.018	0.019
18501600000.000	-0.001	0.021	0.016
18503600000.000	-0.001	0.018	0.020
18505600000.000	-0.001	0.016	0.018
18507600000.000	-0.001	0.016	0.012
18509600000.000	-0.001	0.035	0.013
18511600000.000	-0.001	0.086	0.020
18513600000.000	-0.001	0.062	0.017
18515600000.000	-0.001	0.019	0.015
18517600000.000	-0.001	0.022	0.017
18519600000.000	-0.001	0.018	0.017
18501800000.000	-0.001	0.011	0.011
18503800000.000	-0.001	0.012	0.014
18505800000.000	-0.001	0.014	0.018
18507800000.000	-0.001	0.019	0.009
18509800000.000	-0.001	0.047	0.020
18511800000.000	-0.001	0.093	0.016
18513800000.000	-0.001	0.051	0.009
18515800000.000	-0.001	0.022	0.012
18517800000.000	-0.001	0.015	0.019
18519800000.000	-0.001	0.011	0.014
