# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. HP 214B. Short (250 ns) integration gate.
# Type:	Frequency
# Hittite Freq:	18512.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
98	-6.22	0.0890851	0.0528504	0.0731414	0.037635	
99	-6.92	0.0890851	0.0528504	0.0764626	0.037635	
100	-7.62	0.0890851	0.0528504	0.0856701	0.037635	
101	-9.02	0.0890851	0.0528504	0.0932992	0.037635	
102	-9.92	0.0890851	0.0528504	0.0926086	0.037635	
103	-10.42	0.0890851	0.0528504	0.0955682	0.037635	
104	-11.12	0.0890851	0.0528504	0.104019	0.037635	
105	-12.12	0.0890851	0.0528504	0.0991854	0.037635	
106	-12.42	0.0890851	0.0528504	0.0993498	0.037635	
107	-13.62	0.0890851	0.0528504	0.107965	0.037635	
108	-14.22	0.0890851	0.0528504	0.103362	0.037635	
109	-15.22	0.0890851	0.0528504	0.104184	0.037635	
110	-16.12	0.0890851	0.0528504	0.114871	0.037635	
111	-16.72	0.0890851	0.0528504	0.118686	0.037635	
112	-17.32	0.0890851	0.0528504	0.120461	0.037635	
113	-18.42	0.0890851	0.0528504	0.11224	0.037635	
114	-19.12	0.0890851	0.0528504	0.121382	0.037635	
115	-19.72	0.0890851	0.0528504	0.118225	0.037635	
116	-20.52	0.0890851	0.0528504	0.122007	0.037635	
117	-21.52	0.0890851	0.0528504	0.115331	0.037635	
118	-22.32	0.0890851	0.0528504	0.12934	0.037635	
119	-23.12	0.0890851	0.0528504	0.121481	0.037635	
120	-24.22	0.0890851	0.0528504	0.127531	0.037635	
121	-25.02	0.0890851	0.0528504	0.136246	0.037635	
122	-25.72	0.0890851	0.0528504	0.125394	0.037635	
123	-31.12	0.0890851	0.0528504	0.150188	0.037635	
124	-31.22	0.0890851	0.0528504	0.153345	0.037635	
125	-31.52	0.0890851	0.0528504	0.173076	0.037635	
126	-32.32	0.0890851	0.0528504	0.157193	0.037635	
127	-33.12	0.0890851	0.0528504	0.166565	0.037635	
128	-33.82	0.0890851	0.0528504	0.163868	0.037635	
129	-34.52	0.0890851	0.0528504	0.158179	0.037635	
130	-35.22	0.0890851	0.0528504	0.15887	0.037635	
131	-35.82	0.0890851	0.0528504	0.163375	0.037635	
132	-36.82	0.0890851	0.0528504	0.161862	0.037635	
133	-37.32	0.0890851	0.0528504	0.158475	0.037635	
134	-38.12	0.0890851	0.0528504	0.167518	0.037635	
135	-39.12	0.0890851	0.0528504	0.167913	0.037635	
136	-39.82	0.0890851	0.0528504	0.168866	0.037635	
137	-40.42	0.0890851	0.0528504	0.164328	0.037635	
138	-41.32	0.0890851	0.0528504	0.167518	0.037635	
139	-41.92	0.0890851	0.0528504	0.159692	0.037635	
140	-43.02	0.0890851	0.0528504	0.16492	0.037635	
141	-43.72	0.0890851	0.0528504	0.159429	0.037635	
142	-44.52	0.0890851	0.0528504	0.171234	0.037635	
143	-45.52	0.0890851	0.0528504	0.16275	0.037635	
144	-46.32	0.0890851	0.0528504	0.158179	0.037635	
145	-47.22	0.0890851	0.0528504	0.170971	0.037635	
146	-47.92	0.0890851	0.0528504	0.162388	0.037635	
147	-48.62	0.0890851	0.0528504	0.162224	0.037635	
148	-49.52	0.0890851	0.0528504	0.164756	0.037635	
149	-50.02	0.0890851	0.0528504	0.174457	0.037635	
150	-51.62	0.0890851	0.0528504	0.160514	0.037635	
151	-52.12	0.0890851	0.0528504	0.172615	0.037635	
152	-52.72	0.0890851	0.0528504	0.181987	0.037635	
153	-53.22	0.0890851	0.0528504	0.156239	0.037635	
154	-54.02	0.0890851	0.0528504	0.168077	0.037635	
155	-54.72	0.0890851	0.0528504	0.154759	0.037635	
156	-55.52	0.0890851	0.0528504	0.16275	0.037635	
157	-56.22	0.0890851	0.0528504	0.178436	0.037635	
158	-57.02	0.0890851	0.0528504	0.176265	0.037635	
159	-57.82	0.0890851	0.0528504	0.158475	0.037635	
160	-58.72	0.0890851	0.0528504	0.179915	0.037635	
161	-59.32	0.0890851	0.0528504	0.166828	0.037635	
162	-60.32	0.0890851	0.0528504	0.178469	0.037635	
163	-61.12	0.0890851	0.0528504	0.163967	0.037635	
164	-62.22	0.0890851	0.0528504	0.160678	0.037635	
165	-62.82	0.0890851	0.0528504	0.167222	0.037635	
166	-63.72	0.0890851	0.0528504	0.176035	0.037635	
167	-64.52	0.0890851	0.0528504	0.164789	0.037635	
168	-65.42	0.0890851	0.0528504	0.161632	0.037635	
169	-66.02	0.0890851	0.0528504	0.161303	0.037635	
170	-67.12	0.0890851	0.0528504	0.172352	0.037635	
171	-68.32	0.0890851	0.0528504	0.16857	0.037635	
172	-68.92	0.0890851	0.0528504	0.165611	0.037635	
173	-69.72	0.0890851	0.0528504	0.163276	0.037635	
174	-70.52	0.0890851	0.0528504	0.178107	0.037635	
175	-71.22	0.0890851	0.0528504	0.169886	0.037635	
176	-72.02	0.0890851	0.0528504	0.179652	0.037635	
177	-72.82	0.0890851	0.0528504	0.174884	0.037635	
178	-73.92	0.0890851	0.0528504	0.173931	0.037635	
179	-74.42	0.0890851	0.0528504	0.166104	0.037635	
