# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. HP 214B. Short (250 ns) integration gate.
# Type:	Frequency
# Hittite Freq:	18513.1 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	20 ns
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
92	16.98	0.07617	0.0258543	-0.00354384	-0.0227168	
93	15.88	0.07617	0.0258543	-0.00614166	-0.0227168	
94	15.18	0.07617	0.0258543	-0.00502361	-0.0227168	
95	14.28	0.07617	0.0258543	-0.00462901	-0.0227168	
96	13.78	0.07617	0.0258543	-0.00337942	-0.0227168	
97	12.68	0.07617	0.0258543	-0.00449747	-0.0227168	
98	12.08	0.07617	0.0258543	0.0020793	-0.0227168	
99	11.28	0.07617	0.0258543	-0.00666781	-0.0227168	
100	10.48	0.07617	0.0258543	-0.00331365	-0.0227168	
101	9.88	0.07617	0.0258543	-0.000551405	-0.0227168	
102	9.08	0.07617	0.0258543	-0.00587859	-0.0227168	
103	8.08	0.07617	0.0258543	-0.00479343	-0.0227168	
104	7.48	0.07617	0.0258543	-0.00515515	-0.0227168	
105	6.58	0.07617	0.0258543	-0.00752279	-0.0227168	
106	5.88	0.07617	0.0258543	-0.0102521	-0.0227168	
107	5.18	0.07617	0.0258543	-0.00489208	-0.0227168	
108	4.48	0.07617	0.0258543	-0.00581283	-0.0227168	
109	3.98	0.07617	0.0258543	-0.0106796	-0.0227168	
110	2.48	0.07617	0.0258543	-0.00854219	-0.0227168	
111	1.48	0.07617	0.0258543	-0.00762144	-0.0227168	
112	0.98	0.07617	0.0258543	-0.00515515	-0.0227168	
113	0.18	0.07617	0.0258543	-0.00249155	-0.0227168	
114	-0.62	0.07617	0.0258543	0.00286852	-0.0227168	
115	-1.82	0.07617	0.0258543	0.0030987	-0.0227168	
116	-2.42	0.07617	0.0258543	0.00152028	-0.0227168	
117	-3.02	0.07617	0.0258543	0.0027041	-0.0227168	
118	-3.72	0.07617	0.0258543	0.0125364	-0.0227168	
119	-4.72	0.07617	0.0258543	0.014049	-0.0227168	
120	-5.22	0.07617	0.0258543	0.0161865	-0.0227168	
121	-5.82	0.07617	0.0258543	0.014049	-0.0227168	
