# Filename	C:\Users\labuser\Documents\Data\2018-09-30\5_fscan.txt
# Date	2018-10-1-3:6
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using MW ionization at -180 GHz. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field 100 ns after lasers, for 300 ns. Variable attenuation at -14 dB.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18487000000.000	0.037	0.161	0.155
18489000000.000	0.037	0.161	0.163
18491000000.000	0.037	0.145	0.152
18493000000.000	0.037	0.141	0.158
18495000000.000	0.037	0.148	0.158
18497000000.000	0.037	0.146	0.154
18499000000.000	0.037	0.130	0.155
18501000000.000	0.037	0.121	0.148
18503000000.000	0.037	0.105	0.160
18505000000.000	0.037	0.085	0.157
18507000000.000	0.037	0.087	0.142
18509000000.000	0.037	0.081	0.158
18511000000.000	0.037	0.085	0.158
18513000000.000	0.037	0.083	0.151
18515000000.000	0.037	0.090	0.170
18517000000.000	0.037	0.097	0.155
18519000000.000	0.037	0.108	0.149
18521000000.000	0.037	0.118	0.155
18523000000.000	0.037	0.122	0.158
18525000000.000	0.037	0.133	0.140
18527000000.000	0.037	0.133	0.160
18529000000.000	0.037	0.144	0.161
18531000000.000	0.037	0.145	0.157
18533000000.000	0.037	0.146	0.152
18535000000.000	0.037	0.141	0.149
18537000000.000	0.037	0.156	0.157
18539000000.000	0.037	0.150	0.165
18481200000.000	0.037	0.163	0.168
18483200000.000	0.037	0.159	0.149
18485200000.000	0.037	0.145	0.165
18487200000.000	0.037	0.154	0.160
18489200000.000	0.037	0.154	0.156
18491200000.000	0.037	0.150	0.143
18493200000.000	0.037	0.142	0.164
18495200000.000	0.037	0.149	0.158
18497200000.000	0.037	0.120	0.157
18499200000.000	0.037	0.132	0.146
18501200000.000	0.037	0.115	0.164
18503200000.000	0.037	0.102	0.151
18505200000.000	0.037	0.104	0.163
18507200000.000	0.037	0.097	0.170
18509200000.000	0.037	0.082	0.156
18511200000.000	0.037	0.078	0.161
18513200000.000	0.037	0.088	0.152
18515200000.000	0.037	0.094	0.169
18517200000.000	0.037	0.095	0.157
18519200000.000	0.037	0.108	0.163
18521200000.000	0.037	0.130	0.156
18523200000.000	0.037	0.117	0.160
18525200000.000	0.037	0.127	0.147
18527200000.000	0.037	0.139	0.158
18529200000.000	0.037	0.134	0.154
18531200000.000	0.037	0.146	0.156
18533200000.000	0.037	0.141	0.149
18535200000.000	0.037	0.148	0.142
18537200000.000	0.037	0.153	0.156
18539200000.000	0.037	0.145	0.148
18481400000.000	0.037	0.158	0.159
18483400000.000	0.037	0.145	0.149
18485400000.000	0.037	0.145	0.165
18487400000.000	0.037	0.149	0.161
18489400000.000	0.037	0.155	0.148
18491400000.000	0.037	0.158	0.158
18493400000.000	0.037	0.143	0.157
18495400000.000	0.037	0.136	0.162
18497400000.000	0.037	0.131	0.151
18499400000.000	0.037	0.119	0.149
18501400000.000	0.037	0.116	0.145
18503400000.000	0.037	0.106	0.157
18505400000.000	0.037	0.093	0.158
18507400000.000	0.037	0.089	0.149
18509400000.000	0.037	0.078	0.161
18511400000.000	0.037	0.077	0.152
18513400000.000	0.037	0.080	0.168
18515400000.000	0.037	0.093	0.161
18517400000.000	0.037	0.095	0.165
18519400000.000	0.037	0.123	0.155
18521400000.000	0.037	0.122	0.152
18523400000.000	0.037	0.132	0.168
18525400000.000	0.037	0.146	0.163
18527400000.000	0.037	0.133	0.155
18529400000.000	0.037	0.154	0.162
18531400000.000	0.037	0.155	0.167
18533400000.000	0.037	0.158	0.164
18535400000.000	0.037	0.146	0.155
18537400000.000	0.037	0.156	0.152
18539400000.000	0.037	0.147	0.162
18481600000.000	0.037	0.142	0.155
18483600000.000	0.037	0.154	0.153
18485600000.000	0.037	0.146	0.150
18487600000.000	0.037	0.157	0.156
18489600000.000	0.037	0.153	0.149
18491600000.000	0.037	0.153	0.153
18493600000.000	0.037	0.142	0.148
18495600000.000	0.037	0.139	0.151
18497600000.000	0.037	0.149	0.155
18499600000.000	0.037	0.126	0.164
18501600000.000	0.037	0.112	0.160
18503600000.000	0.037	0.105	0.150
18505600000.000	0.037	0.097	0.154
18507600000.000	0.037	0.086	0.163
18509600000.000	0.037	0.079	0.167
18511600000.000	0.037	0.076	0.175
18513600000.000	0.037	0.084	0.153
18515600000.000	0.037	0.086	0.154
18517600000.000	0.037	0.110	0.163
18519600000.000	0.037	0.114	0.156
18521600000.000	0.037	0.123	0.153
18523600000.000	0.037	0.130	0.156
18525600000.000	0.037	0.136	0.155
18527600000.000	0.037	0.128	0.151
18529600000.000	0.037	0.145	0.152
18531600000.000	0.037	0.139	0.148
18533600000.000	0.037	0.161	0.157
18535600000.000	0.037	0.145	0.143
18537600000.000	0.037	0.146	0.149
18539600000.000	0.037	0.151	0.158
18481800000.000	0.037	0.159	0.156
18483800000.000	0.037	0.152	0.142
18485800000.000	0.037	0.151	0.152
18487800000.000	0.037	0.136	0.145
18489800000.000	0.037	0.142	0.152
18491800000.000	0.037	0.152	0.152
18493800000.000	0.037	0.145	0.144
18495800000.000	0.037	0.143	0.164
18497800000.000	0.037	0.134	0.139
18499800000.000	0.037	0.129	0.161
18501800000.000	0.037	0.120	0.167
18503800000.000	0.037	0.096	0.147
18505800000.000	0.037	0.091	0.145
18507800000.000	0.037	0.085	0.150
18509800000.000	0.037	0.068	0.147
18511800000.000	0.037	0.079	0.135
18513800000.000	0.037	0.084	0.146
18515800000.000	0.037	0.081	0.134
18517800000.000	0.037	0.095	0.158
18519800000.000	0.037	0.107	0.139
18521800000.000	0.037	0.110	0.159
18523800000.000	0.037	0.136	0.152
18525800000.000	0.037	0.136	0.143
18527800000.000	0.037	0.142	0.144
18529800000.000	0.037	0.137	0.149
18531800000.000	0.037	0.143	0.161
18533800000.000	0.037	0.136	0.149
18535800000.000	0.037	0.149	0.152
18537800000.000	0.037	0.142	0.137
18539800000.000	0.037	0.148	0.158
