# Blinking MW between 18.5117 and 18.48 (off resonance) GHz, Hittite @ 14 dBm, Dye laser at -180 GHz, looking for MW ionization
# Using the HP 214B for field ionization.
# here 'd' is the Variable Attenuator value.
i	d	s1	s2	r
0	-18	0.048998	0.102558	0.477758
1	-40	0.104082	0.104794	0.993201
2	-20	0.059521	0.103012	0.577805
3	-30	0.101382	0.102509	0.989008
4	-19	0.054171	0.106343	0.509395
5	-28	0.095075	0.101159	0.939861
6	-18.4	0.047915	0.102203	0.468822
7	-26	0.087853	0.100613	0.873176
8	-19.4	0.059443	0.109105	0.544822
9	-27	0.090772	0.100609	0.902218
10	-19	0.041699	0.094339	0.442010
11	-26.5	0.092346	0.104415	0.884409
12	-18	0.054991	0.113128	0.486091
13	-27.5	0.098639	0.107093	0.921055
14	-20	0.055780	0.102639	0.543454
15	-28	0.095657	0.101102	0.946148
16	-18.6	0.051592	0.105624	0.488444
17	-27	0.096359	0.105272	0.915327
18	-19.6	0.051233	0.096304	0.531995
