# Title:	Delay with 18 V static at n=27, 10 dB on MW Attn, AM = 1.4.
# Note:	Delay scan at n=27 with +9 V Bot, -9 V Top applied static field. 10 dB on MW Attn, 31.5 dB on PM Attn, PM = 1.4. Low-frequency Stark state of 3d3/2 -> 27f targeted.
# Type:	Delay
# Hittite Freq:	19635.40 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361361.2 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	31.5 dB
# MW Attn:	10.5 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-90 mV
# Static:	+9 V Bot, -9V Top
# Static Off:	NaN
i	d	n	nb	s	sb
110.000	123333.000	1.000	0.000	0.039	-0.016
111.000	124000.000	1.000	0.000	0.052	-0.016
112.000	124667.000	1.000	0.000	0.052	-0.016
113.000	125333.000	1.000	0.000	0.070	-0.016
114.000	126000.000	1.000	0.000	0.057	-0.016
115.000	126667.000	1.000	0.000	0.067	-0.016
116.000	127333.000	1.000	0.000	0.064	-0.016
117.000	128000.000	1.000	0.000	0.062	-0.016
118.000	128667.000	1.000	0.000	0.070	-0.016
119.000	129333.000	1.000	0.000	0.079	-0.016
120.000	130000.000	1.000	0.000	0.085	-0.016
121.000	130667.000	1.000	0.000	0.076	-0.016
122.000	131333.000	1.000	0.000	0.074	-0.016
123.000	132000.000	1.000	0.000	0.072	-0.016
124.000	132667.000	1.000	0.000	0.077	-0.016
125.000	133333.000	1.000	0.000	0.059	-0.016
126.000	134000.000	1.000	0.000	0.069	-0.016
127.000	134667.000	1.000	0.000	0.060	-0.016
128.000	135333.000	1.000	0.000	0.062	-0.016
129.000	136000.000	1.000	0.000	0.062	-0.016
130.000	136667.000	1.000	0.000	0.060	-0.016
131.000	137333.000	1.000	0.000	0.049	-0.016
132.000	138000.000	1.000	0.000	0.061	-0.016
133.000	138667.000	1.000	0.000	0.059	-0.016
134.000	139333.000	1.000	0.000	0.055	-0.016
135.000	140000.000	1.000	0.000	0.052	-0.016
136.000	140667.000	1.000	0.000	0.052	-0.016
137.000	141333.000	1.000	0.000	0.054	-0.016
138.000	142000.000	1.000	0.000	0.057	-0.016
139.000	142667.000	1.000	0.000	0.074	-0.016
140.000	143333.000	1.000	0.000	0.069	-0.016
141.000	144000.000	1.000	0.000	0.075	-0.016
142.000	144667.000	1.000	0.000	0.086	-0.016
143.000	145333.000	1.000	0.000	0.084	-0.016
144.000	146000.000	1.000	0.000	0.076	-0.016
145.000	146667.000	1.000	0.000	0.074	-0.016
146.000	147333.000	1.000	0.000	0.075	-0.016
147.000	148000.000	1.000	0.000	0.086	-0.016
