# Filename	C:\Users\labuser\Documents\Data\2018-09-24\1_fscan.txt
# Date	2018-9-24-20:11
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field 100ns after lasers, for 300 ns. Variable attenuation at -20 dB.
# Frequency (Hz)	Voltage (V)
18490000000.000	-0.647
18491000000.000	-0.671
18492000000.000	-0.677
18493000000.000	-0.681
18494000000.000	-0.691
18495000000.000	-0.708
18496000000.000	-0.694
18497000000.000	-0.675
18498000000.000	-0.679
18499000000.000	-0.657
18500000000.000	-0.676
18501000000.000	-0.657
18502000000.000	-0.646
18503000000.000	-0.666
18504000000.000	-0.670
18505000000.000	-0.649
18506000000.000	-0.602
18507000000.000	-0.588
18508000000.000	-0.561
18509000000.000	-0.496
18510000000.000	-0.425
18511000000.000	-0.379
18512000000.000	-0.404
18513000000.000	-0.457
18514000000.000	-0.529
18515000000.000	-0.569
18516000000.000	-0.616
18517000000.000	-0.616
18518000000.000	-0.642
18519000000.000	-0.677
18520000000.000	-0.698
18521000000.000	-0.685
18522000000.000	-0.698
18523000000.000	-0.675
18524000000.000	-0.695
18525000000.000	-0.687
18526000000.000	-0.698
18527000000.000	-0.678
18528000000.000	-0.672
18529000000.000	-0.682
18530000000.000	-0.677
18490100000.000	-0.653
18491100000.000	-0.653
18492100000.000	-0.661
18493100000.000	-0.654
18494100000.000	-0.658
18495100000.000	-0.651
18496100000.000	-0.627
18497100000.000	-0.644
18498100000.000	-0.675
18499100000.000	-0.676
18500100000.000	-0.657
18501100000.000	-0.671
18502100000.000	-0.677
18503100000.000	-0.680
18504100000.000	-0.663
18505100000.000	-0.642
18506100000.000	-0.619
18507100000.000	-0.585
18508100000.000	-0.565
18509100000.000	-0.507
18510100000.000	-0.436
18511100000.000	-0.399
18512100000.000	-0.417
18513100000.000	-0.439
18514100000.000	-0.509
18515100000.000	-0.576
18516100000.000	-0.575
18517100000.000	-0.614
18518100000.000	-0.672
18519100000.000	-0.666
18520100000.000	-0.650
18521100000.000	-0.635
18522100000.000	-0.675
18523100000.000	-0.664
18524100000.000	-0.668
18525100000.000	-0.659
18526100000.000	-0.665
18527100000.000	-0.681
18528100000.000	-0.676
18529100000.000	-0.681
18490200000.000	-0.680
18491200000.000	-0.692
18492200000.000	-0.654
18493200000.000	-0.661
18494200000.000	-0.686
18495200000.000	-0.679
18496200000.000	-0.681
18497200000.000	-0.698
18498200000.000	-0.688
18499200000.000	-0.693
18500200000.000	-0.712
18501200000.000	-0.689
18502200000.000	-0.675
18503200000.000	-0.672
18504200000.000	-0.661
18505200000.000	-0.642
18506200000.000	-0.585
18507200000.000	-0.563
18508200000.000	-0.540
18509200000.000	-0.479
18510200000.000	-0.431
18511200000.000	-0.375
18512200000.000	-0.402
18513200000.000	-0.471
18514200000.000	-0.538
18515200000.000	-0.585
18516200000.000	-0.607
18517200000.000	-0.619
18518200000.000	-0.681
18519200000.000	-0.682
18520200000.000	-0.720
18521200000.000	-0.716
18522200000.000	-0.686
18523200000.000	-0.683
18524200000.000	-0.699
18525200000.000	-0.696
18526200000.000	-0.661
18527200000.000	-0.658
18528200000.000	-0.655
18529200000.000	-0.676
18490300000.000	-0.691
18491300000.000	-0.681
18492300000.000	-0.655
18493300000.000	-0.639
18494300000.000	-0.646
18495300000.000	-0.646
18496300000.000	-0.642
18497300000.000	-0.656
18498300000.000	-0.659
18499300000.000	-0.658
18500300000.000	-0.671
18501300000.000	-0.659
18502300000.000	-0.675
18503300000.000	-0.678
18504300000.000	-0.670
18505300000.000	-0.627
18506300000.000	-0.601
18507300000.000	-0.585
18508300000.000	-0.557
18509300000.000	-0.493
18510300000.000	-0.418
18511300000.000	-0.368
18512300000.000	-0.384
18513300000.000	-0.473
18514300000.000	-0.523
18515300000.000	-0.549
18516300000.000	-0.593
18517300000.000	-0.640
18518300000.000	-0.657
18519300000.000	-0.650
18520300000.000	-0.646
18521300000.000	-0.671
18522300000.000	-0.671
18523300000.000	-0.640
18524300000.000	-0.648
18525300000.000	-0.641
18526300000.000	-0.659
18527300000.000	-0.672
18528300000.000	-0.662
18529300000.000	-0.686
18490400000.000	-0.657
18491400000.000	-0.661
18492400000.000	-0.676
18493400000.000	-0.687
18494400000.000	-0.694
18495400000.000	-0.663
18496400000.000	-0.684
18497400000.000	-0.669
18498400000.000	-0.650
18499400000.000	-0.664
18500400000.000	-0.683
18501400000.000	-0.674
18502400000.000	-0.650
18503400000.000	-0.651
18504400000.000	-0.649
18505400000.000	-0.613
18506400000.000	-0.574
18507400000.000	-0.572
18508400000.000	-0.518
18509400000.000	-0.456
18510400000.000	-0.399
18511400000.000	-0.377
18512400000.000	-0.401
18513400000.000	-0.473
18514400000.000	-0.524
18515400000.000	-0.565
18516400000.000	-0.611
18517400000.000	-0.635
18518400000.000	-0.667
18519400000.000	-0.669
18520400000.000	-0.653
18521400000.000	-0.684
18522400000.000	-0.669
18523400000.000	-0.709
18524400000.000	-0.686
18525400000.000	-0.703
18526400000.000	-0.681
18527400000.000	-0.667
18528400000.000	-0.675
18529400000.000	-0.673
18490500000.000	-0.680
18491500000.000	-0.652
18492500000.000	-0.654
18493500000.000	-0.671
18494500000.000	-0.666
18495500000.000	-0.662
18496500000.000	-0.662
18497500000.000	-0.660
18498500000.000	-0.635
18499500000.000	-0.659
18500500000.000	-0.643
18501500000.000	-0.657
18502500000.000	-0.669
18503500000.000	-0.669
18504500000.000	-0.638
18505500000.000	-0.629
18506500000.000	-0.568
18507500000.000	-0.575
18508500000.000	-0.539
18509500000.000	-0.463
18510500000.000	-0.415
18511500000.000	-0.374
18512500000.000	-0.417
18513500000.000	-0.494
18514500000.000	-0.563
18515500000.000	-0.580
18516500000.000	-0.622
18517500000.000	-0.657
18518500000.000	-0.656
18519500000.000	-0.659
18520500000.000	-0.660
18521500000.000	-0.648
18522500000.000	-0.641
18523500000.000	-0.630
18524500000.000	-0.638
18525500000.000	-0.629
18526500000.000	-0.657
18527500000.000	-0.674
18528500000.000	-0.690
18529500000.000	-0.686
18490600000.000	-0.685
18491600000.000	-0.680
18492600000.000	-0.684
18493600000.000	-0.672
18494600000.000	-0.692
18495600000.000	-0.676
18496600000.000	-0.677
18497600000.000	-0.677
18498600000.000	-0.659
18499600000.000	-0.669
18500600000.000	-0.660
18501600000.000	-0.701
18502600000.000	-0.670
18503600000.000	-0.671
18504600000.000	-0.634
18505600000.000	-0.616
18506600000.000	-0.569
18507600000.000	-0.570
18508600000.000	-0.511
18509600000.000	-0.460
18510600000.000	-0.381
18511600000.000	-0.376
18512600000.000	-0.407
18513600000.000	-0.493
18514600000.000	-0.534
18515600000.000	-0.584
18516600000.000	-0.611
18517600000.000	-0.654
18518600000.000	-0.667
18519600000.000	-0.681
18520600000.000	-0.680
18521600000.000	-0.671
18522600000.000	-0.676
18523600000.000	-0.679
18524600000.000	-0.662
18525600000.000	-0.671
18526600000.000	-0.647
18527600000.000	-0.671
18528600000.000	-0.651
18529600000.000	-0.639
18490700000.000	-0.648
18491700000.000	-0.646
18492700000.000	-0.649
18493700000.000	-0.628
18494700000.000	-0.631
18495700000.000	-0.637
18496700000.000	-0.635
18497700000.000	-0.649
18498700000.000	-0.676
18499700000.000	-0.672
18500700000.000	-0.668
18501700000.000	-0.659
18502700000.000	-0.653
18503700000.000	-0.686
18504700000.000	-0.674
18505700000.000	-0.635
18506700000.000	-0.597
18507700000.000	-0.569
18508700000.000	-0.524
18509700000.000	-0.459
18510700000.000	-0.422
18511700000.000	-0.390
18512700000.000	-0.427
18513700000.000	-0.517
18514700000.000	-0.562
18515700000.000	-0.577
18516700000.000	-0.617
18517700000.000	-0.651
18518700000.000	-0.683
18519700000.000	-0.666
18520700000.000	-0.648
18521700000.000	-0.671
18522700000.000	-0.681
18523700000.000	-0.674
18524700000.000	-0.685
18525700000.000	-0.672
18526700000.000	-0.682
18527700000.000	-0.665
18528700000.000	-0.687
18529700000.000	-0.688
18490800000.000	-0.694
18491800000.000	-0.683
18492800000.000	-0.657
18493800000.000	-0.693
18494800000.000	-0.719
18495800000.000	-0.670
18496800000.000	-0.674
18497800000.000	-0.697
18498800000.000	-0.662
18499800000.000	-0.712
18500800000.000	-0.676
18501800000.000	-0.696
18502800000.000	-0.672
18503800000.000	-0.679
18504800000.000	-0.637
18505800000.000	-0.588
18506800000.000	-0.585
18507800000.000	-0.562
18508800000.000	-0.529
18509800000.000	-0.448
18510800000.000	-0.384
18511800000.000	-0.391
18512800000.000	-0.422
18513800000.000	-0.525
18514800000.000	-0.543
18515800000.000	-0.561
18516800000.000	-0.599
18517800000.000	-0.647
18518800000.000	-0.685
18519800000.000	-0.702
18520800000.000	-0.696
18521800000.000	-0.677
18522800000.000	-0.704
18523800000.000	-0.690
18524800000.000	-0.712
18525800000.000	-0.700
