# Title: Dye Laser Frequency Scan, Depressed Limit
# Note:	Dye laser frequency scan to find the depressed ionization limit. SFIP with 150 VDC. Short (500 ns) integration gate. Using voltage source for Bias to SFIP.
# Type:	Frequency
# Hittite Freq:	NaN
# Hittite: Power	NaN
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	NaN
# Static:	NaN
# Static Off:	NaN
i	f	n	nb	s	sb
84	54.88	-0.0941471	-0.0927397	-0.000551405	-0.0019983	
85	54.38	-0.0941471	-0.0927397	-0.000551405	-0.0019983	
86	53.48	-0.0941471	-0.0927397	-0.000781593	-0.0019983	
87	52.88	-0.0941471	-0.0927397	0.00346043	-0.0019983	
88	51.98	-0.0941471	-0.0927397	0.00319736	-0.0019983	
89	51.08	-0.0941471	-0.0927397	-0.000748709	-0.0019983	
90	50.58	-0.0941471	-0.0927397	0.00316447	-0.0019983	
91	49.78	-0.0941471	-0.0927397	-0.000617173	-0.0019983	
92	48.88	-0.0941471	-0.0927397	-5.81473E-5	-0.0019983	
93	47.88	-0.0941471	-0.0927397	0.00122432	-0.0019983	
94	47.48	-0.0941471	-0.0927397	-0.000814477	-0.0019983	
95	46.38	-0.0941471	-0.0927397	0.00112567	-0.0019983	
96	45.58	-0.0941471	-0.0927397	0.000402227	-0.0019983	
97	44.78	-0.0941471	-0.0927397	-0.00180099	-0.0019983	
98	43.68	-0.0941471	-0.0927397	-0.00111043	-0.0019983	
99	42.68	-0.0941471	-0.0927397	0.00316447	-0.0019983	
100	41.98	-0.0941471	-0.0927397	-0.00107755	-0.0019983	
101	41.48	-0.0941471	-0.0927397	-0.000748709	-0.0019983	
102	40.48	-0.0941471	-0.0927397	-0.00298481	-0.0019983	
103	39.38	-0.0941471	-0.0927397	-0.00390556	-0.0019983	
104	38.48	-0.0941471	-0.0927397	-0.00275463	-0.0019983	
105	37.48	-0.0941471	-0.0927397	-0.00104466	-0.0019983	
106	36.68	-0.0941471	-0.0927397	-0.00344519	-0.0019983	
107	35.88	-0.0941471	-0.0927397	0.000336459	-0.0019983	
108	35.18	-0.0941471	-0.0927397	-0.00245867	-0.0019983	
109	34.38	-0.0941471	-0.0927397	0.0016847	-0.0019983	
110	33.58	-0.0941471	-0.0927397	0.000533762	-0.0019983	
111	32.58	-0.0941471	-0.0927397	-0.00114332	-0.0019983	
112	32.18	-0.0941471	-0.0927397	-0.00328077	-0.0019983	
113	31.18	-0.0941471	-0.0927397	-0.00584571	-0.0019983	
114	30.38	-0.0941471	-0.0927397	-0.0023929	-0.0019983	
115	29.48	-0.0941471	-0.0927397	0.00201354	-0.0019983	
116	28.58	-0.0941471	-0.0927397	-0.000386986	-0.0019983	
117	27.88	-0.0941471	-0.0927397	0.00017204	-0.0019983	
118	27.08	-0.0941471	-0.0927397	0.00267121	-0.0019983	
