# Delay scan
# PM at 1.4 (35 dB)
# MW at 19 dB, 18.5094 GHzs, 18.6 dBm
# 0 Resonance
# Laser at 365859.0 GHz
# Static at 0 mV
# No Mod:	0.0842561
# No Mod No MW:	0.104052
i	d	n	nb	s	sb
113.000	139260.000	0.460	-0.053	0.057	-0.004
114.000	138188.000	0.460	-0.053	0.052	-0.004
115.000	137116.000	0.460	-0.053	0.066	-0.004
116.000	136044.000	0.460	-0.053	0.078	-0.004
117.000	134972.000	0.460	-0.053	0.077	-0.004
118.000	133901.000	0.460	-0.053	0.082	-0.004
119.000	132829.000	0.460	-0.053	0.078	-0.004
120.000	131757.000	0.460	-0.053	0.058	-0.004
121.000	130685.000	0.460	-0.053	0.051	-0.004
122.000	129613.000	0.460	-0.053	0.061	-0.004
123.000	128541.000	0.460	-0.053	0.070	-0.004
124.000	127469.000	0.460	-0.053	0.088	-0.004
125.000	126397.000	0.460	-0.053	0.088	-0.004
126.000	125325.000	0.460	-0.053	0.081	-0.004
127.000	124253.000	0.460	-0.053	0.070	-0.004
128.000	123181.000	0.460	-0.053	0.062	-0.004
129.000	122109.000	0.460	-0.053	0.057	-0.004
130.000	121037.000	0.460	-0.053	0.076	-0.004
131.000	119965.000	0.460	-0.053	0.079	-0.004
132.000	118893.000	0.460	-0.053	0.090	-0.004
133.000	117821.000	0.460	-0.053	0.100	-0.004
134.000	116749.000	0.460	-0.053	0.060	-0.004
135.000	115677.000	0.460	-0.053	0.072	-0.004
136.000	114605.000	0.460	-0.053	0.060	-0.004
137.000	113533.000	0.460	-0.053	0.072	-0.004
138.000	112461.000	0.460	-0.053	0.070	-0.004
139.000	111389.000	0.460	-0.053	0.077	-0.004
140.000	110318.000	0.460	-0.053	0.083	-0.004
141.000	109246.000	0.460	-0.053	0.085	-0.004
142.000	108174.000	0.460	-0.053	0.073	-0.004
143.000	107102.000	0.460	-0.053	0.070	-0.004
144.000	106030.000	0.460	-0.053	0.075	-0.004
145.000	104958.000	0.460	-0.053	0.082	-0.004
146.000	103886.000	0.460	-0.053	0.080	-0.004
147.000	102814.000	0.460	-0.053	0.093	-0.004
148.000	101742.000	0.460	-0.053	0.068	-0.004
149.000	100670.000	0.460	-0.053	0.077	-0.004
150.000	99598.000	0.460	-0.053	0.077	-0.004
151.000	98526.000	0.460	-0.053	0.056	-0.004
152.000	97454.000	0.460	-0.053	0.064	-0.004
153.000	96382.000	0.460	-0.053	0.075	-0.004
154.000	95310.000	0.460	-0.053	0.084	-0.004
155.000	94238.000	0.460	-0.053	0.091	-0.004
156.000	93166.000	0.460	-0.053	0.061	-0.004
157.000	92094.000	0.460	-0.053	0.054	-0.004
158.000	91022.000	0.460	-0.053	0.064	-0.004
159.000	89950.000	0.460	-0.053	0.061	-0.004
160.000	88878.000	0.460	-0.053	0.065	-0.004
161.000	87807.000	0.460	-0.053	0.080	-0.004
162.000	86735.000	0.460	-0.053	0.094	-0.004
163.000	85663.000	0.460	-0.053	0.075	-0.004
164.000	84591.000	0.460	-0.053	0.071	-0.004
165.000	83519.000	0.460	-0.053	0.074	-0.004
166.000	82447.000	0.460	-0.053	0.048	-0.004
167.000	81375.000	0.460	-0.053	0.069	-0.004
168.000	80303.000	0.460	-0.053	0.069	-0.004
169.000	79231.000	0.460	-0.053	0.082	-0.004
170.000	78159.000	0.460	-0.053	0.090	-0.004
171.000	77087.000	0.460	-0.053	0.082	-0.004
