# Filename	C:\Users\labuser\Documents\Data\2018-11-04\2_fscan.txt
# Date	2018-11-4-23:12
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 20 dB. Laser at -60 GHz with -15 GHz Limit. MW Pulse from Laser -270 ns to +30 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	-0.008	0.113	0.108
18502000000.000	-0.008	0.082	0.096
18504000000.000	-0.008	0.089	0.143
18506000000.000	-0.008	0.069	0.137
18508000000.000	-0.008	0.059	0.110
18510000000.000	-0.008	0.070	0.125
18512000000.000	-0.008	0.055	0.127
18514000000.000	-0.008	0.083	0.140
18516000000.000	-0.008	0.082	0.121
18518000000.000	-0.008	0.087	0.155
18520000000.000	-0.008	0.101	0.106
18500200000.000	-0.008	0.106	0.154
18502200000.000	-0.008	0.106	0.104
18504200000.000	-0.008	0.134	0.108
18506200000.000	-0.008	0.087	0.089
18508200000.000	-0.008	0.035	0.128
18510200000.000	-0.008	0.082	0.149
18512200000.000	-0.008	0.057	0.133
18514200000.000	-0.008	0.082	0.119
18516200000.000	-0.008	0.100	0.125
18518200000.000	-0.008	0.110	0.144
18500400000.000	-0.008	0.114	0.123
18502400000.000	-0.008	0.081	0.159
18504400000.000	-0.008	0.095	0.145
18506400000.000	-0.008	0.071	0.144
18508400000.000	-0.008	0.058	0.128
18510400000.000	-0.008	0.056	0.094
18512400000.000	-0.008	0.061	0.134
18514400000.000	-0.008	0.097	0.125
18516400000.000	-0.008	0.087	0.144
18518400000.000	-0.008	0.106	0.116
18500600000.000	-0.008	0.092	0.118
18502600000.000	-0.008	0.066	0.133
18504600000.000	-0.008	0.070	0.123
18506600000.000	-0.008	0.078	0.149
18508600000.000	-0.008	0.031	0.135
18510600000.000	-0.008	0.039	0.126
18512600000.000	-0.008	0.061	0.132
18514600000.000	-0.008	0.081	0.128
18516600000.000	-0.008	0.089	0.128
18518600000.000	-0.008	0.093	0.128
18500800000.000	-0.008	0.085	0.120
18502800000.000	-0.008	0.091	0.126
18504800000.000	-0.008	0.079	0.108
18506800000.000	-0.008	0.065	0.128
18508800000.000	-0.008	0.034	0.118
18510800000.000	-0.008	0.047	0.106
18512800000.000	-0.008	0.066	0.141
18514800000.000	-0.008	0.087	0.104
18516800000.000	-0.008	0.120	0.153
18518800000.000	-0.008	0.108	0.135
18501000000.000	-0.008	0.109	0.137
18503000000.000	-0.008	0.093	0.136
18505000000.000	-0.008	0.084	0.112
18507000000.000	-0.008	0.053	0.117
18509000000.000	-0.008	0.041	0.102
18511000000.000	-0.008	0.050	0.123
18513000000.000	-0.008	0.066	0.148
18515000000.000	-0.008	0.086	0.143
18517000000.000	-0.008	0.085	0.123
18519000000.000	-0.008	0.094	0.133
18501200000.000	-0.008	0.090	0.103
18503200000.000	-0.008	0.050	0.122
18505200000.000	-0.008	0.075	0.136
18507200000.000	-0.008	0.043	0.146
18509200000.000	-0.008	0.053	0.120
18511200000.000	-0.008	0.078	0.127
18513200000.000	-0.008	0.078	0.133
18515200000.000	-0.008	0.078	0.145
18517200000.000	-0.008	0.065	0.100
18519200000.000	-0.008	0.101	0.092
18501400000.000	-0.008	0.084	0.131
18503400000.000	-0.008	0.062	0.119
18505400000.000	-0.008	0.076	0.130
18507400000.000	-0.008	0.062	0.118
18509400000.000	-0.008	0.050	0.138
18511400000.000	-0.008	0.058	0.156
18513400000.000	-0.008	0.074	0.130
18515400000.000	-0.008	0.084	0.091
18517400000.000	-0.008	0.081	0.124
18519400000.000	-0.008	0.098	0.115
18501600000.000	-0.008	0.091	0.148
18503600000.000	-0.008	0.057	0.133
18505600000.000	-0.008	0.063	0.142
18507600000.000	-0.008	0.076	0.137
18509600000.000	-0.008	0.038	0.131
18511600000.000	-0.008	0.047	0.070
18513600000.000	-0.008	0.053	0.115
18515600000.000	-0.008	0.074	0.112
18517600000.000	-0.008	0.091	0.121
18519600000.000	-0.008	0.095	0.123
18501800000.000	-0.008	0.098	0.121
18503800000.000	-0.008	0.080	0.120
18505800000.000	-0.008	0.077	0.124
18507800000.000	-0.008	0.030	0.135
18509800000.000	-0.008	0.064	0.118
18511800000.000	-0.008	0.084	0.150
18513800000.000	-0.008	0.071	0.110
18515800000.000	-0.008	0.094	0.127
18517800000.000	-0.008	0.081	0.139
18519800000.000	-0.008	0.133	0.118
