# Delay scan
# PM at 1.0 (38 dB)
# MW at 19 dB, 18.5094 GHzs, 18.6 dBm
# -1 Resonance
# Laser at 365859.0 GHz
# Static at 0 mV
# No Mod:	
# No Mod No MW:		
i	d	n	nb	s	sb
0.000	46804.000	0.651	0.048	0.115	0.047
1.000	47876.000	0.651	0.048	0.116	0.047
2.000	48948.000	0.651	0.048	0.107	0.047
3.000	50020.000	0.651	0.048	0.120	0.047
4.000	51092.000	0.651	0.048	0.118	0.047
5.000	52164.000	0.651	0.048	0.117	0.047
6.000	53236.000	0.651	0.048	0.121	0.047
7.000	54308.000	0.651	0.048	0.118	0.047
8.000	55380.000	0.651	0.048	0.112	0.047
9.000	56452.000	0.651	0.048	0.137	0.047
10.000	57524.000	0.651	0.048	0.117	0.047
11.000	58596.000	0.651	0.048	0.119	0.047
12.000	59668.000	0.651	0.048	0.123	0.047
13.000	60740.000	0.651	0.048	0.133	0.047
14.000	61812.000	0.651	0.048	0.114	0.047
15.000	62884.000	0.651	0.048	0.121	0.047
16.000	63956.000	0.651	0.048	0.108	0.047
17.000	65028.000	0.651	0.048	0.119	0.047
18.000	66099.000	0.651	0.048	0.114	0.047
19.000	67171.000	0.651	0.048	0.111	0.047
20.000	68243.000	0.651	0.048	0.130	0.047
21.000	69315.000	0.651	0.048	0.117	0.047
22.000	70387.000	0.651	0.048	0.121	0.047
23.000	71459.000	0.651	0.048	0.116	0.047
24.000	72531.000	0.651	0.048	0.116	0.047
25.000	73603.000	0.651	0.048	0.129	0.047
26.000	74675.000	0.651	0.048	0.118	0.047
27.000	75747.000	0.651	0.048	0.116	0.047
28.000	76819.000	0.651	0.048	0.120	0.047
29.000	77891.000	0.651	0.048	0.116	0.047
30.000	78963.000	0.651	0.048	0.113	0.047
31.000	80035.000	0.651	0.048	0.103	0.047
32.000	81107.000	0.651	0.048	0.109	0.047
33.000	82179.000	0.651	0.048	0.120	0.047
34.000	83251.000	0.651	0.048	0.121	0.047
35.000	84323.000	0.651	0.048	0.120	0.047
36.000	85395.000	0.651	0.048	0.104	0.047
37.000	86467.000	0.651	0.048	0.110	0.047
38.000	87539.000	0.651	0.048	0.107	0.047
39.000	88611.000	0.651	0.048	0.116	0.047
40.000	89682.000	0.651	0.048	0.116	0.047
41.000	90754.000	0.651	0.048	0.113	0.047
42.000	91826.000	0.651	0.048	0.118	0.047
43.000	92898.000	0.651	0.048	0.105	0.047
44.000	93970.000	0.651	0.048	0.108	0.047
45.000	95042.000	0.651	0.048	0.109	0.047
46.000	96114.000	0.651	0.048	0.122	0.047
47.000	97186.000	0.651	0.048	0.106	0.047
48.000	98258.000	0.651	0.048	0.120	0.047
49.000	99330.000	0.651	0.048	0.123	0.047
50.000	100402.000	0.651	0.048	0.117	0.047
51.000	101474.000	0.651	0.048	0.126	0.047
52.000	102546.000	0.651	0.048	0.116	0.047
53.000	103618.000	0.651	0.048	0.113	0.047
54.000	104690.000	0.651	0.048	0.115	0.047
55.000	105762.000	0.651	0.048	0.110	0.047
56.000	106834.000	0.651	0.048	0.127	0.047
57.000	107906.000	0.651	0.048	0.115	0.047
58.000	108978.000	0.651	0.048	0.117	0.047
59.000	110050.000	0.651	0.048	0.114	0.047
60.000	111122.000	0.651	0.048	0.127	0.047
61.000	112193.000	0.651	0.048	0.110	0.047
62.000	113265.000	0.651	0.048	0.115	0.047
63.000	114337.000	0.651	0.048	0.112	0.047
64.000	115409.000	0.651	0.048	0.117	0.047
65.000	116481.000	0.651	0.048	0.125	0.047
66.000	117553.000	0.651	0.048	0.112	0.047
67.000	118625.000	0.651	0.048	0.116	0.047
68.000	119697.000	0.651	0.048	0.120	0.047
69.000	120769.000	0.651	0.048	0.109	0.047
70.000	121841.000	0.651	0.048	0.112	0.047
71.000	122913.000	0.651	0.048	0.114	0.047
72.000	123985.000	0.651	0.048	0.121	0.047
73.000	125057.000	0.651	0.048	0.111	0.047
74.000	126129.000	0.651	0.048	0.113	0.047
75.000	127201.000	0.651	0.048	0.115	0.047
76.000	128273.000	0.651	0.048	0.101	0.047
77.000	129345.000	0.651	0.048	0.096	0.047
78.000	130417.000	0.651	0.048	0.112	0.047
79.000	131489.000	0.651	0.048	0.115	0.047
80.000	132561.000	0.651	0.048	0.124	0.047
81.000	133633.000	0.651	0.048	0.115	0.047
82.000	134704.000	0.651	0.048	0.107	0.047
83.000	135776.000	0.651	0.048	0.108	0.047
84.000	136848.000	0.651	0.048	0.118	0.047
85.000	137920.000	0.651	0.048	0.108	0.047
86.000	138992.000	0.651	0.048	0.118	0.047
87.000	140064.000	0.651	0.048	0.106	0.047
88.000	141136.000	0.651	0.048	0.117	0.047
89.000	142208.000	0.651	0.048	0.122	0.047
90.000	143280.000	0.651	0.048	0.111	0.047
91.000	144352.000	0.651	0.048	0.117	0.047
92.000	145424.000	0.651	0.048	0.114	0.047
93.000	146496.000	0.651	0.048	0.111	0.047
94.000	147568.000	0.651	0.048	0.110	0.047
95.000	148640.000	0.651	0.048	0.103	0.047
96.000	149712.000	0.651	0.048	0.104	0.047
97.000	150784.000	0.651	0.048	0.100	0.047
98.000	151856.000	0.651	0.048	0.104	0.047
99.000	152928.000	0.651	0.048	0.112	0.047
100.000	153196.000	0.651	0.048	0.113	0.047
101.000	152124.000	0.651	0.048	0.101	0.047
102.000	151052.000	0.651	0.048	0.112	0.047
103.000	149980.000	0.651	0.048	0.123	0.047
104.000	148908.000	0.651	0.048	0.115	0.047
105.000	147836.000	0.651	0.048	0.122	0.047
106.000	146764.000	0.651	0.048	0.115	0.047
107.000	145692.000	0.651	0.048	0.110	0.047
108.000	144620.000	0.651	0.048	0.117	0.047
109.000	143548.000	0.651	0.048	0.111	0.047
