# Title: Dye Laser Frequency Scan, MW -8 dB, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW at -8 dB Attn. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	8.0 dB
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4378.920	1.000	0.000	0.041	0.038
1.000	-4379.120	1.000	0.000	0.033	0.038
2.000	-4379.320	1.000	0.000	0.034	0.038
3.000	-4379.520	1.000	0.000	0.033	0.038
4.000	-4379.720	1.000	0.000	0.032	0.038
5.000	-4379.920	1.000	0.000	0.039	0.038
6.000	-4380.220	1.000	0.000	0.031	0.038
7.000	-4380.320	1.000	0.000	0.038	0.038
8.000	-4380.520	1.000	0.000	0.029	0.038
9.000	-4380.820	1.000	0.000	0.035	0.038
10.000	-4381.220	1.000	0.000	0.031	0.038
11.000	-4381.420	1.000	0.000	0.035	0.038
12.000	-4381.720	1.000	0.000	0.023	0.038
13.000	-4381.820	1.000	0.000	0.027	0.038
14.000	-4382.220	1.000	0.000	0.035	0.038
15.000	-4382.420	1.000	0.000	0.036	0.038
16.000	-4382.720	1.000	0.000	0.033	0.038
17.000	-4383.120	1.000	0.000	0.035	0.038
18.000	-4383.420	1.000	0.000	0.030	0.038
19.000	-4383.520	1.000	0.000	0.031	0.038
20.000	-4384.020	1.000	0.000	0.032	0.038
21.000	-4384.220	1.000	0.000	0.036	0.038
22.000	-4384.820	1.000	0.000	0.025	0.038
23.000	-4385.020	1.000	0.000	0.032	0.038
24.000	-4385.320	1.000	0.000	0.035	0.038
25.000	-4385.520	1.000	0.000	0.035	0.038
26.000	-4385.820	1.000	0.000	0.038	0.038
27.000	-4386.220	1.000	0.000	0.038	0.038
28.000	-4386.520	1.000	0.000	0.040	0.038
29.000	-4386.920	1.000	0.000	0.040	0.038
30.000	-4387.320	1.000	0.000	0.044	0.038
31.000	-4387.620	1.000	0.000	0.041	0.038
32.000	-4388.020	1.000	0.000	0.042	0.038
33.000	-4388.220	1.000	0.000	0.043	0.038
34.000	-4388.320	1.000	0.000	0.036	0.038
35.000	-4388.820	1.000	0.000	0.041	0.038
36.000	-4389.020	1.000	0.000	0.039	0.038
37.000	-4389.320	1.000	0.000	0.038	0.038
38.000	-4389.520	1.000	0.000	0.040	0.038
39.000	-4390.120	1.000	0.000	0.033	0.038
40.000	-4390.420	1.000	0.000	0.031	0.038
41.000	-4390.520	1.000	0.000	0.035	0.038
42.000	-4391.020	1.000	0.000	0.033	0.038
