# Title: Dye Laser Frequency Scan, MW -14 dB, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW at -14 dB Attn. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	14.0 dB
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4397.720	1.000	0.000	0.028	0.038
1.000	-4397.920	1.000	0.000	0.038	0.038
2.000	-4398.020	1.000	0.000	0.046	0.038
3.000	-4398.320	1.000	0.000	0.033	0.038
4.000	-4398.520	1.000	0.000	0.044	0.038
5.000	-4398.620	1.000	0.000	0.031	0.038
6.000	-4399.020	1.000	0.000	0.039	0.038
7.000	-4399.120	1.000	0.000	0.041	0.038
8.000	-4399.620	1.000	0.000	0.042	0.038
9.000	-4399.720	1.000	0.000	0.049	0.038
10.000	-4400.020	1.000	0.000	0.039	0.038
11.000	-4400.120	1.000	0.000	0.036	0.038
12.000	-4400.420	1.000	0.000	0.032	0.038
13.000	-4400.820	1.000	0.000	0.039	0.038
14.000	-4401.020	1.000	0.000	0.042	0.038
15.000	-4401.320	1.000	0.000	0.036	0.038
16.000	-4401.520	1.000	0.000	0.036	0.038
17.000	-4401.720	1.000	0.000	0.039	0.038
18.000	-4402.020	1.000	0.000	0.049	0.038
19.000	-4402.520	1.000	0.000	0.038	0.038
20.000	-4402.820	1.000	0.000	0.041	0.038
21.000	-4403.020	1.000	0.000	0.031	0.038
22.000	-4403.220	1.000	0.000	0.031	0.038
23.000	-4403.420	1.000	0.000	0.034	0.038
24.000	-4403.820	1.000	0.000	0.034	0.038
25.000	-4404.020	1.000	0.000	0.034	0.038
26.000	-4404.520	1.000	0.000	0.030	0.038
27.000	-4405.020	1.000	0.000	0.038	0.038
28.000	-4405.020	1.000	0.000	0.038	0.038
29.000	-4405.720	1.000	0.000	0.036	0.038
30.000	-4405.920	1.000	0.000	0.031	0.038
31.000	-4406.120	1.000	0.000	0.041	0.038
32.000	-4406.520	1.000	0.000	0.033	0.038
33.000	-4406.720	1.000	0.000	0.038	0.038
34.000	-4407.020	1.000	0.000	0.033	0.038
35.000	-4407.320	1.000	0.000	0.036	0.038
36.000	-4407.620	1.000	0.000	0.040	0.038
37.000	-4408.120	1.000	0.000	0.041	0.038
38.000	-4408.520	1.000	0.000	0.037	0.038
39.000	-4408.920	1.000	0.000	0.032	0.038
40.000	-4409.220	1.000	0.000	0.040	0.038
41.000	-4409.720	1.000	0.000	0.037	0.038
42.000	-4409.820	1.000	0.000	0.043	0.038
43.000	-4410.120	1.000	0.000	0.041	0.038
44.000	-4410.320	1.000	0.000	0.029	0.038
45.000	-4411.020	1.000	0.000	0.036	0.038
46.000	-4411.320	1.000	0.000	0.037	0.038
47.000	-4411.820	1.000	0.000	0.032	0.038
48.000	-4412.220	1.000	0.000	0.033	0.038
49.000	-4412.420	1.000	0.000	0.033	0.038
50.000	-4412.720	1.000	0.000	0.037	0.038
51.000	-4413.320	1.000	0.000	0.037	0.038
52.000	-4413.720	1.000	0.000	0.031	0.038
53.000	-4414.120	1.000	0.000	0.032	0.038
54.000	-4414.520	1.000	0.000	0.037	0.038
55.000	-4414.820	1.000	0.000	0.034	0.038
56.000	-4415.120	1.000	0.000	0.031	0.038
57.000	-4415.420	1.000	0.000	0.035	0.038
58.000	-4415.720	1.000	0.000	0.039	0.038
59.000	-4415.920	1.000	0.000	0.031	0.038
60.000	-4416.220	1.000	0.000	0.033	0.038
61.000	-4416.520	1.000	0.000	0.037	0.038
62.000	-4416.820	1.000	0.000	0.042	0.038
63.000	-4417.520	1.000	0.000	0.036	0.038
64.000	-4417.620	1.000	0.000	0.040	0.038
65.000	-4418.020	1.000	0.000	0.032	0.038
66.000	-4418.420	1.000	0.000	0.037	0.038
67.000	-4418.720	1.000	0.000	0.039	0.038
68.000	-4419.020	1.000	0.000	0.039	0.038
69.000	-4419.420	1.000	0.000	0.034	0.038
70.000	-4419.820	1.000	0.000	0.038	0.038
71.000	-4420.120	1.000	0.000	0.039	0.038
72.000	-4420.420	1.000	0.000	0.033	0.038
73.000	-4420.520	1.000	0.000	0.040	0.038
74.000	-4420.920	1.000	0.000	0.038	0.038
75.000	-4421.220	1.000	0.000	0.040	0.038
76.000	-4421.520	1.000	0.000	0.038	0.038
77.000	-4421.820	1.000	0.000	0.044	0.038
