# Title: Dye Laser Frequency Scan, MW -20 dB, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW at -20 dB Attn. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	20.0 dB
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
111.000	-4432.620	1.000	0.000	0.032	0.033
112.000	-4433.020	1.000	0.000	0.042	0.033
113.000	-4433.220	1.000	0.000	0.047	0.033
114.000	-4433.720	1.000	0.000	0.032	0.033
115.000	-4433.920	1.000	0.000	0.033	0.033
116.000	-4434.520	1.000	0.000	0.039	0.033
117.000	-4434.820	1.000	0.000	0.036	0.033
118.000	-4435.220	1.000	0.000	0.041	0.033
119.000	-4435.620	1.000	0.000	0.040	0.033
120.000	-4435.920	1.000	0.000	0.037	0.033
121.000	-4436.120	1.000	0.000	0.036	0.033
122.000	-4436.620	1.000	0.000	0.030	0.033
123.000	-4436.820	1.000	0.000	0.032	0.033
124.000	-4437.120	1.000	0.000	0.035	0.033
125.000	-4437.420	1.000	0.000	0.039	0.033
126.000	-4437.920	1.000	0.000	0.027	0.033
127.000	-4438.420	1.000	0.000	0.027	0.033
128.000	-4438.720	1.000	0.000	0.031	0.033
129.000	-4439.020	1.000	0.000	0.029	0.033
130.000	-4439.320	1.000	0.000	0.034	0.033
131.000	-4439.820	1.000	0.000	0.036	0.033
132.000	-4440.120	1.000	0.000	0.034	0.033
133.000	-4440.520	1.000	0.000	0.040	0.033
134.000	-4440.920	1.000	0.000	0.038	0.033
135.000	-4441.320	1.000	0.000	0.037	0.033
136.000	-4441.720	1.000	0.000	0.040	0.033
137.000	-4441.920	1.000	0.000	0.037	0.033
138.000	-4442.320	1.000	0.000	0.033	0.033
139.000	-4442.620	1.000	0.000	0.040	0.033
140.000	-4443.120	1.000	0.000	0.035	0.033
141.000	-4443.520	1.000	0.000	0.035	0.033
142.000	-4444.020	1.000	0.000	0.043	0.033
143.000	-4444.520	1.000	0.000	0.036	0.033
144.000	-4444.820	1.000	0.000	0.037	0.033
145.000	-4445.120	1.000	0.000	0.034	0.033
146.000	-4445.420	1.000	0.000	0.041	0.033
147.000	-4445.720	1.000	0.000	0.038	0.033
148.000	-4446.420	1.000	0.000	0.040	0.033
149.000	-4446.620	1.000	0.000	0.039	0.033
150.000	-4447.120	1.000	0.000	0.036	0.033
151.000	-4447.420	1.000	0.000	0.040	0.033
152.000	-4447.820	1.000	0.000	0.035	0.033
153.000	-4448.020	1.000	0.000	0.035	0.033
154.000	-4448.320	1.000	0.000	0.034	0.033
155.000	-4448.720	1.000	0.000	0.037	0.033
156.000	-4449.120	1.000	0.000	0.033	0.033
157.000	-4449.520	1.000	0.000	0.034	0.033
158.000	-4449.920	1.000	0.000	0.034	0.033
159.000	-4450.220	1.000	0.000	0.037	0.033
160.000	-4450.620	1.000	0.000	0.033	0.033
161.000	-4451.120	1.000	0.000	0.045	0.033
162.000	-4451.420	1.000	0.000	0.037	0.033
163.000	-4451.620	1.000	0.000	0.039	0.033
164.000	-4452.020	1.000	0.000	0.045	0.033
165.000	-4452.320	1.000	0.000	0.042	0.033
166.000	-4452.720	1.000	0.000	0.047	0.033
167.000	-4453.220	1.000	0.000	0.047	0.033
168.000	-4453.620	1.000	0.000	0.046	0.033
169.000	-4453.820	1.000	0.000	0.047	0.033
170.000	-4454.020	1.000	0.000	0.040	0.033
171.000	-4454.420	1.000	0.000	0.042	0.033
172.000	-4454.720	1.000	0.000	0.040	0.033
173.000	-4455.020	1.000	0.000	0.040	0.033
174.000	-4455.420	1.000	0.000	0.036	0.033
175.000	-4455.720	1.000	0.000	0.036	0.033
176.000	-4456.020	1.000	0.000	0.041	0.033
177.000	-4456.320	1.000	0.000	0.031	0.033
178.000	-4456.620	1.000	0.000	0.034	0.033
179.000	-4456.820	1.000	0.000	0.036	0.033
180.000	-4457.220	1.000	0.000	0.035	0.033
181.000	-4457.420	1.000	0.000	0.034	0.033
182.000	-4457.820	1.000	0.000	0.040	0.033
183.000	-4458.220	1.000	0.000	0.035	0.033
184.000	-4458.620	1.000	0.000	0.032	0.033
185.000	-4458.920	1.000	0.000	0.038	0.033
186.000	-4459.320	1.000	0.000	0.041	0.033
187.000	-4459.520	1.000	0.000	0.033	0.033
188.000	-4459.820	1.000	0.000	0.036	0.033
189.000	-4460.020	1.000	0.000	0.039	0.033
190.000	-4460.420	1.000	0.000	0.040	0.033
191.000	-4460.620	1.000	0.000	0.041	0.033
192.000	-4461.220	1.000	0.000	0.042	0.033
193.000	-4461.420	1.000	0.000	0.044	0.033
194.000	-4461.920	1.000	0.000	0.047	0.033
195.000	-4462.120	1.000	0.000	0.049	0.033
196.000	-4462.420	1.000	0.000	0.053	0.033
197.000	-4462.720	1.000	0.000	0.066	0.033
198.000	-4463.020	1.000	0.000	0.064	0.033
199.000	-4463.420	1.000	0.000	0.068	0.033
200.000	-4463.720	1.000	0.000	0.061	0.033
201.000	-4464.320	1.000	0.000	0.068	0.033
202.000	-4464.620	1.000	0.000	0.066	0.033
203.000	-4465.020	1.000	0.000	0.072	0.033
204.000	-4465.220	1.000	0.000	0.067	0.033
205.000	-4465.620	1.000	0.000	0.065	0.033
206.000	-4466.020	1.000	0.000	0.061	0.033
207.000	-4466.220	1.000	0.000	0.053	0.033
208.000	-4466.820	1.000	0.000	0.048	0.033
209.000	-4467.320	1.000	0.000	0.048	0.033
210.000	-4467.720	1.000	0.000	0.047	0.033
211.000	-4467.920	1.000	0.000	0.048	0.033
212.000	-4468.220	1.000	0.000	0.048	0.033
213.000	-4468.520	1.000	0.000	0.053	0.033
214.000	-4468.920	1.000	0.000	0.048	0.033
215.000	-4469.320	1.000	0.000	0.046	0.033
216.000	-4469.620	1.000	0.000	0.049	0.033
217.000	-4470.020	1.000	0.000	0.052	0.033
218.000	-4470.520	1.000	0.000	0.038	0.033
219.000	-4470.920	1.000	0.000	0.042	0.033
220.000	-4471.120	1.000	0.000	0.048	0.033
221.000	-4471.420	1.000	0.000	0.041	0.033
222.000	-4472.020	1.000	0.000	0.046	0.033
223.000	-4472.320	1.000	0.000	0.036	0.033
224.000	-4472.620	1.000	0.000	0.034	0.033
225.000	-4473.020	1.000	0.000	0.039	0.033
226.000	-4473.320	1.000	0.000	0.042	0.033
227.000	-4473.720	1.000	0.000	0.044	0.033
228.000	-4474.020	1.000	0.000	0.041	0.033
229.000	-4474.320	1.000	0.000	0.037	0.033
230.000	-4474.620	1.000	0.000	0.036	0.033
231.000	-4475.020	1.000	0.000	0.034	0.033
232.000	-4475.120	1.000	0.000	0.035	0.033
233.000	-4475.620	1.000	0.000	0.041	0.033
234.000	-4476.020	1.000	0.000	0.034	0.033
235.000	-4476.420	1.000	0.000	0.035	0.033
236.000	-4476.620	1.000	0.000	0.028	0.033
237.000	-4477.020	1.000	0.000	0.035	0.033
238.000	-4477.220	1.000	0.000	0.035	0.033
239.000	-4477.620	1.000	0.000	0.044	0.033
240.000	-4478.120	1.000	0.000	0.040	0.033
241.000	-4478.420	1.000	0.000	0.048	0.033
242.000	-4478.820	1.000	0.000	0.040	0.033
243.000	-4479.320	1.000	0.000	0.044	0.033
244.000	-4479.620	1.000	0.000	0.040	0.033
245.000	-4479.920	1.000	0.000	0.046	0.033
246.000	-4480.220	1.000	0.000	0.047	0.033
247.000	-4480.520	1.000	0.000	0.052	0.033
248.000	-4480.820	1.000	0.000	0.052	0.033
249.000	-4481.320	1.000	0.000	0.052	0.033
250.000	-4481.620	1.000	0.000	0.056	0.033
251.000	-4482.120	1.000	0.000	0.044	0.033
252.000	-4482.420	1.000	0.000	0.061	0.033
253.000	-4482.820	1.000	0.000	0.049	0.033
254.000	-4483.020	1.000	0.000	0.067	0.033
255.000	-4483.520	1.000	0.000	0.074	0.033
256.000	-4483.620	1.000	0.000	0.063	0.033
257.000	-4484.020	1.000	0.000	0.054	0.033
258.000	-4484.320	1.000	0.000	0.065	0.033
259.000	-4485.120	1.000	0.000	0.060	0.033
260.000	-4485.320	1.000	0.000	0.058	0.033
261.000	-4485.720	1.000	0.000	0.063	0.033
262.000	-4486.020	1.000	0.000	0.050	0.033
263.000	-4486.320	1.000	0.000	0.045	0.033
264.000	-4486.620	1.000	0.000	0.042	0.033
265.000	-4486.920	1.000	0.000	0.037	0.033
266.000	-4487.420	1.000	0.000	0.035	0.033
267.000	-4487.720	1.000	0.000	0.038	0.033
268.000	-4487.920	1.000	0.000	0.042	0.033
269.000	-4488.420	1.000	0.000	0.039	0.033
270.000	-4488.620	1.000	0.000	0.040	0.033
271.000	-4488.920	1.000	0.000	0.037	0.033
272.000	-4489.220	1.000	0.000	0.049	0.033
273.000	-4489.620	1.000	0.000	0.046	0.033
274.000	-4489.820	1.000	0.000	0.046	0.033
275.000	-4490.220	1.000	0.000	0.047	0.033
276.000	-4490.520	1.000	0.000	0.041	0.033
277.000	-4490.920	1.000	0.000	0.046	0.033
278.000	-4491.220	1.000	0.000	0.039	0.033
279.000	-4491.620	1.000	0.000	0.036	0.033
280.000	-4491.820	1.000	0.000	0.048	0.033
281.000	-4492.120	1.000	0.000	0.038	0.033
282.000	-4492.320	1.000	0.000	0.044	0.033
283.000	-4492.620	1.000	0.000	0.039	0.033
284.000	-4492.920	1.000	0.000	0.051	0.033
285.000	-4493.320	1.000	0.000	0.037	0.033
286.000	-4493.820	1.000	0.000	0.031	0.033
287.000	-4494.020	1.000	0.000	0.039	0.033
288.000	-4494.220	1.000	0.000	0.041	0.033
289.000	-4494.620	1.000	0.000	0.040	0.033
290.000	-4494.820	1.000	0.000	0.044	0.033
291.000	-4495.220	1.000	0.000	0.053	0.033
292.000	-4495.520	1.000	0.000	0.066	0.033
293.000	-4495.820	1.000	0.000	0.067	0.033
294.000	-4496.020	1.000	0.000	0.086	0.033
295.000	-4496.620	1.000	0.000	0.084	0.033
296.000	-4497.020	1.000	0.000	0.091	0.033
297.000	-4497.320	1.000	0.000	0.108	0.033
298.000	-4497.520	1.000	0.000	0.109	0.033
299.000	-4497.920	1.000	0.000	0.122	0.033
300.000	-4498.120	1.000	0.000	0.142	0.033
301.000	-4498.520	1.000	0.000	0.147	0.033
302.000	-4498.820	1.000	0.000	0.178	0.033
303.000	-4500.920	1.000	0.000	0.240	0.033
304.000	-4500.920	1.000	0.000	0.263	0.033
305.000	-4501.120	1.000	0.000	0.308	0.033
306.000	-4501.120	1.000	0.000	0.294	0.033
307.000	-4501.620	1.000	0.000	0.331	0.033
308.000	-4501.920	1.000	0.000	0.334	0.033
309.000	-4502.120	1.000	0.000	0.339	0.033
310.000	-4502.420	1.000	0.000	0.346	0.033
311.000	-4502.720	1.000	0.000	0.384	0.033
312.000	-4503.020	1.000	0.000	0.375	0.033
313.000	-4503.220	1.000	0.000	0.392	0.033
314.000	-4503.420	1.000	0.000	0.391	0.033
315.000	-4503.620	1.000	0.000	0.397	0.033
316.000	-4503.920	1.000	0.000	0.352	0.033
317.000	-4504.120	1.000	0.000	0.363	0.033
318.000	-4504.520	1.000	0.000	0.352	0.033
319.000	-4504.720	1.000	0.000	0.320	0.033
320.000	-4505.120	1.000	0.000	0.329	0.033
321.000	-4505.620	1.000	0.000	0.312	0.033
322.000	-4505.720	1.000	0.000	0.299	0.033
323.000	-4505.920	1.000	0.000	0.276	0.033
324.000	-4506.320	1.000	0.000	0.264	0.033
325.000	-4506.520	1.000	0.000	0.252	0.033
326.000	-4506.820	1.000	0.000	0.266	0.033
327.000	-4507.020	1.000	0.000	0.244	0.033
328.000	-4507.420	1.000	0.000	0.226	0.033
329.000	-4507.720	1.000	0.000	0.209	0.033
330.000	-4508.120	1.000	0.000	0.203	0.033
331.000	-4508.420	1.000	0.000	0.212	0.033
332.000	-4508.820	1.000	0.000	0.170	0.033
333.000	-4509.120	1.000	0.000	0.177	0.033
334.000	-4509.320	1.000	0.000	0.160	0.033
335.000	-4509.520	1.000	0.000	0.145	0.033
336.000	-4509.920	1.000	0.000	0.123	0.033
337.000	-4510.220	1.000	0.000	0.125	0.033
338.000	-4510.620	1.000	0.000	0.128	0.033
339.000	-4510.920	1.000	0.000	0.123	0.033
340.000	-4511.420	1.000	0.000	0.110	0.033
341.000	-4511.820	1.000	0.000	0.114	0.033
342.000	-4512.120	1.000	0.000	0.116	0.033
343.000	-4512.320	1.000	0.000	0.118	0.033
344.000	-4512.920	1.000	0.000	0.109	0.033
345.000	-4513.120	1.000	0.000	0.134	0.033
346.000	-4513.420	1.000	0.000	0.126	0.033
347.000	-4514.020	1.000	0.000	0.149	0.033
348.000	-4514.420	1.000	0.000	0.133	0.033
349.000	-4514.720	1.000	0.000	0.156	0.033
350.000	-4515.020	1.000	0.000	0.135	0.033
351.000	-4515.420	1.000	0.000	0.160	0.033
352.000	-4515.720	1.000	0.000	0.189	0.033
353.000	-4516.120	1.000	0.000	0.172	0.033
354.000	-4516.420	1.000	0.000	0.201	0.033
355.000	-4517.020	1.000	0.000	0.191	0.033
356.000	-4517.320	1.000	0.000	0.226	0.033
357.000	-4517.720	1.000	0.000	0.227	0.033
358.000	-4518.120	1.000	0.000	0.252	0.033
359.000	-4518.420	1.000	0.000	0.251	0.033
360.000	-4518.620	1.000	0.000	0.273	0.033
361.000	-4519.020	1.000	0.000	0.307	0.033
362.000	-4519.520	1.000	0.000	0.292	0.033
363.000	-4520.020	1.000	0.000	0.333	0.033
364.000	-4520.320	1.000	0.000	0.332	0.033
365.000	-4520.820	1.000	0.000	0.391	0.033
366.000	-4521.020	1.000	0.000	0.345	0.033
367.000	-4521.520	1.000	0.000	0.332	0.033
368.000	-4521.820	1.000	0.000	0.318	0.033
369.000	-4522.220	1.000	0.000	0.282	0.033
370.000	-4522.520	1.000	0.000	0.302	0.033
371.000	-4522.920	1.000	0.000	0.262	0.033
372.000	-4523.420	1.000	0.000	0.289	0.033
373.000	-4523.620	1.000	0.000	0.226	0.033
374.000	-4524.020	1.000	0.000	0.176	0.033
375.000	-4524.220	1.000	0.000	0.177	0.033
376.000	-4524.520	1.000	0.000	0.177	0.033
377.000	-4524.920	1.000	0.000	0.142	0.033
378.000	-4525.420	1.000	0.000	0.169	0.033
379.000	-4525.820	1.000	0.000	0.156	0.033
380.000	-4526.120	1.000	0.000	0.198	0.033
381.000	-4526.320	1.000	0.000	0.202	0.033
382.000	-4526.720	1.000	0.000	0.224	0.033
383.000	-4526.920	1.000	0.000	0.281	0.033
384.000	-4527.320	1.000	0.000	0.266	0.033
385.000	-4527.720	1.000	0.000	0.299	0.033
386.000	-4527.920	1.000	0.000	0.289	0.033
387.000	-4528.320	1.000	0.000	0.316	0.033
388.000	-4528.620	1.000	0.000	0.312	0.033
389.000	-4528.920	1.000	0.000	0.305	0.033
390.000	-4529.320	1.000	0.000	0.305	0.033
391.000	-4529.520	1.000	0.000	0.271	0.033
392.000	-4529.720	1.000	0.000	0.260	0.033
393.000	-4530.020	1.000	0.000	0.216	0.033
394.000	-4530.220	1.000	0.000	0.194	0.033
395.000	-4530.620	1.000	0.000	0.179	0.033
396.000	-4530.820	1.000	0.000	0.118	0.033
397.000	-4531.320	1.000	0.000	0.104	0.033
398.000	-4531.820	1.000	0.000	0.078	0.033
399.000	-4532.120	1.000	0.000	0.071	0.033
400.000	-4532.420	1.000	0.000	0.076	0.033
401.000	-4532.720	1.000	0.000	0.065	0.033
402.000	-4533.020	1.000	0.000	0.062	0.033
403.000	-4533.420	1.000	0.000	0.079	0.033
404.000	-4533.820	1.000	0.000	0.064	0.033
405.000	-4534.220	1.000	0.000	0.070	0.033
406.000	-4534.720	1.000	0.000	0.063	0.033
407.000	-4535.120	1.000	0.000	0.074	0.033
408.000	-4535.320	1.000	0.000	0.063	0.033
409.000	-4535.820	1.000	0.000	0.067	0.033
