# Title: Dye Laser Frequency Scan, MW Off, +50 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +50 V static, MW Off. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	50 V
# Static Off:	NaN
i	f	n	nb	s	sb
112.000	-4610.120	1.000	0.000	0.041	0.040
113.000	-4609.720	1.000	0.000	0.043	0.040
114.000	-4609.520	1.000	0.000	0.040	0.040
115.000	-4608.920	1.000	0.000	0.047	0.040
116.000	-4608.620	1.000	0.000	0.048	0.040
117.000	-4608.320	1.000	0.000	0.043	0.040
118.000	-4607.920	1.000	0.000	0.044	0.040
119.000	-4607.420	1.000	0.000	0.041	0.040
120.000	-4607.320	1.000	0.000	0.047	0.040
121.000	-4606.920	1.000	0.000	0.046	0.040
122.000	-4606.420	1.000	0.000	0.043	0.040
123.000	-4606.020	1.000	0.000	0.044	0.040
124.000	-4605.520	1.000	0.000	0.042	0.040
125.000	-4605.120	1.000	0.000	0.041	0.040
126.000	-4604.820	1.000	0.000	0.049	0.040
127.000	-4604.420	1.000	0.000	0.037	0.040
128.000	-4604.020	1.000	0.000	0.046	0.040
129.000	-4603.820	1.000	0.000	0.044	0.040
130.000	-4603.520	1.000	0.000	0.042	0.040
131.000	-4603.020	1.000	0.000	0.046	0.040
132.000	-4602.720	1.000	0.000	0.043	0.040
133.000	-4602.420	1.000	0.000	0.044	0.040
134.000	-4602.120	1.000	0.000	0.044	0.040
135.000	-4601.720	1.000	0.000	0.053	0.040
136.000	-4601.320	1.000	0.000	0.047	0.040
137.000	-4600.920	1.000	0.000	0.047	0.040
138.000	-4600.520	1.000	0.000	0.042	0.040
139.000	-4600.120	1.000	0.000	0.044	0.040
140.000	-4599.620	1.000	0.000	0.040	0.040
141.000	-4599.320	1.000	0.000	0.050	0.040
142.000	-4599.020	1.000	0.000	0.046	0.040
143.000	-4598.720	1.000	0.000	0.042	0.040
144.000	-4598.320	1.000	0.000	0.039	0.040
145.000	-4598.020	1.000	0.000	0.045	0.040
146.000	-4597.820	1.000	0.000	0.038	0.040
147.000	-4597.120	1.000	0.000	0.041	0.040
148.000	-4596.720	1.000	0.000	0.037	0.040
149.000	-4596.520	1.000	0.000	0.041	0.040
150.000	-4596.120	1.000	0.000	0.040	0.040
151.000	-4595.820	1.000	0.000	0.039	0.040
152.000	-4595.520	1.000	0.000	0.036	0.040
153.000	-4595.220	1.000	0.000	0.040	0.040
154.000	-4595.020	1.000	0.000	0.033	0.040
