# Title: Dye Laser Frequency Scan, MW Off, +0 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +0 V static, MW Off. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4397.020	1.000	0.000	0.007	0.003
1.000	-4397.120	1.000	0.000	0.002	0.003
2.000	-4397.220	1.000	0.000	0.005	0.003
3.000	-4397.320	1.000	0.000	0.001	0.003
4.000	-4397.420	1.000	0.000	0.001	0.003
5.000	-4397.820	1.000	0.000	0.004	0.003
6.000	-4397.820	1.000	0.000	0.007	0.003
7.000	-4398.020	1.000	0.000	0.009	0.003
8.000	-4398.220	1.000	0.000	0.010	0.003
9.000	-4398.620	1.000	0.000	0.003	0.003
10.000	-4398.720	1.000	0.000	0.006	0.003
11.000	-4398.820	1.000	0.000	0.005	0.003
12.000	-4399.020	1.000	0.000	0.002	0.003
13.000	-4399.120	1.000	0.000	-0.000	0.003
14.000	-4399.520	1.000	0.000	0.000	0.003
15.000	-4399.620	1.000	0.000	-0.001	0.003
16.000	-4399.820	1.000	0.000	0.006	0.003
17.000	-4400.020	1.000	0.000	0.006	0.003
18.000	-4400.020	1.000	0.000	0.006	0.003
19.000	-4400.320	1.000	0.000	0.008	0.003
20.000	-4400.620	1.000	0.000	0.005	0.003
21.000	-4400.820	1.000	0.000	0.006	0.003
22.000	-4401.120	1.000	0.000	0.006	0.003
23.000	-4401.520	1.000	0.000	0.005	0.003
24.000	-4401.720	1.000	0.000	0.004	0.003
25.000	-4401.820	1.000	0.000	0.006	0.003
26.000	-4402.220	1.000	0.000	-0.005	0.003
27.000	-4402.420	1.000	0.000	0.006	0.003
28.000	-4402.920	1.000	0.000	0.007	0.003
29.000	-4402.920	1.000	0.000	0.003	0.003
30.000	-4403.320	1.000	0.000	0.003	0.003
31.000	-4403.820	1.000	0.000	0.003	0.003
32.000	-4404.120	1.000	0.000	0.004	0.003
33.000	-4404.420	1.000	0.000	0.001	0.003
34.000	-4404.820	1.000	0.000	0.006	0.003
35.000	-4405.120	1.000	0.000	0.001	0.003
36.000	-4405.420	1.000	0.000	0.000	0.003
37.000	-4405.820	1.000	0.000	0.002	0.003
38.000	-4406.120	1.000	0.000	0.000	0.003
39.000	-4406.520	1.000	0.000	0.005	0.003
40.000	-4406.720	1.000	0.000	0.003	0.003
41.000	-4407.220	1.000	0.000	0.002	0.003
42.000	-4407.520	1.000	0.000	0.000	0.003
43.000	-4407.920	1.000	0.000	0.001	0.003
44.000	-4408.220	1.000	0.000	0.003	0.003
45.000	-4408.520	1.000	0.000	0.002	0.003
46.000	-4408.920	1.000	0.000	0.001	0.003
47.000	-4409.020	1.000	0.000	0.002	0.003
48.000	-4409.520	1.000	0.000	0.005	0.003
49.000	-4409.720	1.000	0.000	0.001	0.003
50.000	-4410.420	1.000	0.000	0.004	0.003
51.000	-4410.620	1.000	0.000	0.006	0.003
52.000	-4411.020	1.000	0.000	0.005	0.003
53.000	-4411.320	1.000	0.000	-0.000	0.003
54.000	-4411.620	1.000	0.000	0.007	0.003
55.000	-4411.920	1.000	0.000	0.006	0.003
56.000	-4412.020	1.000	0.000	0.005	0.003
57.000	-4412.520	1.000	0.000	-0.001	0.003
58.000	-4412.920	1.000	0.000	0.004	0.003
59.000	-4413.420	1.000	0.000	0.008	0.003
60.000	-4413.620	1.000	0.000	0.008	0.003
61.000	-4414.020	1.000	0.000	0.002	0.003
62.000	-4414.220	1.000	0.000	0.008	0.003
63.000	-4414.520	1.000	0.000	0.010	0.003
64.000	-4415.020	1.000	0.000	0.001	0.003
65.000	-4415.220	1.000	0.000	0.005	0.003
66.000	-4415.620	1.000	0.000	0.004	0.003
67.000	-4416.120	1.000	0.000	0.004	0.003
68.000	-4416.420	1.000	0.000	0.002	0.003
69.000	-4416.820	1.000	0.000	0.008	0.003
70.000	-4417.120	1.000	0.000	0.006	0.003
71.000	-4417.320	1.000	0.000	0.002	0.003
72.000	-4417.820	1.000	0.000	0.004	0.003
73.000	-4418.220	1.000	0.000	0.006	0.003
74.000	-4418.420	1.000	0.000	0.001	0.003
75.000	-4418.920	1.000	0.000	0.004	0.003
76.000	-4419.420	1.000	0.000	0.006	0.003
77.000	-4419.620	1.000	0.000	0.005	0.003
78.000	-4419.920	1.000	0.000	0.001	0.003
79.000	-4420.320	1.000	0.000	0.004	0.003
80.000	-4420.520	1.000	0.000	0.005	0.003
81.000	-4420.920	1.000	0.000	0.004	0.003
82.000	-4421.220	1.000	0.000	0.007	0.003
83.000	-4421.520	1.000	0.000	-0.001	0.003
84.000	-4422.020	1.000	0.000	0.005	0.003
85.000	-4422.320	1.000	0.000	0.005	0.003
86.000	-4422.620	1.000	0.000	0.005	0.003
87.000	-4422.820	1.000	0.000	0.004	0.003
88.000	-4423.120	1.000	0.000	0.002	0.003
89.000	-4423.320	1.000	0.000	0.007	0.003
90.000	-4423.620	1.000	0.000	0.002	0.003
91.000	-4424.020	1.000	0.000	0.003	0.003
92.000	-4424.320	1.000	0.000	0.003	0.003
93.000	-4424.820	1.000	0.000	0.001	0.003
94.000	-4425.120	1.000	0.000	0.003	0.003
95.000	-4425.520	1.000	0.000	0.004	0.003
96.000	-4425.820	1.000	0.000	0.007	0.003
97.000	-4426.020	1.000	0.000	0.007	0.003
98.000	-4426.320	1.000	0.000	0.006	0.003
99.000	-4426.620	1.000	0.000	0.002	0.003
100.000	-4426.920	1.000	0.000	0.005	0.003
101.000	-4427.220	1.000	0.000	0.004	0.003
102.000	-4427.420	1.000	0.000	0.001	0.003
103.000	-4427.920	1.000	0.000	0.003	0.003
104.000	-4428.220	1.000	0.000	0.006	0.003
105.000	-4428.520	1.000	0.000	0.004	0.003
106.000	-4428.720	1.000	0.000	0.005	0.003
107.000	-4429.220	1.000	0.000	0.003	0.003
108.000	-4429.420	1.000	0.000	-0.001	0.003
109.000	-4429.720	1.000	0.000	0.008	0.003
110.000	-4430.020	1.000	0.000	0.001	0.003
