# Title: Dye Laser Frequency Scan, MW -8 dB, +0 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +0 V static, MW at -8 dB Attn. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	8.0 dB
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4644.920	1.000	0.000	0.003	0.002
1.000	-4644.920	1.000	0.000	0.004	0.002
2.000	-4644.720	1.000	0.000	0.003	0.002
3.000	-4644.520	1.000	0.000	0.000	0.002
4.000	-4644.220	1.000	0.000	0.004	0.002
5.000	-4643.920	1.000	0.000	0.003	0.002
6.000	-4643.920	1.000	0.000	0.001	0.002
7.000	-4643.620	1.000	0.000	0.004	0.002
8.000	-4643.320	1.000	0.000	0.005	0.002
9.000	-4643.120	1.000	0.000	0.002	0.002
10.000	-4642.920	1.000	0.000	0.004	0.002
11.000	-4642.720	1.000	0.000	0.006	0.002
12.000	-4642.320	1.000	0.000	0.000	0.002
13.000	-4642.120	1.000	0.000	0.001	0.002
14.000	-4641.820	1.000	0.000	0.001	0.002
15.000	-4641.320	1.000	0.000	0.000	0.002
16.000	-4641.020	1.000	0.000	0.001	0.002
17.000	-4640.720	1.000	0.000	0.007	0.002
18.000	-4640.320	1.000	0.000	0.007	0.002
19.000	-4639.920	1.000	0.000	0.004	0.002
20.000	-4639.720	1.000	0.000	0.006	0.002
21.000	-4639.520	1.000	0.000	0.005	0.002
22.000	-4639.020	1.000	0.000	0.000	0.002
23.000	-4638.620	1.000	0.000	0.005	0.002
24.000	-4638.320	1.000	0.000	0.006	0.002
25.000	-4637.820	1.000	0.000	-0.003	0.002
26.000	-4637.520	1.000	0.000	0.002	0.002
27.000	-4637.220	1.000	0.000	0.000	0.002
28.000	-4636.920	1.000	0.000	0.001	0.002
29.000	-4636.720	1.000	0.000	0.002	0.002
30.000	-4636.220	1.000	0.000	0.005	0.002
31.000	-4636.020	1.000	0.000	0.004	0.002
32.000	-4635.420	1.000	0.000	-0.003	0.002
33.000	-4635.020	1.000	0.000	0.003	0.002
34.000	-4634.720	1.000	0.000	0.001	0.002
35.000	-4634.420	1.000	0.000	0.000	0.002
36.000	-4634.120	1.000	0.000	-0.001	0.002
37.000	-4633.820	1.000	0.000	0.001	0.002
38.000	-4633.420	1.000	0.000	0.003	0.002
39.000	-4633.020	1.000	0.000	0.004	0.002
40.000	-4632.620	1.000	0.000	-0.004	0.002
41.000	-4632.220	1.000	0.000	0.005	0.002
42.000	-4631.820	1.000	0.000	-0.001	0.002
43.000	-4631.620	1.000	0.000	0.000	0.002
44.000	-4631.420	1.000	0.000	-0.002	0.002
45.000	-4631.120	1.000	0.000	-0.001	0.002
46.000	-4630.920	1.000	0.000	0.004	0.002
47.000	-4630.520	1.000	0.000	0.002	0.002
48.000	-4630.220	1.000	0.000	0.004	0.002
49.000	-4629.920	1.000	0.000	0.003	0.002
50.000	-4629.520	1.000	0.000	0.006	0.002
51.000	-4629.120	1.000	0.000	0.004	0.002
52.000	-4628.920	1.000	0.000	-0.003	0.002
53.000	-4628.520	1.000	0.000	0.003	0.002
54.000	-4628.420	1.000	0.000	0.004	0.002
55.000	-4628.020	1.000	0.000	0.006	0.002
56.000	-4627.720	1.000	0.000	0.004	0.002
57.000	-4627.420	1.000	0.000	0.004	0.002
58.000	-4627.120	1.000	0.000	0.003	0.002
59.000	-4626.720	1.000	0.000	0.004	0.002
60.000	-4626.320	1.000	0.000	0.006	0.002
61.000	-4626.020	1.000	0.000	0.002	0.002
62.000	-4625.820	1.000	0.000	0.008	0.002
63.000	-4625.420	1.000	0.000	0.003	0.002
64.000	-4625.320	1.000	0.000	0.006	0.002
65.000	-4624.820	1.000	0.000	0.005	0.002
66.000	-4624.620	1.000	0.000	0.004	0.002
67.000	-4624.120	1.000	0.000	0.003	0.002
68.000	-4623.720	1.000	0.000	0.006	0.002
69.000	-4623.320	1.000	0.000	0.005	0.002
70.000	-4623.120	1.000	0.000	0.001	0.002
71.000	-4622.920	1.000	0.000	0.005	0.002
72.000	-4622.520	1.000	0.000	0.000	0.002
73.000	-4622.120	1.000	0.000	0.004	0.002
74.000	-4621.920	1.000	0.000	-0.002	0.002
75.000	-4621.520	1.000	0.000	-0.003	0.002
76.000	-4621.020	1.000	0.000	-0.001	0.002
77.000	-4620.820	1.000	0.000	0.005	0.002
78.000	-4620.520	1.000	0.000	0.006	0.002
79.000	-4620.220	1.000	0.000	0.003	0.002
80.000	-4619.920	1.000	0.000	0.005	0.002
81.000	-4619.520	1.000	0.000	0.004	0.002
82.000	-4619.320	1.000	0.000	-0.000	0.002
83.000	-4618.920	1.000	0.000	0.002	0.002
84.000	-4618.720	1.000	0.000	0.006	0.002
85.000	-4618.120	1.000	0.000	0.004	0.002
86.000	-4617.620	1.000	0.000	-0.002	0.002
87.000	-4617.220	1.000	0.000	0.005	0.002
88.000	-4616.920	1.000	0.000	0.009	0.002
89.000	-4616.620	1.000	0.000	0.007	0.002
90.000	-4616.320	1.000	0.000	0.007	0.002
91.000	-4616.120	1.000	0.000	0.005	0.002
92.000	-4615.520	1.000	0.000	0.012	0.002
93.000	-4615.120	1.000	0.000	0.007	0.002
94.000	-4614.720	1.000	0.000	0.008	0.002
95.000	-4614.420	1.000	0.000	0.007	0.002
96.000	-4614.120	1.000	0.000	0.007	0.002
97.000	-4613.720	1.000	0.000	0.014	0.002
98.000	-4613.420	1.000	0.000	0.020	0.002
99.000	-4612.920	1.000	0.000	0.019	0.002
100.000	-4612.520	1.000	0.000	0.022	0.002
101.000	-4612.120	1.000	0.000	0.011	0.002
102.000	-4611.820	1.000	0.000	0.013	0.002
103.000	-4611.520	1.000	0.000	0.009	0.002
104.000	-4611.320	1.000	0.000	0.010	0.002
105.000	-4610.820	1.000	0.000	0.003	0.002
106.000	-4610.620	1.000	0.000	0.003	0.002
107.000	-4610.320	1.000	0.000	0.005	0.002
108.000	-4609.820	1.000	0.000	0.003	0.002
109.000	-4609.420	1.000	0.000	0.004	0.002
110.000	-4609.020	1.000	0.000	0.004	0.002
111.000	-4608.720	1.000	0.000	0.003	0.002
112.000	-4608.320	1.000	0.000	0.003	0.002
113.000	-4608.120	1.000	0.000	0.007	0.002
114.000	-4607.820	1.000	0.000	0.008	0.002
115.000	-4607.420	1.000	0.000	0.007	0.002
116.000	-4606.920	1.000	0.000	0.006	0.002
117.000	-4606.520	1.000	0.000	-0.003	0.002
118.000	-4606.020	1.000	0.000	0.006	0.002
119.000	-4605.720	1.000	0.000	0.005	0.002
120.000	-4605.420	1.000	0.000	0.005	0.002
121.000	-4605.120	1.000	0.000	0.005	0.002
122.000	-4604.720	1.000	0.000	0.003	0.002
123.000	-4604.320	1.000	0.000	-0.001	0.002
124.000	-4603.720	1.000	0.000	0.003	0.002
125.000	-4603.220	1.000	0.000	0.003	0.002
126.000	-4603.020	1.000	0.000	0.004	0.002
127.000	-4602.420	1.000	0.000	0.004	0.002
128.000	-4602.220	1.000	0.000	0.004	0.002
129.000	-4601.920	1.000	0.000	0.005	0.002
130.000	-4601.620	1.000	0.000	0.008	0.002
131.000	-4601.320	1.000	0.000	0.006	0.002
132.000	-4600.920	1.000	0.000	0.000	0.002
133.000	-4600.520	1.000	0.000	0.002	0.002
134.000	-4600.020	1.000	0.000	0.008	0.002
135.000	-4599.820	1.000	0.000	0.008	0.002
136.000	-4599.220	1.000	0.000	0.011	0.002
137.000	-4599.020	1.000	0.000	0.009	0.002
138.000	-4598.620	1.000	0.000	0.009	0.002
139.000	-4598.220	1.000	0.000	0.012	0.002
140.000	-4598.020	1.000	0.000	0.012	0.002
141.000	-4597.620	1.000	0.000	0.013	0.002
142.000	-4597.220	1.000	0.000	0.008	0.002
143.000	-4596.820	1.000	0.000	0.010	0.002
144.000	-4596.620	1.000	0.000	0.012	0.002
145.000	-4596.320	1.000	0.000	0.006	0.002
146.000	-4596.020	1.000	0.000	0.006	0.002
147.000	-4595.720	1.000	0.000	0.010	0.002
148.000	-4595.320	1.000	0.000	0.006	0.002
149.000	-4595.120	1.000	0.000	0.007	0.002
150.000	-4594.520	1.000	0.000	0.003	0.002
151.000	-4594.220	1.000	0.000	0.007	0.002
152.000	-4593.820	1.000	0.000	0.002	0.002
153.000	-4593.620	1.000	0.000	0.001	0.002
154.000	-4593.420	1.000	0.000	0.002	0.002
155.000	-4593.020	1.000	0.000	0.006	0.002
156.000	-4592.720	1.000	0.000	0.000	0.002
157.000	-4592.320	1.000	0.000	0.000	0.002
158.000	-4591.820	1.000	0.000	0.008	0.002
159.000	-4591.420	1.000	0.000	0.005	0.002
160.000	-4591.220	1.000	0.000	0.003	0.002
161.000	-4590.920	1.000	0.000	0.007	0.002
162.000	-4590.520	1.000	0.000	0.009	0.002
163.000	-4590.120	1.000	0.000	0.006	0.002
164.000	-4589.920	1.000	0.000	0.004	0.002
165.000	-4589.620	1.000	0.000	0.005	0.002
166.000	-4589.120	1.000	0.000	0.007	0.002
167.000	-4588.820	1.000	0.000	0.010	0.002
168.000	-4588.320	1.000	0.000	0.015	0.002
169.000	-4587.920	1.000	0.000	0.012	0.002
170.000	-4587.520	1.000	0.000	0.015	0.002
171.000	-4587.320	1.000	0.000	0.026	0.002
172.000	-4586.820	1.000	0.000	0.023	0.002
173.000	-4586.620	1.000	0.000	0.023	0.002
174.000	-4586.120	1.000	0.000	0.025	0.002
175.000	-4585.620	1.000	0.000	0.028	0.002
176.000	-4585.420	1.000	0.000	0.027	0.002
177.000	-4583.620	1.000	0.000	0.020	0.002
178.000	-4583.520	1.000	0.000	0.013	0.002
179.000	-4583.420	1.000	0.000	0.010	0.002
180.000	-4583.020	1.000	0.000	0.009	0.002
181.000	-4582.720	1.000	0.000	0.003	0.002
182.000	-4582.420	1.000	0.000	0.008	0.002
183.000	-4582.120	1.000	0.000	0.005	0.002
184.000	-4581.820	1.000	0.000	0.006	0.002
185.000	-4581.620	1.000	0.000	0.007	0.002
186.000	-4581.220	1.000	0.000	0.004	0.002
187.000	-4580.920	1.000	0.000	0.006	0.002
188.000	-4580.520	1.000	0.000	0.003	0.002
189.000	-4580.120	1.000	0.000	0.009	0.002
190.000	-4579.720	1.000	0.000	0.000	0.002
191.000	-4579.320	1.000	0.000	0.005	0.002
192.000	-4578.920	1.000	0.000	0.007	0.002
193.000	-4578.620	1.000	0.000	0.004	0.002
194.000	-4578.420	1.000	0.000	0.006	0.002
195.000	-4578.120	1.000	0.000	-0.000	0.002
196.000	-4577.720	1.000	0.000	0.005	0.002
197.000	-4577.220	1.000	0.000	0.005	0.002
198.000	-4576.720	1.000	0.000	0.007	0.002
199.000	-4576.320	1.000	0.000	0.002	0.002
200.000	-4576.020	1.000	0.000	0.006	0.002
201.000	-4575.720	1.000	0.000	0.004	0.002
202.000	-4575.420	1.000	0.000	0.003	0.002
203.000	-4574.920	1.000	0.000	0.003	0.002
204.000	-4574.620	1.000	0.000	-0.002	0.002
205.000	-4574.220	1.000	0.000	0.004	0.002
206.000	-4573.720	1.000	0.000	0.003	0.002
207.000	-4573.420	1.000	0.000	-0.001	0.002
208.000	-4573.220	1.000	0.000	0.004	0.002
209.000	-4572.820	1.000	0.000	0.005	0.002
210.000	-4572.520	1.000	0.000	0.000	0.002
211.000	-4572.120	1.000	0.000	0.003	0.002
212.000	-4571.720	1.000	0.000	0.002	0.002
213.000	-4571.320	1.000	0.000	0.006	0.002
214.000	-4570.920	1.000	0.000	0.003	0.002
215.000	-4570.520	1.000	0.000	0.002	0.002
216.000	-4570.320	1.000	0.000	0.002	0.002
217.000	-4569.920	1.000	0.000	0.004	0.002
218.000	-4569.520	1.000	0.000	0.003	0.002
219.000	-4569.220	1.000	0.000	-0.001	0.002
220.000	-4568.820	1.000	0.000	0.005	0.002
221.000	-4568.420	1.000	0.000	0.004	0.002
222.000	-4567.920	1.000	0.000	0.002	0.002
223.000	-4567.620	1.000	0.000	0.003	0.002
224.000	-4567.220	1.000	0.000	0.004	0.002
225.000	-4566.920	1.000	0.000	0.001	0.002
226.000	-4566.520	1.000	0.000	0.005	0.002
227.000	-4566.220	1.000	0.000	-0.004	0.002
228.000	-4565.620	1.000	0.000	0.001	0.002
229.000	-4565.320	1.000	0.000	0.004	0.002
230.000	-4564.920	1.000	0.000	0.004	0.002
231.000	-4564.620	1.000	0.000	0.005	0.002
232.000	-4564.320	1.000	0.000	0.001	0.002
233.000	-4564.020	1.000	0.000	0.004	0.002
234.000	-4563.620	1.000	0.000	0.006	0.002
235.000	-4563.220	1.000	0.000	0.001	0.002
236.000	-4562.820	1.000	0.000	0.005	0.002
237.000	-4562.320	1.000	0.000	0.002	0.002
238.000	-4562.020	1.000	0.000	0.002	0.002
239.000	-4561.620	1.000	0.000	0.001	0.002
240.000	-4561.320	1.000	0.000	0.001	0.002
241.000	-4561.120	1.000	0.000	0.007	0.002
242.000	-4560.920	1.000	0.000	0.007	0.002
243.000	-4560.420	1.000	0.000	-0.001	0.002
244.000	-4560.120	1.000	0.000	0.007	0.002
245.000	-4559.720	1.000	0.000	0.006	0.002
246.000	-4559.320	1.000	0.000	0.013	0.002
247.000	-4558.920	1.000	0.000	0.007	0.002
248.000	-4558.620	1.000	0.000	0.016	0.002
249.000	-4558.420	1.000	0.000	0.015	0.002
250.000	-4558.020	1.000	0.000	0.016	0.002
251.000	-4557.820	1.000	0.000	0.030	0.002
252.000	-4557.520	1.000	0.000	0.030	0.002
253.000	-4557.220	1.000	0.000	0.025	0.002
254.000	-4556.720	1.000	0.000	0.031	0.002
255.000	-4556.320	1.000	0.000	0.031	0.002
256.000	-4556.020	1.000	0.000	0.037	0.002
257.000	-4555.620	1.000	0.000	0.035	0.002
258.000	-4555.420	1.000	0.000	0.040	0.002
259.000	-4555.220	1.000	0.000	0.041	0.002
260.000	-4554.820	1.000	0.000	0.059	0.002
261.000	-4554.520	1.000	0.000	0.070	0.002
262.000	-4554.220	1.000	0.000	0.093	0.002
263.000	-4553.820	1.000	0.000	0.109	0.002
264.000	-4553.520	1.000	0.000	0.121	0.002
265.000	-4553.220	1.000	0.000	0.165	0.002
266.000	-4552.920	1.000	0.000	0.183	0.002
267.000	-4552.520	1.000	0.000	0.182	0.002
268.000	-4552.220	1.000	0.000	0.187	0.002
269.000	-4552.020	1.000	0.000	0.209	0.002
270.000	-4551.620	1.000	0.000	0.208	0.002
271.000	-4551.120	1.000	0.000	0.205	0.002
272.000	-4550.820	1.000	0.000	0.215	0.002
273.000	-4550.520	1.000	0.000	0.210	0.002
274.000	-4550.020	1.000	0.000	0.204	0.002
275.000	-4549.820	1.000	0.000	0.184	0.002
276.000	-4549.420	1.000	0.000	0.172	0.002
277.000	-4549.220	1.000	0.000	0.156	0.002
278.000	-4548.920	1.000	0.000	0.124	0.002
279.000	-4548.320	1.000	0.000	0.120	0.002
280.000	-4548.020	1.000	0.000	0.107	0.002
281.000	-4547.720	1.000	0.000	0.112	0.002
282.000	-4547.420	1.000	0.000	0.084	0.002
283.000	-4546.920	1.000	0.000	0.096	0.002
284.000	-4546.620	1.000	0.000	0.077	0.002
285.000	-4546.220	1.000	0.000	0.067	0.002
286.000	-4545.920	1.000	0.000	0.036	0.002
287.000	-4545.420	1.000	0.000	0.034	0.002
288.000	-4545.020	1.000	0.000	0.023	0.002
289.000	-4544.620	1.000	0.000	0.017	0.002
290.000	-4544.320	1.000	0.000	0.010	0.002
291.000	-4543.920	1.000	0.000	0.021	0.002
292.000	-4543.620	1.000	0.000	0.011	0.002
293.000	-4543.220	1.000	0.000	0.016	0.002
294.000	-4542.920	1.000	0.000	0.007	0.002
295.000	-4542.520	1.000	0.000	0.005	0.002
296.000	-4542.120	1.000	0.000	0.007	0.002
297.000	-4541.620	1.000	0.000	0.005	0.002
298.000	-4541.420	1.000	0.000	0.005	0.002
299.000	-4541.020	1.000	0.000	0.006	0.002
300.000	-4540.520	1.000	0.000	0.007	0.002
301.000	-4540.320	1.000	0.000	-0.001	0.002
302.000	-4539.920	1.000	0.000	0.007	0.002
303.000	-4539.520	1.000	0.000	0.005	0.002
304.000	-4539.120	1.000	0.000	0.002	0.002
305.000	-4538.720	1.000	0.000	0.004	0.002
306.000	-4538.420	1.000	0.000	0.003	0.002
307.000	-4538.120	1.000	0.000	0.003	0.002
308.000	-4537.820	1.000	0.000	-0.000	0.002
309.000	-4537.320	1.000	0.000	0.001	0.002
310.000	-4537.020	1.000	0.000	0.002	0.002
311.000	-4536.520	1.000	0.000	0.001	0.002
312.000	-4536.120	1.000	0.000	0.000	0.002
313.000	-4535.720	1.000	0.000	0.005	0.002
