# Title: Dye Laser Frequency Scan, MW -26 dB, +0 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +0 V static, MW at -26 dB Attn. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	26.0 dB
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4393.920	1.000	0.000	0.003	0.004
1.000	-4394.120	1.000	0.000	0.002	0.004
2.000	-4394.320	1.000	0.000	-0.000	0.004
3.000	-4394.420	1.000	0.000	0.004	0.004
4.000	-4394.620	1.000	0.000	0.005	0.004
5.000	-4394.720	1.000	0.000	0.004	0.004
6.000	-4395.020	1.000	0.000	0.004	0.004
7.000	-4395.120	1.000	0.000	0.007	0.004
8.000	-4395.420	1.000	0.000	-0.001	0.004
9.000	-4395.520	1.000	0.000	0.001	0.004
10.000	-4395.620	1.000	0.000	0.003	0.004
11.000	-4395.920	1.000	0.000	0.005	0.004
12.000	-4396.120	1.000	0.000	-0.003	0.004
13.000	-4396.220	1.000	0.000	-0.001	0.004
14.000	-4396.420	1.000	0.000	0.002	0.004
15.000	-4396.620	1.000	0.000	0.005	0.004
16.000	-4396.820	1.000	0.000	-0.000	0.004
17.000	-4397.220	1.000	0.000	0.002	0.004
18.000	-4397.220	1.000	0.000	0.006	0.004
19.000	-4397.320	1.000	0.000	0.001	0.004
20.000	-4397.720	1.000	0.000	0.004	0.004
21.000	-4398.020	1.000	0.000	0.005	0.004
22.000	-4398.220	1.000	0.000	0.001	0.004
23.000	-4398.520	1.000	0.000	0.004	0.004
24.000	-4398.820	1.000	0.000	0.005	0.004
25.000	-4399.120	1.000	0.000	0.005	0.004
26.000	-4399.320	1.000	0.000	0.004	0.004
27.000	-4399.720	1.000	0.000	0.003	0.004
28.000	-4400.020	1.000	0.000	0.002	0.004
29.000	-4400.120	1.000	0.000	0.002	0.004
