# Filename	C:\Users\labuser\Documents\Data\2018-10-13\1_fscan.txt
# Date	2018-10-13-14:34
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 20 dB. Laser at -4475.1 GHz (n=27 + 1 f_MW). MW Pulse from Laser -200 ns to +100 ns. Looking for Sideband Power.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	-0.001	0.022	0.004
18502000000.000	-0.001	0.032	0.001
18504000000.000	-0.001	0.040	-0.003
18506000000.000	-0.001	0.052	0.000
18508000000.000	-0.001	0.092	-0.001
18510000000.000	-0.001	0.102	0.010
18512000000.000	-0.001	0.087	0.002
18514000000.000	-0.001	0.061	-0.001
18516000000.000	-0.001	0.061	0.000
18518000000.000	-0.001	0.047	0.002
18520000000.000	-0.001	0.020	0.003
18500200000.000	-0.001	0.019	0.006
18502200000.000	-0.001	0.039	0.004
18504200000.000	-0.001	0.048	0.004
18506200000.000	-0.001	0.072	0.003
18508200000.000	-0.001	0.068	0.003
18510200000.000	-0.001	0.104	0.000
18512200000.000	-0.001	0.096	0.004
18514200000.000	-0.001	0.064	0.004
18516200000.000	-0.001	0.056	0.006
18518200000.000	-0.001	0.040	0.002
18500400000.000	-0.001	0.027	0.005
18502400000.000	-0.001	0.044	0.003
18504400000.000	-0.001	0.047	0.002
18506400000.000	-0.001	0.055	-0.001
18508400000.000	-0.001	0.094	-0.003
18510400000.000	-0.001	0.085	0.002
18512400000.000	-0.001	0.100	0.005
18514400000.000	-0.001	0.056	-0.001
18516400000.000	-0.001	0.050	0.001
18518400000.000	-0.001	0.031	0.002
18500600000.000	-0.001	0.032	0.004
18502600000.000	-0.001	0.045	-0.001
18504600000.000	-0.001	0.036	0.000
18506600000.000	-0.001	0.076	0.002
18508600000.000	-0.001	0.101	0.003
18510600000.000	-0.001	0.116	0.001
18512600000.000	-0.001	0.088	-0.000
18514600000.000	-0.001	0.070	0.000
18516600000.000	-0.001	0.054	-0.002
18518600000.000	-0.001	0.031	0.001
18500800000.000	-0.001	0.019	-0.001
18502800000.000	-0.001	0.045	0.000
18504800000.000	-0.001	0.047	-0.001
18506800000.000	-0.001	0.062	0.004
18508800000.000	-0.001	0.088	-0.001
18510800000.000	-0.001	0.100	-0.000
18512800000.000	-0.001	0.076	0.003
18514800000.000	-0.001	0.072	-0.001
18516800000.000	-0.001	0.047	0.001
18518800000.000	-0.001	0.030	0.000
18501000000.000	-0.001	0.022	-0.001
18503000000.000	-0.001	0.035	0.001
18505000000.000	-0.001	0.056	-0.002
18507000000.000	-0.001	0.080	0.003
18509000000.000	-0.001	0.086	-0.000
18511000000.000	-0.001	0.109	0.005
18513000000.000	-0.001	0.080	0.001
18515000000.000	-0.001	0.051	0.006
18517000000.000	-0.001	0.047	0.004
18519000000.000	-0.001	0.032	0.005
18501200000.000	-0.001	0.030	0.001
18503200000.000	-0.001	0.037	0.002
18505200000.000	-0.001	0.058	0.004
18507200000.000	-0.001	0.070	0.003
18509200000.000	-0.001	0.086	0.005
18511200000.000	-0.001	0.095	0.007
18513200000.000	-0.001	0.100	0.005
18515200000.000	-0.001	0.050	0.002
18517200000.000	-0.001	0.040	0.000
18519200000.000	-0.001	0.026	0.001
18501400000.000	-0.001	0.032	0.001
18503400000.000	-0.001	0.041	0.002
18505400000.000	-0.001	0.060	0.002
18507400000.000	-0.001	0.080	0.000
18509400000.000	-0.001	0.102	0.005
18511400000.000	-0.001	0.100	0.002
18513400000.000	-0.001	0.093	0.003
18515400000.000	-0.001	0.047	0.004
18517400000.000	-0.001	0.047	0.004
18519400000.000	-0.001	0.027	0.005
18501600000.000	-0.001	0.031	0.000
18503600000.000	-0.001	0.031	0.001
18505600000.000	-0.001	0.048	0.001
18507600000.000	-0.001	0.077	0.000
18509600000.000	-0.001	0.104	0.004
18511600000.000	-0.001	0.090	-0.000
18513600000.000	-0.001	0.084	-0.001
18515600000.000	-0.001	0.062	-0.002
18517600000.000	-0.001	0.033	0.004
18519600000.000	-0.001	0.027	-0.001
18501800000.000	-0.001	0.037	0.001
18503800000.000	-0.001	0.044	-0.003
18505800000.000	-0.001	0.068	0.004
18507800000.000	-0.001	0.067	0.001
18509800000.000	-0.001	0.105	-0.000
18511800000.000	-0.001	0.095	-0.004
18513800000.000	-0.001	0.061	0.000
18515800000.000	-0.001	0.054	-0.001
18517800000.000	-0.001	0.039	0.003
18519800000.000	-0.001	0.014	0.001
