# Title: Dye Laser Frequency Scan, MW -14 dB, +0 V Static, Sideband strength vs. MW Power
# Note:	Dye Frequency Scan at n=27 +/- 3 f_MW , +0 V static, MW at -14 dB Attn. Looking for change in sideband strength with MW Power
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	14.0 dB
# Delay:	1000 ns
# MW Off:	-200 to +100 ns
# Top w/o Static:	0
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4620.620	1.000	0.000	0.005	0.003
1.000	-4620.720	1.000	0.000	-0.001	0.003
2.000	-4620.720	1.000	0.000	0.001	0.003
3.000	-4620.720	1.000	0.000	0.004	0.003
4.000	-4620.720	1.000	0.000	0.003	0.003
5.000	-4620.620	1.000	0.000	0.003	0.003
6.000	-4620.320	1.000	0.000	-0.004	0.003
7.000	-4620.220	1.000	0.000	0.002	0.003
8.000	-4620.020	1.000	0.000	0.001	0.003
9.000	-4619.820	1.000	0.000	-0.000	0.003
10.000	-4619.620	1.000	0.000	0.004	0.003
11.000	-4619.520	1.000	0.000	0.001	0.003
12.000	-4619.120	1.000	0.000	0.001	0.003
13.000	-4618.920	1.000	0.000	0.003	0.003
14.000	-4618.620	1.000	0.000	-0.001	0.003
15.000	-4618.320	1.000	0.000	0.000	0.003
16.000	-4618.220	1.000	0.000	0.001	0.003
17.000	-4617.920	1.000	0.000	0.002	0.003
18.000	-4617.620	1.000	0.000	0.003	0.003
19.000	-4617.220	1.000	0.000	0.002	0.003
20.000	-4617.020	1.000	0.000	0.001	0.003
21.000	-4616.820	1.000	0.000	0.003	0.003
22.000	-4616.420	1.000	0.000	0.001	0.003
23.000	-4615.920	1.000	0.000	0.004	0.003
24.000	-4615.520	1.000	0.000	0.004	0.003
25.000	-4615.220	1.000	0.000	0.001	0.003
26.000	-4614.920	1.000	0.000	0.003	0.003
27.000	-4614.620	1.000	0.000	0.001	0.003
28.000	-4614.220	1.000	0.000	-0.000	0.003
29.000	-4614.020	1.000	0.000	-0.001	0.003
30.000	-4613.720	1.000	0.000	-0.000	0.003
31.000	-4613.420	1.000	0.000	-0.001	0.003
32.000	-4612.820	1.000	0.000	0.005	0.003
33.000	-4612.420	1.000	0.000	0.003	0.003
34.000	-4612.120	1.000	0.000	0.004	0.003
35.000	-4611.820	1.000	0.000	-0.000	0.003
36.000	-4611.520	1.000	0.000	0.005	0.003
37.000	-4611.320	1.000	0.000	0.001	0.003
38.000	-4611.120	1.000	0.000	0.001	0.003
39.000	-4610.420	1.000	0.000	0.004	0.003
40.000	-4609.820	1.000	0.000	-0.001	0.003
41.000	-4609.520	1.000	0.000	0.004	0.003
42.000	-4609.320	1.000	0.000	0.002	0.003
43.000	-4609.020	1.000	0.000	-0.000	0.003
44.000	-4608.820	1.000	0.000	0.001	0.003
45.000	-4608.320	1.000	0.000	0.002	0.003
46.000	-4608.120	1.000	0.000	0.000	0.003
47.000	-4607.820	1.000	0.000	-0.000	0.003
48.000	-4607.220	1.000	0.000	-0.003	0.003
49.000	-4606.820	1.000	0.000	-0.001	0.003
50.000	-4606.620	1.000	0.000	-0.002	0.003
51.000	-4606.120	1.000	0.000	0.004	0.003
52.000	-4606.120	1.000	0.000	0.000	0.003
53.000	-4605.520	1.000	0.000	-0.001	0.003
54.000	-4605.220	1.000	0.000	0.004	0.003
55.000	-4604.820	1.000	0.000	0.001	0.003
56.000	-4604.320	1.000	0.000	0.002	0.003
57.000	-4603.920	1.000	0.000	0.004	0.003
58.000	-4603.620	1.000	0.000	0.002	0.003
59.000	-4603.220	1.000	0.000	0.003	0.003
60.000	-4602.920	1.000	0.000	-0.003	0.003
61.000	-4602.520	1.000	0.000	0.002	0.003
62.000	-4602.220	1.000	0.000	0.006	0.003
63.000	-4601.820	1.000	0.000	0.001	0.003
64.000	-4601.220	1.000	0.000	0.003	0.003
65.000	-4600.820	1.000	0.000	0.003	0.003
66.000	-4600.620	1.000	0.000	0.004	0.003
67.000	-4600.420	1.000	0.000	0.002	0.003
68.000	-4600.120	1.000	0.000	-0.001	0.003
69.000	-4599.720	1.000	0.000	0.004	0.003
70.000	-4599.520	1.000	0.000	-0.002	0.003
71.000	-4599.120	1.000	0.000	0.004	0.003
72.000	-4598.120	1.000	0.000	0.001	0.003
73.000	-4597.820	1.000	0.000	-0.000	0.003
74.000	-4597.620	1.000	0.000	-0.002	0.003
75.000	-4597.420	1.000	0.000	0.001	0.003
76.000	-4597.120	1.000	0.000	-0.001	0.003
77.000	-4596.720	1.000	0.000	0.002	0.003
78.000	-4596.420	1.000	0.000	0.005	0.003
79.000	-4596.220	1.000	0.000	0.001	0.003
80.000	-4595.820	1.000	0.000	0.000	0.003
81.000	-4595.320	1.000	0.000	-0.006	0.003
82.000	-4595.020	1.000	0.000	-0.001	0.003
83.000	-4594.720	1.000	0.000	0.001	0.003
84.000	-4594.420	1.000	0.000	0.002	0.003
85.000	-4594.120	1.000	0.000	-0.004	0.003
86.000	-4594.020	1.000	0.000	-0.000	0.003
87.000	-4593.720	1.000	0.000	-0.001	0.003
88.000	-4593.120	1.000	0.000	-0.001	0.003
89.000	-4592.920	1.000	0.000	0.002	0.003
90.000	-4592.420	1.000	0.000	-0.002	0.003
91.000	-4592.120	1.000	0.000	-0.001	0.003
92.000	-4591.820	1.000	0.000	0.001	0.003
93.000	-4591.520	1.000	0.000	0.001	0.003
94.000	-4591.220	1.000	0.000	0.001	0.003
95.000	-4590.920	1.000	0.000	0.003	0.003
96.000	-4590.720	1.000	0.000	0.001	0.003
97.000	-4590.220	1.000	0.000	-0.001	0.003
98.000	-4589.720	1.000	0.000	0.003	0.003
99.000	-4589.320	1.000	0.000	0.001	0.003
100.000	-4589.020	1.000	0.000	0.004	0.003
101.000	-4588.720	1.000	0.000	0.001	0.003
