# Filename	C:\Users\labuser\Documents\Data\2018-10-22\1_fscan.txt
# Date	2018-10-22-21:31
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 13 dB. Laser at n=27 - f_MW. MW Pulse from Laser -200 ns to +100 ns. Looking for Sideband signal.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.008	0.025	0.007
18502000000.000	0.008	0.034	0.008
18504000000.000	0.008	0.044	0.009
18506000000.000	0.008	0.065	0.012
18508000000.000	0.008	0.086	0.008
18510000000.000	0.008	0.128	0.009
18512000000.000	0.008	0.142	0.006
18514000000.000	0.008	0.111	0.007
18516000000.000	0.008	0.084	0.003
18518000000.000	0.008	0.047	0.003
18520000000.000	0.008	0.028	0.007
18500200000.000	0.008	0.022	0.004
18502200000.000	0.008	0.027	0.005
18504200000.000	0.008	0.039	0.011
18506200000.000	0.008	0.058	0.008
18508200000.000	0.008	0.088	0.007
18510200000.000	0.008	0.127	0.003
18512200000.000	0.008	0.114	0.009
18514200000.000	0.008	0.092	0.007
18516200000.000	0.008	0.080	0.007
18518200000.000	0.008	0.065	0.008
18500400000.000	0.008	0.031	0.009
18502400000.000	0.008	0.051	0.011
18504400000.000	0.008	0.037	0.010
18506400000.000	0.008	0.059	0.007
18508400000.000	0.008	0.093	0.009
18510400000.000	0.008	0.125	0.007
18512400000.000	0.008	0.117	0.004
18514400000.000	0.008	0.097	0.002
18516400000.000	0.008	0.063	0.008
18518400000.000	0.008	0.034	0.009
18500600000.000	0.008	0.020	0.009
18502600000.000	0.008	0.034	0.009
18504600000.000	0.008	0.046	0.007
18506600000.000	0.008	0.060	0.008
18508600000.000	0.008	0.100	0.004
18510600000.000	0.008	0.118	0.006
18512600000.000	0.008	0.136	0.010
18514600000.000	0.008	0.111	0.011
18516600000.000	0.008	0.078	0.005
18518600000.000	0.008	0.048	0.010
18500800000.000	0.008	0.028	0.010
18502800000.000	0.008	0.030	0.008
18504800000.000	0.008	0.049	0.008
18506800000.000	0.008	0.077	0.009
18508800000.000	0.008	0.098	0.009
18510800000.000	0.008	0.119	0.007
18512800000.000	0.008	0.123	0.008
18514800000.000	0.008	0.095	0.009
18516800000.000	0.008	0.065	0.011
18518800000.000	0.008	0.045	0.008
18501000000.000	0.008	0.027	0.001
18503000000.000	0.008	0.034	0.007
18505000000.000	0.008	0.056	0.009
18507000000.000	0.008	0.067	0.010
18509000000.000	0.008	0.111	0.004
18511000000.000	0.008	0.127	0.007
18513000000.000	0.008	0.118	0.010
18515000000.000	0.008	0.097	0.008
18517000000.000	0.008	0.070	0.009
18519000000.000	0.008	0.035	0.006
18501200000.000	0.008	0.030	0.007
18503200000.000	0.008	0.034	0.006
18505200000.000	0.008	0.052	0.009
18507200000.000	0.008	0.076	0.008
18509200000.000	0.008	0.096	0.007
18511200000.000	0.008	0.136	0.005
18513200000.000	0.008	0.118	0.005
18515200000.000	0.008	0.081	0.009
18517200000.000	0.008	0.069	0.007
18519200000.000	0.008	0.037	0.008
18501400000.000	0.008	0.027	0.008
18503400000.000	0.008	0.037	0.006
18505400000.000	0.008	0.050	0.008
18507400000.000	0.008	0.073	0.005
18509400000.000	0.008	0.103	0.007
18511400000.000	0.008	0.139	0.008
18513400000.000	0.008	0.118	0.006
18515400000.000	0.008	0.094	0.005
18517400000.000	0.008	0.059	0.009
18519400000.000	0.008	0.044	0.004
18501600000.000	0.008	0.032	0.005
18503600000.000	0.008	0.041	0.006
18505600000.000	0.008	0.055	0.007
18507600000.000	0.008	0.072	0.004
18509600000.000	0.008	0.114	0.008
18511600000.000	0.008	0.127	0.007
18513600000.000	0.008	0.127	0.003
18515600000.000	0.008	0.076	0.007
18517600000.000	0.008	0.052	0.009
18519600000.000	0.008	0.034	0.008
18501800000.000	0.008	0.032	0.007
18503800000.000	0.008	0.035	0.007
18505800000.000	0.008	0.060	0.009
18507800000.000	0.008	0.080	0.007
18509800000.000	0.008	0.126	0.010
18511800000.000	0.008	0.142	0.008
18513800000.000	0.008	0.112	0.004
18515800000.000	0.008	0.082	0.007
18517800000.000	0.008	0.059	0.002
18519800000.000	0.008	0.040	0.009
