# Filename	C:\Users\labuser\Documents\Data\2018-09-28\2_fscan.txt
# Date	2018-9-28-22:12
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	# Note Cavity Resonance Scan using MW ionization at -180 GHz. Hittite HMC-T2100 at 14 dB connected to splitter, mixer, then doubler, -20 dB, amp, cavity. AWG used to pulse MW field during lasers, for 300 ns. Variable attenuation at -20 dB.
# Frequency (Hz)	Voltage (V)
18480000000.000	-0.368
18481000000.000	-0.358
18482000000.000	-0.352
18483000000.000	-0.353
18484000000.000	-0.350
18485000000.000	-0.361
18486000000.000	-0.371
18487000000.000	-0.363
18488000000.000	-0.343
18489000000.000	-0.343
18490000000.000	-0.353
18491000000.000	-0.352
18492000000.000	-0.366
18493000000.000	-0.353
18494000000.000	-0.348
18495000000.000	-0.339
18496000000.000	-0.368
18497000000.000	-0.382
18498000000.000	-0.357
18499000000.000	-0.347
18500000000.000	-0.343
18501000000.000	-0.314
18502000000.000	-0.301
18503000000.000	-0.297
18504000000.000	-0.289
18505000000.000	-0.287
18506000000.000	-0.275
18507000000.000	-0.237
18508000000.000	-0.237
18509000000.000	-0.206
18510000000.000	-0.197
18511000000.000	-0.186
18512000000.000	-0.195
18513000000.000	-0.197
18514000000.000	-0.210
18515000000.000	-0.242
18516000000.000	-0.241
18517000000.000	-0.260
18518000000.000	-0.280
18519000000.000	-0.287
18520000000.000	-0.309
18521000000.000	-0.328
18522000000.000	-0.327
18523000000.000	-0.342
18524000000.000	-0.352
18525000000.000	-0.326
18526000000.000	-0.355
18527000000.000	-0.350
18528000000.000	-0.344
18529000000.000	-0.332
18530000000.000	-0.340
18531000000.000	-0.338
18532000000.000	-0.353
18533000000.000	-0.356
18534000000.000	-0.345
18535000000.000	-0.339
18536000000.000	-0.347
18537000000.000	-0.349
18538000000.000	-0.360
18539000000.000	-0.352
18540000000.000	-0.358
18480100000.000	-0.363
18481100000.000	-0.355
18482100000.000	-0.374
18483100000.000	-0.369
18484100000.000	-0.370
18485100000.000	-0.362
18486100000.000	-0.368
18487100000.000	-0.392
18488100000.000	-0.390
18489100000.000	-0.365
18490100000.000	-0.387
18491100000.000	-0.376
18492100000.000	-0.354
18493100000.000	-0.364
18494100000.000	-0.360
18495100000.000	-0.374
18496100000.000	-0.351
18497100000.000	-0.360
18498100000.000	-0.345
18499100000.000	-0.332
18500100000.000	-0.356
18501100000.000	-0.356
18502100000.000	-0.315
18503100000.000	-0.315
18504100000.000	-0.308
18505100000.000	-0.287
18506100000.000	-0.266
18507100000.000	-0.260
18508100000.000	-0.247
18509100000.000	-0.237
18510100000.000	-0.221
18511100000.000	-0.222
18512100000.000	-0.217
18513100000.000	-0.207
18514100000.000	-0.238
18515100000.000	-0.242
18516100000.000	-0.267
18517100000.000	-0.283
18518100000.000	-0.286
18519100000.000	-0.294
18520100000.000	-0.320
18521100000.000	-0.321
18522100000.000	-0.335
18523100000.000	-0.323
18524100000.000	-0.338
18525100000.000	-0.362
18526100000.000	-0.371
18527100000.000	-0.367
18528100000.000	-0.340
18529100000.000	-0.356
18530100000.000	-0.357
18531100000.000	-0.376
18532100000.000	-0.359
18533100000.000	-0.384
18534100000.000	-0.372
18535100000.000	-0.369
18536100000.000	-0.346
18537100000.000	-0.354
18538100000.000	-0.345
18539100000.000	-0.340
18480200000.000	-0.363
18481200000.000	-0.361
18482200000.000	-0.348
18483200000.000	-0.363
18484200000.000	-0.367
18485200000.000	-0.355
18486200000.000	-0.364
18487200000.000	-0.365
18488200000.000	-0.350
18489200000.000	-0.353
18490200000.000	-0.346
18491200000.000	-0.356
18492200000.000	-0.361
18493200000.000	-0.353
18494200000.000	-0.353
18495200000.000	-0.348
18496200000.000	-0.346
18497200000.000	-0.353
18498200000.000	-0.358
18499200000.000	-0.343
18500200000.000	-0.344
18501200000.000	-0.330
18502200000.000	-0.336
18503200000.000	-0.320
18504200000.000	-0.311
18505200000.000	-0.300
18506200000.000	-0.273
18507200000.000	-0.257
18508200000.000	-0.249
18509200000.000	-0.233
18510200000.000	-0.212
18511200000.000	-0.220
18512200000.000	-0.221
18513200000.000	-0.234
18514200000.000	-0.236
18515200000.000	-0.238
18516200000.000	-0.255
18517200000.000	-0.282
18518200000.000	-0.286
18519200000.000	-0.302
18520200000.000	-0.312
18521200000.000	-0.328
18522200000.000	-0.329
18523200000.000	-0.343
18524200000.000	-0.355
18525200000.000	-0.349
18526200000.000	-0.348
18527200000.000	-0.342
18528200000.000	-0.350
18529200000.000	-0.353
18530200000.000	-0.367
18531200000.000	-0.370
18532200000.000	-0.380
18533200000.000	-0.370
18534200000.000	-0.385
18535200000.000	-0.375
18536200000.000	-0.367
18537200000.000	-0.378
18538200000.000	-0.380
18539200000.000	-0.381
18480300000.000	-0.385
18481300000.000	-0.371
18482300000.000	-0.371
18483300000.000	-0.379
18484300000.000	-0.371
18485300000.000	-0.390
18486300000.000	-0.374
18487300000.000	-0.386
18488300000.000	-0.384
18489300000.000	-0.370
18490300000.000	-0.376
18491300000.000	-0.359
18492300000.000	-0.372
18493300000.000	-0.372
18494300000.000	-0.377
18495300000.000	-0.357
18496300000.000	-0.367
18497300000.000	-0.392
18498300000.000	-0.372
18499300000.000	-0.377
18500300000.000	-0.347
18501300000.000	-0.343
18502300000.000	-0.344
18503300000.000	-0.324
18504300000.000	-0.326
18505300000.000	-0.298
18506300000.000	-0.284
18507300000.000	-0.270
18508300000.000	-0.239
18509300000.000	-0.230
18510300000.000	-0.227
18511300000.000	-0.207
18512300000.000	-0.199
18513300000.000	-0.217
18514300000.000	-0.226
18515300000.000	-0.240
18516300000.000	-0.261
18517300000.000	-0.281
18518300000.000	-0.313
18519300000.000	-0.316
