# Blinking MW between 18.5117 and 18.48 (off resonance) GHz, Hittite @ 14 dBm, Attn @ -20 dB, Dye laser at -180 GHz, looking for MW ionization
# Using the HP 214B for field ionization.
# here 'd' is the Variable Attenuator value.
i	d	s1	s2	r
0	-20	0.119411	0.225692	0.529089
1	-19	0.117653	0.245718	0.478813
2	-40	0.249992	0.246433	1.014443
3	-24.5	0.191826	0.239531	0.800841
4	-22	0.163421	0.252160	0.648083
5	-21	0.148296	0.246214	0.602308
6	-23	0.183377	0.250933	0.730782
7	-26	0.217116	0.244181	0.889162
8	-19.4	0.123104	0.244564	0.503361
9	-20.5	0.133115	0.237047	0.561556
10	-70	0.244618	0.246084	0.994040
