# Filename	C:\Users\labuser\Documents\Data\2018-10-08\10_fscan.txt
# Date	2018-10-9-1:46
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 7 dB. Laser at -180 GHz. MW Pulse from Laser +100 ns to +400 ns. Looking for MW Ionization. Field not zeroed.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.006	0.065	0.067
18502000000.000	0.006	0.059	0.062
18504000000.000	0.006	0.057	0.064
18506000000.000	0.006	0.052	0.062
18508000000.000	0.006	0.050	0.059
18510000000.000	0.006	0.049	0.061
18512000000.000	0.006	0.054	0.061
18514000000.000	0.006	0.049	0.064
18516000000.000	0.006	0.051	0.057
18518000000.000	0.006	0.057	0.060
18520000000.000	0.006	0.059	0.063
18500200000.000	0.006	0.059	0.065
18502200000.000	0.006	0.055	0.062
18504200000.000	0.006	0.057	0.060
18506200000.000	0.006	0.048	0.057
18508200000.000	0.006	0.042	0.058
18510200000.000	0.006	0.046	0.058
18512200000.000	0.006	0.042	0.051
18514200000.000	0.006	0.049	0.052
18516200000.000	0.006	0.052	0.053
18518200000.000	0.006	0.055	0.059
18500400000.000	0.006	0.055	0.059
18502400000.000	0.006	0.059	0.064
18504400000.000	0.006	0.051	0.057
18506400000.000	0.006	0.054	0.058
18508400000.000	0.006	0.051	0.056
18510400000.000	0.006	0.044	0.060
18512400000.000	0.006	0.045	0.058
18514400000.000	0.006	0.050	0.055
18516400000.000	0.006	0.059	0.055
18518400000.000	0.006	0.052	0.059
18500600000.000	0.006	0.054	0.055
18502600000.000	0.006	0.052	0.057
18504600000.000	0.006	0.048	0.050
18506600000.000	0.006	0.049	0.052
18508600000.000	0.006	0.047	0.055
18510600000.000	0.006	0.042	0.057
18512600000.000	0.006	0.048	0.061
18514600000.000	0.006	0.052	0.057
18516600000.000	0.006	0.052	0.062
18518600000.000	0.006	0.060	0.070
18500800000.000	0.006	0.058	0.058
18502800000.000	0.006	0.054	0.067
18504800000.000	0.006	0.059	0.067
18506800000.000	0.006	0.050	0.064
18508800000.000	0.006	0.053	0.060
18510800000.000	0.006	0.049	0.060
18512800000.000	0.006	0.054	0.063
18514800000.000	0.006	0.062	0.057
18516800000.000	0.006	0.052	0.058
18518800000.000	0.006	0.054	0.055
18501000000.000	0.006	0.057	0.059
18503000000.000	0.006	0.051	0.065
18505000000.000	0.006	0.049	0.061
18507000000.000	0.006	0.051	0.058
18509000000.000	0.006	0.048	0.056
18511000000.000	0.006	0.046	0.066
18513000000.000	0.006	0.056	0.060
18515000000.000	0.006	0.057	0.063
18517000000.000	0.006	0.058	0.060
18519000000.000	0.006	0.056	0.053
18501200000.000	0.006	0.053	0.058
18503200000.000	0.006	0.059	0.062
18505200000.000	0.006	0.050	0.060
18507200000.000	0.006	0.050	0.065
18509200000.000	0.006	0.046	0.059
18511200000.000	0.006	0.051	0.062
18513200000.000	0.006	0.054	0.059
18515200000.000	0.006	0.054	0.057
18517200000.000	0.006	0.054	0.059
18519200000.000	0.006	0.051	0.056
18501400000.000	0.006	0.053	0.057
18503400000.000	0.006	0.054	0.063
18505400000.000	0.006	0.056	0.060
18507400000.000	0.006	0.052	0.059
18509400000.000	0.006	0.057	0.063
18511400000.000	0.006	0.050	0.067
18513400000.000	0.006	0.054	0.065
18515400000.000	0.006	0.060	0.056
18517400000.000	0.006	0.057	0.062
18519400000.000	0.006	0.062	0.063
18501600000.000	0.006	0.062	0.060
18503600000.000	0.006	0.059	0.061
18505600000.000	0.006	0.052	0.058
18507600000.000	0.006	0.046	0.060
18509600000.000	0.006	0.045	0.060
18511600000.000	0.006	0.050	0.056
18513600000.000	0.006	0.049	0.053
18515600000.000	0.006	0.055	0.054
18517600000.000	0.006	0.050	0.057
18519600000.000	0.006	0.054	0.060
18501800000.000	0.006	0.060	0.056
18503800000.000	0.006	0.058	0.067
18505800000.000	0.006	0.049	0.062
18507800000.000	0.006	0.047	0.052
18509800000.000	0.006	0.048	0.062
18511800000.000	0.006	0.050	0.064
18513800000.000	0.006	0.054	0.063
18515800000.000	0.006	0.059	0.063
18517800000.000	0.006	0.059	0.059
18519800000.000	0.006	0.052	0.049
