# Title: Diode Laser Delay Scan, 10.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 10.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.5 dB
# MW Attn:	10.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
0.000	46805.000	0.055	0.182	0.181
1.000	47877.000	0.055	0.186	0.164
2.000	48949.000	0.055	0.165	0.177
3.000	50021.000	0.055	0.172	0.175
4.000	51093.000	0.055	0.166	0.173
5.000	52165.000	0.055	0.176	0.170
6.000	53237.000	0.055	0.178	0.178
7.000	54309.000	0.055	0.172	0.180
8.000	55380.000	0.055	0.173	0.171
9.000	56452.000	0.055	0.173	0.171
10.000	57524.000	0.055	0.179	0.170
11.000	58596.000	0.055	0.166	0.176
12.000	59668.000	0.055	0.157	0.159
13.000	60740.000	0.055	0.170	0.168
14.000	61812.000	0.055	0.169	0.156
15.000	62884.000	0.055	0.169	0.181
16.000	63956.000	0.055	0.180	0.181
17.000	65028.000	0.055	0.169	0.168
18.000	66100.000	0.055	0.157	0.166
19.000	67172.000	0.055	0.159	0.173
20.000	68244.000	0.055	0.162	0.178
21.000	69316.000	0.055	0.164	0.173
22.000	70388.000	0.055	0.160	0.171
23.000	71460.000	0.055	0.180	0.177
24.000	72532.000	0.055	0.174	0.171
25.000	73603.000	0.055	0.174	0.182
26.000	74675.000	0.055	0.177	0.178
27.000	75747.000	0.055	0.170	0.169
28.000	76819.000	0.055	0.176	0.166
29.000	77891.000	0.055	0.162	0.180
30.000	78963.000	0.055	0.172	0.174
31.000	80035.000	0.055	0.172	0.177
32.000	81107.000	0.055	0.173	0.162
33.000	82179.000	0.055	0.165	0.154
34.000	83251.000	0.055	0.169	0.164
35.000	84323.000	0.055	0.166	0.169
36.000	85395.000	0.055	0.172	0.170
37.000	86467.000	0.055	0.169	0.162
38.000	87539.000	0.055	0.164	0.174
39.000	88611.000	0.055	0.169	0.157
40.000	89683.000	0.055	0.162	0.171
41.000	90755.000	0.055	0.174	0.157
42.000	91826.000	0.055	0.176	0.157
43.000	92898.000	0.055	0.161	0.162
44.000	93970.000	0.055	0.171	0.167
45.000	95042.000	0.055	0.155	0.178
46.000	96114.000	0.055	0.167	0.161
47.000	97186.000	0.055	0.176	0.175
48.000	98258.000	0.055	0.157	0.167
49.000	99330.000	0.055	0.160	0.167
50.000	100402.000	0.055	0.174	0.163
