# Title: Diode laser frequency scan at 40 V, looking for Stark splitting of n=27.
# Note:	Diode laser frequency scan to find stark splitting at n=27. +40 V applied Top to Bot. SFIP with 750 ns integration gate.
# Type:	Frequency
# Hittite Freq:	18400.0 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	NaN
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	300 - 600 ns
# Top w/o Static:	Top: -0.002, Bot: +0.016 V
# Static:	Top: +20 V, Bot: -20 V
# Static Off:	NaN
# Pulse: 153 VDC on SFIP
i	f	n	nb	s	sb
116	-4522.52	1	0	0.0647889	0.0558017	
117	-4522.52	1	0	0.0586067	0.0558017	
118	-4522.52	1	0	0.0609743	0.0558017	
119	-4522.42	1	0	0.0540358	0.0558017	
120	-4522.42	1	0	0.0572913	0.0558017	
121	-4522.42	1	0	0.0573242	0.0558017	
122	-4522.42	1	0	0.0637366	0.0558017	
123	-4522.42	1	0	0.0597576	0.0558017	
124	-4522.32	1	0	0.0724179	0.0558017	
125	-4522.32	1	0	0.0726481	0.0558017	
126	-4522.32	1	0	0.0770546	0.0558017	
127	-4522.32	1	0	0.0697872	0.0558017	
128	-4522.32	1	0	0.065874	0.0558017	
129	-4522.22	1	0	0.0684061	0.0558017	
130	-4522.22	1	0	0.0624541	0.0558017	
131	-4522.22	1	0	0.0624212	0.0558017	
132	-4522.22	1	0	0.0624541	0.0558017	
133	-4522.22	1	0	0.0577188	0.0558017	
134	-4522.22	1	0	0.0599221	0.0558017	
135	-4522.12	1	0	0.0604482	0.0558017	
136	-4522.12	1	0	0.0628487	0.0558017	
137	-4522.12	1	0	0.0600536	0.0558017	
138	-4522.12	1	0	0.0613689	0.0558017	
139	-4522.12	1	0	0.0671894	0.0558017	
140	-4522.02	1	0	0.0638352	0.0558017	
141	-4522.02	1	0	0.0659398	0.0558017	
142	-4522.02	1	0	0.0625856	0.0558017	
143	-4522.02	1	0	0.0590342	0.0558017	
144	-4521.92	1	0	0.0624541	0.0558017	
145	-4521.92	1	0	0.0599549	0.0558017	
146	-4521.92	1	0	0.0603495	0.0558017	
147	-4521.92	1	0	0.0620595	0.0558017	
148	-4521.82	1	0	0.0623226	0.0558017	
149	-4521.82	1	0	0.0614347	0.0558017	
150	-4521.82	1	0	0.0633091	0.0558017	
151	-4521.82	1	0	0.0680115	0.0558017	
152	-4521.72	1	0	0.0690309	0.0558017	
