# Filename	C:\Users\labuser\Documents\Data\2018-10-08\1_fscan.txt
# Date	2018-10-8-16:17
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 7 dB. Laser at -180 GHz. MW Pulse from Laser +100 ns to +400 ns. Looking for MW Ionization. Field not zeroed.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.001	0.042	0.044
18502000000.000	0.001	0.037	0.039
18504000000.000	0.001	0.035	0.039
18506000000.000	0.001	0.034	0.043
18508000000.000	0.001	0.035	0.037
18510000000.000	0.001	0.028	0.040
18512000000.000	0.001	0.025	0.043
18514000000.000	0.001	0.023	0.040
18516000000.000	0.001	0.036	0.042
18518000000.000	0.001	0.035	0.039
18520000000.000	0.001	0.040	0.042
18500200000.000	0.001	0.046	0.041
18502200000.000	0.001	0.040	0.046
18504200000.000	0.001	0.044	0.046
18506200000.000	0.001	0.039	0.047
18508200000.000	0.001	0.034	0.042
18510200000.000	0.001	0.028	0.042
18512200000.000	0.001	0.026	0.042
18514200000.000	0.001	0.031	0.041
18516200000.000	0.001	0.032	0.046
18518200000.000	0.001	0.036	0.040
18500400000.000	0.001	0.035	0.040
18502400000.000	0.001	0.034	0.040
18504400000.000	0.001	0.039	0.041
18506400000.000	0.001	0.033	0.039
18508400000.000	0.001	0.033	0.042
18510400000.000	0.001	0.029	0.046
18512400000.000	0.001	0.025	0.037
18514400000.000	0.001	0.024	0.039
18516400000.000	0.001	0.030	0.047
18518400000.000	0.001	0.038	0.036
18500600000.000	0.001	0.041	0.042
18502600000.000	0.001	0.035	0.038
18504600000.000	0.001	0.039	0.040
18506600000.000	0.001	0.035	0.038
18508600000.000	0.001	0.031	0.038
18510600000.000	0.001	0.027	0.040
18512600000.000	0.001	0.028	0.036
18514600000.000	0.001	0.021	0.041
18516600000.000	0.001	0.030	0.040
18518600000.000	0.001	0.032	0.031
18500800000.000	0.001	0.037	0.038
18502800000.000	0.001	0.038	0.032
18504800000.000	0.001	0.034	0.042
18506800000.000	0.001	0.034	0.037
18508800000.000	0.001	0.028	0.041
18510800000.000	0.001	0.023	0.046
18512800000.000	0.001	0.029	0.037
18514800000.000	0.001	0.030	0.047
18516800000.000	0.001	0.031	0.040
18518800000.000	0.001	0.039	0.042
18501000000.000	0.001	0.039	0.035
18503000000.000	0.001	0.036	0.038
18505000000.000	0.001	0.035	0.037
18507000000.000	0.001	0.031	0.036
18509000000.000	0.001	0.024	0.031
18511000000.000	0.001	0.030	0.035
18513000000.000	0.001	0.025	0.039
18515000000.000	0.001	0.030	0.039
18517000000.000	0.001	0.028	0.041
18519000000.000	0.001	0.036	0.038
18501200000.000	0.001	0.041	0.042
18503200000.000	0.001	0.035	0.039
18505200000.000	0.001	0.041	0.040
18507200000.000	0.001	0.032	0.035
18509200000.000	0.001	0.024	0.044
18511200000.000	0.001	0.027	0.036
18513200000.000	0.001	0.027	0.037
18515200000.000	0.001	0.029	0.040
18517200000.000	0.001	0.032	0.041
18519200000.000	0.001	0.038	0.035
18501400000.000	0.001	0.041	0.047
18503400000.000	0.001	0.041	0.038
18505400000.000	0.001	0.039	0.039
18507400000.000	0.001	0.029	0.034
18509400000.000	0.001	0.027	0.043
18511400000.000	0.001	0.024	0.037
18513400000.000	0.001	0.027	0.042
18515400000.000	0.001	0.031	0.036
18517400000.000	0.001	0.033	0.039
18519400000.000	0.001	0.034	0.043
18501600000.000	0.001	0.041	0.037
18503600000.000	0.001	0.040	0.044
18505600000.000	0.001	0.042	0.041
18507600000.000	0.001	0.034	0.038
18509600000.000	0.001	0.028	0.039
18511600000.000	0.001	0.028	0.043
18513600000.000	0.001	0.025	0.041
18515600000.000	0.001	0.035	0.038
18517600000.000	0.001	0.035	0.038
18519600000.000	0.001	0.038	0.037
18501800000.000	0.001	0.039	0.048
18503800000.000	0.001	0.034	0.038
18505800000.000	0.001	0.032	0.039
18507800000.000	0.001	0.033	0.040
18509800000.000	0.001	0.024	0.038
18511800000.000	0.001	0.023	0.035
18513800000.000	0.001	0.026	0.038
18515800000.000	0.001	0.030	0.043
18517800000.000	0.001	0.035	0.043
18519800000.000	0.001	0.036	0.037
