# Title: Diode Laser Delay Scan, 5.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 5.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.5 dB
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
215.000	47130.000	1.000	0.000	0.213	0.047
216.000	48204.000	1.000	0.000	0.208	0.047
217.000	49277.000	1.000	0.000	0.207	0.047
218.000	50351.000	1.000	0.000	0.210	0.047
219.000	51424.000	1.000	0.000	0.214	0.047
220.000	52498.000	1.000	0.000	0.206	0.047
221.000	53571.000	1.000	0.000	0.216	0.047
222.000	54645.000	1.000	0.000	0.210	0.047
223.000	55718.000	1.000	0.000	0.205	0.047
224.000	56792.000	1.000	0.000	0.205	0.047
225.000	57865.000	1.000	0.000	0.209	0.047
226.000	58939.000	1.000	0.000	0.213	0.047
227.000	60012.000	1.000	0.000	0.211	0.047
228.000	61086.000	1.000	0.000	0.229	0.047
229.000	62159.000	1.000	0.000	0.204	0.047
230.000	63233.000	1.000	0.000	0.213	0.047
231.000	64306.000	1.000	0.000	0.204	0.047
232.000	65380.000	1.000	0.000	0.217	0.047
233.000	66453.000	1.000	0.000	0.209	0.047
234.000	67527.000	1.000	0.000	0.221	0.047
235.000	68600.000	1.000	0.000	0.218	0.047
236.000	69674.000	1.000	0.000	0.218	0.047
237.000	70747.000	1.000	0.000	0.244	0.047
238.000	71821.000	1.000	0.000	0.229	0.047
239.000	72894.000	1.000	0.000	0.203	0.047
240.000	73968.000	1.000	0.000	0.205	0.047
241.000	75041.000	1.000	0.000	0.209	0.047
242.000	76115.000	1.000	0.000	0.214	0.047
243.000	77188.000	1.000	0.000	0.209	0.047
244.000	78262.000	1.000	0.000	0.205	0.047
245.000	79335.000	1.000	0.000	0.218	0.047
246.000	80409.000	1.000	0.000	0.199	0.047
247.000	81482.000	1.000	0.000	0.202	0.047
248.000	82556.000	1.000	0.000	0.206	0.047
249.000	83629.000	1.000	0.000	0.206	0.047
250.000	84703.000	1.000	0.000	0.212	0.047
251.000	85776.000	1.000	0.000	0.209	0.047
252.000	86850.000	1.000	0.000	0.216	0.047
253.000	87923.000	1.000	0.000	0.213	0.047
254.000	88997.000	1.000	0.000	0.208	0.047
255.000	90070.000	1.000	0.000	0.192	0.047
256.000	91144.000	1.000	0.000	0.209	0.047
257.000	92217.000	1.000	0.000	0.195	0.047
258.000	93291.000	1.000	0.000	0.197	0.047
259.000	94364.000	1.000	0.000	0.216	0.047
260.000	95438.000	1.000	0.000	0.208	0.047
261.000	96511.000	1.000	0.000	0.216	0.047
262.000	97585.000	1.000	0.000	0.206	0.047
263.000	98658.000	1.000	0.000	0.208	0.047
264.000	99732.000	1.000	0.000	0.197	0.047
265.000	100805.000	1.000	0.000	0.204	0.047
266.000	101879.000	1.000	0.000	0.217	0.047
267.000	102952.000	1.000	0.000	0.203	0.047
268.000	104026.000	1.000	0.000	0.208	0.047
269.000	105099.000	1.000	0.000	0.207	0.047
270.000	106173.000	1.000	0.000	0.199	0.047
271.000	107246.000	1.000	0.000	0.195	0.047
272.000	108320.000	1.000	0.000	0.219	0.047
273.000	109393.000	1.000	0.000	0.210	0.047
274.000	110467.000	1.000	0.000	0.206	0.047
275.000	111540.000	1.000	0.000	0.202	0.047
276.000	112614.000	1.000	0.000	0.191	0.047
277.000	113687.000	1.000	0.000	0.218	0.047
278.000	114761.000	1.000	0.000	0.201	0.047
279.000	115834.000	1.000	0.000	0.208	0.047
280.000	116908.000	1.000	0.000	0.205	0.047
281.000	117981.000	1.000	0.000	0.219	0.047
282.000	119055.000	1.000	0.000	0.198	0.047
283.000	120128.000	1.000	0.000	0.202	0.047
284.000	121202.000	1.000	0.000	0.185	0.047
285.000	122275.000	1.000	0.000	0.207	0.047
286.000	123349.000	1.000	0.000	0.210	0.047
287.000	124422.000	1.000	0.000	0.219	0.047
288.000	125496.000	1.000	0.000	0.195	0.047
289.000	126569.000	1.000	0.000	0.201	0.047
290.000	127643.000	1.000	0.000	0.186	0.047
291.000	128716.000	1.000	0.000	0.204	0.047
292.000	129790.000	1.000	0.000	0.206	0.047
293.000	130863.000	1.000	0.000	0.202	0.047
294.000	131937.000	1.000	0.000	0.228	0.047
295.000	133010.000	1.000	0.000	0.233	0.047
296.000	134084.000	1.000	0.000	0.216	0.047
297.000	135157.000	1.000	0.000	0.225	0.047
298.000	136231.000	1.000	0.000	0.202	0.047
299.000	137304.000	1.000	0.000	0.202	0.047
300.000	138378.000	1.000	0.000	0.206	0.047
301.000	139451.000	1.000	0.000	0.209	0.047
302.000	140525.000	1.000	0.000	0.222	0.047
303.000	141598.000	1.000	0.000	0.209	0.047
304.000	142672.000	1.000	0.000	0.211	0.047
305.000	143745.000	1.000	0.000	0.197	0.047
306.000	144819.000	1.000	0.000	0.211	0.047
307.000	145892.000	1.000	0.000	0.217	0.047
308.000	146966.000	1.000	0.000	0.184	0.047
309.000	148039.000	1.000	0.000	0.208	0.047
310.000	149113.000	1.000	0.000	0.207	0.047
311.000	150186.000	1.000	0.000	0.211	0.047
312.000	151260.000	1.000	0.000	0.197	0.047
313.000	152333.000	1.000	0.000	0.184	0.047
314.000	153407.000	1.000	0.000	0.193	0.047
315.000	154480.000	1.000	0.000	0.197	0.047
316.000	155554.000	1.000	0.000	0.213	0.047
317.000	156627.000	1.000	0.000	0.193	0.047
318.000	155822.000	1.000	0.000	0.197	0.047
319.000	154748.000	1.000	0.000	0.210	0.047
320.000	153675.000	1.000	0.000	0.215	0.047
321.000	152601.000	1.000	0.000	0.209	0.047
322.000	151528.000	1.000	0.000	0.200	0.047
323.000	150454.000	1.000	0.000	0.202	0.047
324.000	149381.000	1.000	0.000	0.212	0.047
325.000	148307.000	1.000	0.000	0.219	0.047
326.000	147234.000	1.000	0.000	0.213	0.047
327.000	146160.000	1.000	0.000	0.195	0.047
328.000	145087.000	1.000	0.000	0.201	0.047
329.000	144013.000	1.000	0.000	0.217	0.047
330.000	142940.000	1.000	0.000	0.219	0.047
331.000	141866.000	1.000	0.000	0.207	0.047
332.000	140793.000	1.000	0.000	0.201	0.047
333.000	139719.000	1.000	0.000	0.217	0.047
334.000	138646.000	1.000	0.000	0.213	0.047
335.000	137572.000	1.000	0.000	0.209	0.047
336.000	136499.000	1.000	0.000	0.213	0.047
337.000	135425.000	1.000	0.000	0.219	0.047
338.000	134352.000	1.000	0.000	0.219	0.047
339.000	133278.000	1.000	0.000	0.221	0.047
340.000	132205.000	1.000	0.000	0.229	0.047
341.000	131131.000	1.000	0.000	0.208	0.047
342.000	130058.000	1.000	0.000	0.205	0.047
343.000	128984.000	1.000	0.000	0.201	0.047
344.000	127911.000	1.000	0.000	0.213	0.047
345.000	126837.000	1.000	0.000	0.198	0.047
346.000	125764.000	1.000	0.000	0.213	0.047
347.000	124690.000	1.000	0.000	0.223	0.047
348.000	123617.000	1.000	0.000	0.213	0.047
349.000	122543.000	1.000	0.000	0.200	0.047
350.000	121470.000	1.000	0.000	0.199	0.047
351.000	120396.000	1.000	0.000	0.208	0.047
352.000	119323.000	1.000	0.000	0.206	0.047
353.000	118249.000	1.000	0.000	0.214	0.047
354.000	117176.000	1.000	0.000	0.214	0.047
355.000	116102.000	1.000	0.000	0.214	0.047
356.000	115029.000	1.000	0.000	0.220	0.047
357.000	113955.000	1.000	0.000	0.215	0.047
358.000	112882.000	1.000	0.000	0.208	0.047
359.000	111808.000	1.000	0.000	0.225	0.047
360.000	110735.000	1.000	0.000	0.225	0.047
361.000	109661.000	1.000	0.000	0.222	0.047
362.000	108588.000	1.000	0.000	0.223	0.047
363.000	107514.000	1.000	0.000	0.245	0.047
364.000	106441.000	1.000	0.000	0.218	0.047
365.000	105367.000	1.000	0.000	0.224	0.047
366.000	104294.000	1.000	0.000	0.232	0.047
367.000	103220.000	1.000	0.000	0.231	0.047
368.000	102147.000	1.000	0.000	0.227	0.047
369.000	101073.000	1.000	0.000	0.244	0.047
370.000	100000.000	1.000	0.000	0.255	0.047
371.000	98927.000	1.000	0.000	0.224	0.047
372.000	97853.000	1.000	0.000	0.239	0.047
373.000	96780.000	1.000	0.000	0.224	0.047
374.000	95706.000	1.000	0.000	0.233	0.047
375.000	94633.000	1.000	0.000	0.225	0.047
376.000	93559.000	1.000	0.000	0.241	0.047
377.000	92486.000	1.000	0.000	0.225	0.047
378.000	91412.000	1.000	0.000	0.217	0.047
379.000	90339.000	1.000	0.000	0.225	0.047
380.000	89265.000	1.000	0.000	0.231	0.047
381.000	88192.000	1.000	0.000	0.216	0.047
382.000	87118.000	1.000	0.000	0.222	0.047
383.000	86045.000	1.000	0.000	0.238	0.047
384.000	84971.000	1.000	0.000	0.216	0.047
385.000	83898.000	1.000	0.000	0.229	0.047
386.000	82824.000	1.000	0.000	0.233	0.047
387.000	81751.000	1.000	0.000	0.219	0.047
388.000	80677.000	1.000	0.000	0.213	0.047
389.000	79604.000	1.000	0.000	0.225	0.047
