# Title: Diode Laser Delay Scan, 1.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 1.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.5 dB
# MW Attn:	1.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
150.000	99598.000	0.063	0.134	0.143
151.000	98526.000	0.063	0.142	0.135
152.000	97454.000	0.063	0.139	0.141
153.000	96382.000	0.063	0.143	0.139
154.000	95310.000	0.063	0.141	0.133
155.000	94238.000	0.063	0.151	0.138
156.000	93166.000	0.063	0.140	0.143
157.000	92094.000	0.063	0.141	0.132
158.000	91022.000	0.063	0.139	0.143
159.000	89951.000	0.063	0.135	0.142
160.000	88879.000	0.063	0.150	0.148
161.000	87807.000	0.063	0.150	0.148
162.000	86735.000	0.063	0.145	0.142
163.000	85663.000	0.063	0.145	0.144
164.000	84591.000	0.063	0.149	0.150
165.000	83519.000	0.063	0.146	0.150
166.000	82447.000	0.063	0.142	0.149
167.000	81375.000	0.063	0.138	0.150
168.000	80303.000	0.063	0.141	0.141
169.000	79231.000	0.063	0.140	0.141
170.000	78159.000	0.063	0.138	0.147
171.000	77087.000	0.063	0.153	0.152
172.000	76015.000	0.063	0.143	0.135
173.000	74943.000	0.063	0.143	0.146
174.000	73871.000	0.063	0.142	0.138
175.000	72799.000	0.063	0.141	0.139
176.000	71728.000	0.063	0.141	0.148
177.000	70656.000	0.063	0.144	0.139
178.000	69584.000	0.063	0.150	0.140
179.000	68512.000	0.063	0.142	0.139
180.000	67440.000	0.063	0.154	0.148
181.000	66368.000	0.063	0.140	0.140
182.000	65296.000	0.063	0.160	0.146
183.000	64224.000	0.063	0.140	0.145
184.000	63152.000	0.063	0.150	0.142
185.000	62080.000	0.063	0.145	0.154
186.000	61008.000	0.063	0.147	0.142
187.000	59936.000	0.063	0.147	0.138
188.000	58864.000	0.063	0.143	0.144
189.000	57792.000	0.063	0.144	0.139
190.000	56720.000	0.063	0.148	0.145
191.000	55648.000	0.063	0.145	0.159
192.000	54576.000	0.063	0.156	0.137
