# Title: Diode Laser Delay Scan, 5.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 5.0 dB on Var Attn, 9 V Top to Bot, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18509.6 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.5 dB
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	220 ns
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
0.000	46805.000	0.044	0.101	0.136
1.000	47877.000	0.044	0.099	0.133
2.000	48949.000	0.044	0.094	0.138
3.000	50021.000	0.044	0.100	0.134
4.000	51093.000	0.044	0.104	0.141
5.000	52165.000	0.044	0.115	0.146
6.000	53237.000	0.044	0.113	0.137
7.000	54309.000	0.044	0.103	0.136
8.000	55380.000	0.044	0.104	0.135
9.000	56452.000	0.044	0.112	0.142
10.000	57524.000	0.044	0.108	0.142
11.000	58596.000	0.044	0.102	0.142
12.000	59668.000	0.044	0.098	0.137
13.000	60740.000	0.044	0.111	0.131
14.000	61812.000	0.044	0.107	0.143
15.000	62884.000	0.044	0.101	0.137
16.000	63956.000	0.044	0.099	0.144
17.000	65028.000	0.044	0.105	0.132
18.000	66100.000	0.044	0.098	0.134
19.000	67172.000	0.044	0.100	0.133
20.000	68244.000	0.044	0.106	0.135
21.000	69316.000	0.044	0.102	0.132
22.000	70388.000	0.044	0.100	0.140
23.000	71460.000	0.044	0.098	0.137
24.000	72532.000	0.044	0.102	0.137
25.000	73603.000	0.044	0.096	0.136
26.000	74675.000	0.044	0.100	0.130
27.000	75747.000	0.044	0.100	0.139
28.000	76819.000	0.044	0.100	0.141
29.000	77891.000	0.044	0.102	0.139
30.000	78963.000	0.044	0.112	0.126
31.000	80035.000	0.044	0.095	0.144
32.000	81107.000	0.044	0.101	0.129
33.000	82179.000	0.044	0.097	0.129
34.000	83251.000	0.044	0.107	0.145
35.000	84323.000	0.044	0.112	0.138
36.000	85395.000	0.044	0.099	0.138
37.000	86467.000	0.044	0.102	0.153
38.000	87539.000	0.044	0.102	0.135
39.000	88611.000	0.044	0.098	0.141
40.000	89683.000	0.044	0.100	0.137
41.000	90755.000	0.044	0.094	0.134
42.000	91826.000	0.044	0.099	0.140
43.000	92898.000	0.044	0.097	0.137
44.000	93970.000	0.044	0.110	0.140
45.000	95042.000	0.044	0.101	0.120
46.000	96114.000	0.044	0.092	0.134
47.000	97186.000	0.044	0.105	0.128
48.000	98258.000	0.044	0.105	0.132
49.000	99330.000	0.044	0.103	0.132
50.000	100402.000	0.044	0.101	0.141
51.000	101474.000	0.044	0.104	0.134
52.000	102546.000	0.044	0.104	0.125
53.000	103618.000	0.044	0.104	0.143
54.000	104690.000	0.044	0.104	0.133
55.000	105762.000	0.044	0.106	0.147
