# Title: Diode Laser Delay Scan, 1.0 dB on Var Attn, 0 V applied, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 1.0 dB on Var Attn, 0 V applied, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18511.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.0 dB
# MW Attn:	1.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	n	nb	s	sb
0.000	46805.000	1.000	0.000	0.241	0.042
1.000	47877.000	1.000	0.000	0.244	0.042
2.000	48949.000	1.000	0.000	0.243	0.042
3.000	50021.000	1.000	0.000	0.259	0.042
4.000	51093.000	1.000	0.000	0.245	0.042
5.000	52165.000	1.000	0.000	0.251	0.042
6.000	53237.000	1.000	0.000	0.243	0.042
7.000	54309.000	1.000	0.000	0.243	0.042
8.000	55380.000	1.000	0.000	0.252	0.042
9.000	56452.000	1.000	0.000	0.250	0.042
10.000	57524.000	1.000	0.000	0.253	0.042
11.000	58596.000	1.000	0.000	0.249	0.042
12.000	59668.000	1.000	0.000	0.258	0.042
13.000	60740.000	1.000	0.000	0.255	0.042
14.000	61812.000	1.000	0.000	0.252	0.042
15.000	62884.000	1.000	0.000	0.251	0.042
16.000	63956.000	1.000	0.000	0.253	0.042
17.000	65028.000	1.000	0.000	0.254	0.042
18.000	66100.000	1.000	0.000	0.266	0.042
19.000	67172.000	1.000	0.000	0.260	0.042
20.000	68244.000	1.000	0.000	0.257	0.042
21.000	69316.000	1.000	0.000	0.238	0.042
22.000	70388.000	1.000	0.000	0.248	0.042
23.000	71460.000	1.000	0.000	0.246	0.042
24.000	72532.000	1.000	0.000	0.224	0.042
25.000	73603.000	1.000	0.000	0.251	0.042
26.000	74675.000	1.000	0.000	0.248	0.042
27.000	75747.000	1.000	0.000	0.248	0.042
28.000	76819.000	1.000	0.000	0.236	0.042
29.000	77891.000	1.000	0.000	0.249	0.042
30.000	78963.000	1.000	0.000	0.227	0.042
31.000	80035.000	1.000	0.000	0.263	0.042
32.000	81107.000	1.000	0.000	0.264	0.042
33.000	82179.000	1.000	0.000	0.257	0.042
34.000	83251.000	1.000	0.000	0.259	0.042
35.000	84323.000	1.000	0.000	0.251	0.042
36.000	85395.000	1.000	0.000	0.275	0.042
37.000	86467.000	1.000	0.000	0.241	0.042
38.000	87539.000	1.000	0.000	0.259	0.042
39.000	88611.000	1.000	0.000	0.259	0.042
40.000	89683.000	1.000	0.000	0.259	0.042
41.000	90755.000	1.000	0.000	0.264	0.042
42.000	91826.000	1.000	0.000	0.249	0.042
43.000	92898.000	1.000	0.000	0.246	0.042
44.000	93970.000	1.000	0.000	0.237	0.042
45.000	95042.000	1.000	0.000	0.258	0.042
46.000	96114.000	1.000	0.000	0.249	0.042
47.000	97186.000	1.000	0.000	0.260	0.042
