# Title: Diode Laser Delay Scan, 10.0 dB on Var Attn, 0 V applied, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 10.0 dB on Var Attn, 0 V applied, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18511.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.0 dB
# MW Attn:	10.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	n	nb	s	sb
116.000	136044.000	1.000	0.000	0.311	0.040
117.000	134972.000	1.000	0.000	0.301	0.040
118.000	133900.000	1.000	0.000	0.306	0.040
119.000	132828.000	1.000	0.000	0.299	0.040
120.000	131756.000	1.000	0.000	0.319	0.040
121.000	130684.000	1.000	0.000	0.300	0.040
122.000	129612.000	1.000	0.000	0.304	0.040
123.000	128540.000	1.000	0.000	0.288	0.040
124.000	127468.000	1.000	0.000	0.305	0.040
125.000	126397.000	1.000	0.000	0.320	0.040
126.000	125325.000	1.000	0.000	0.316	0.040
127.000	124253.000	1.000	0.000	0.299	0.040
128.000	123181.000	1.000	0.000	0.299	0.040
129.000	122109.000	1.000	0.000	0.319	0.040
130.000	121037.000	1.000	0.000	0.312	0.040
131.000	119965.000	1.000	0.000	0.297	0.040
132.000	118893.000	1.000	0.000	0.282	0.040
133.000	117821.000	1.000	0.000	0.295	0.040
134.000	116749.000	1.000	0.000	0.320	0.040
135.000	115677.000	1.000	0.000	0.305	0.040
136.000	114605.000	1.000	0.000	0.310	0.040
137.000	113533.000	1.000	0.000	0.312	0.040
138.000	112461.000	1.000	0.000	0.304	0.040
139.000	111389.000	1.000	0.000	0.291	0.040
140.000	110317.000	1.000	0.000	0.305	0.040
141.000	109245.000	1.000	0.000	0.302	0.040
142.000	108174.000	1.000	0.000	0.310	0.040
143.000	107102.000	1.000	0.000	0.312	0.040
144.000	106030.000	1.000	0.000	0.314	0.040
145.000	104958.000	1.000	0.000	0.317	0.040
146.000	103886.000	1.000	0.000	0.300	0.040
147.000	102814.000	1.000	0.000	0.296	0.040
148.000	101742.000	1.000	0.000	0.298	0.040
149.000	100670.000	1.000	0.000	0.323	0.040
150.000	99598.000	1.000	0.000	0.311	0.040
151.000	98526.000	1.000	0.000	0.299	0.040
152.000	97454.000	1.000	0.000	0.293	0.040
153.000	96382.000	1.000	0.000	0.299	0.040
154.000	95310.000	1.000	0.000	0.298	0.040
155.000	94238.000	1.000	0.000	0.291	0.040
156.000	93166.000	1.000	0.000	0.290	0.040
157.000	92094.000	1.000	0.000	0.300	0.040
158.000	91022.000	1.000	0.000	0.295	0.040
159.000	89951.000	1.000	0.000	0.317	0.040
160.000	88879.000	1.000	0.000	0.304	0.040
161.000	87807.000	1.000	0.000	0.296	0.040
162.000	86735.000	1.000	0.000	0.284	0.040
163.000	85663.000	1.000	0.000	0.317	0.040
164.000	84591.000	1.000	0.000	0.294	0.040
165.000	83519.000	1.000	0.000	0.297	0.040
166.000	82447.000	1.000	0.000	0.274	0.040
167.000	81375.000	1.000	0.000	0.291	0.040
168.000	80303.000	1.000	0.000	0.287	0.040
169.000	79231.000	1.000	0.000	0.303	0.040
170.000	78159.000	1.000	0.000	0.302	0.040
171.000	77087.000	1.000	0.000	0.311	0.040
172.000	76015.000	1.000	0.000	0.302	0.040
173.000	74943.000	1.000	0.000	0.281	0.040
174.000	73871.000	1.000	0.000	0.285	0.040
175.000	72799.000	1.000	0.000	0.282	0.040
176.000	71728.000	1.000	0.000	0.315	0.040
177.000	70656.000	1.000	0.000	0.302	0.040
178.000	69584.000	1.000	0.000	0.308	0.040
179.000	68512.000	1.000	0.000	0.321	0.040
180.000	67440.000	1.000	0.000	0.300	0.040
181.000	66368.000	1.000	0.000	0.290	0.040
182.000	65296.000	1.000	0.000	0.292	0.040
183.000	64224.000	1.000	0.000	0.302	0.040
184.000	63152.000	1.000	0.000	0.280	0.040
185.000	62080.000	1.000	0.000	0.297	0.040
186.000	61008.000	1.000	0.000	0.300	0.040
187.000	59936.000	1.000	0.000	0.302	0.040
188.000	58864.000	1.000	0.000	0.303	0.040
189.000	57792.000	1.000	0.000	0.324	0.040
190.000	56720.000	1.000	0.000	0.297	0.040
191.000	55648.000	1.000	0.000	0.288	0.040
192.000	54576.000	1.000	0.000	0.300	0.040
193.000	53505.000	1.000	0.000	0.316	0.040
194.000	52433.000	1.000	0.000	0.315	0.040
195.000	51361.000	1.000	0.000	0.304	0.040
196.000	50289.000	1.000	0.000	0.294	0.040
197.000	49217.000	1.000	0.000	0.292	0.040
198.000	48145.000	1.000	0.000	0.299	0.040
199.000	47073.000	1.000	0.000	0.299	0.040
200.000	47341.000	1.000	0.000	0.288	0.040
201.000	48413.000	1.000	0.000	0.288	0.040
202.000	49485.000	1.000	0.000	0.313	0.040
203.000	50557.000	1.000	0.000	0.298	0.040
204.000	51629.000	1.000	0.000	0.295	0.040
205.000	52701.000	1.000	0.000	0.296	0.040
206.000	53773.000	1.000	0.000	0.293	0.040
207.000	54844.000	1.000	0.000	0.309	0.040
208.000	55916.000	1.000	0.000	0.292	0.040
209.000	56988.000	1.000	0.000	0.292	0.040
210.000	58060.000	1.000	0.000	0.309	0.040
211.000	59132.000	1.000	0.000	0.295	0.040
212.000	60204.000	1.000	0.000	0.300	0.040
213.000	61276.000	1.000	0.000	0.293	0.040
214.000	62348.000	1.000	0.000	0.290	0.040
215.000	63420.000	1.000	0.000	0.294	0.040
216.000	64492.000	1.000	0.000	0.305	0.040
217.000	65564.000	1.000	0.000	0.302	0.040
218.000	66636.000	1.000	0.000	0.307	0.040
219.000	67708.000	1.000	0.000	0.304	0.040
220.000	68780.000	1.000	0.000	0.314	0.040
221.000	69852.000	1.000	0.000	0.292	0.040
222.000	70924.000	1.000	0.000	0.299	0.040
223.000	71996.000	1.000	0.000	0.292	0.040
224.000	73067.000	1.000	0.000	0.285	0.040
225.000	74139.000	1.000	0.000	0.279	0.040
226.000	75211.000	1.000	0.000	0.297	0.040
227.000	76283.000	1.000	0.000	0.312	0.040
228.000	77355.000	1.000	0.000	0.313	0.040
229.000	78427.000	1.000	0.000	0.316	0.040
230.000	79499.000	1.000	0.000	0.291	0.040
231.000	80571.000	1.000	0.000	0.294	0.040
232.000	81643.000	1.000	0.000	0.305	0.040
233.000	82715.000	1.000	0.000	0.299	0.040
234.000	83787.000	1.000	0.000	0.306	0.040
235.000	84859.000	1.000	0.000	0.317	0.040
236.000	85931.000	1.000	0.000	0.306	0.040
237.000	87003.000	1.000	0.000	0.296	0.040
238.000	88075.000	1.000	0.000	0.300	0.040
239.000	89147.000	1.000	0.000	0.287	0.040
240.000	90219.000	1.000	0.000	0.306	0.040
241.000	91290.000	1.000	0.000	0.304	0.040
242.000	92362.000	1.000	0.000	0.307	0.040
243.000	93434.000	1.000	0.000	0.297	0.040
244.000	94506.000	1.000	0.000	0.302	0.040
245.000	95578.000	1.000	0.000	0.311	0.040
246.000	96650.000	1.000	0.000	0.296	0.040
247.000	97722.000	1.000	0.000	0.289	0.040
248.000	98794.000	1.000	0.000	0.295	0.040
249.000	99866.000	1.000	0.000	0.289	0.040
250.000	100938.000	1.000	0.000	0.293	0.040
251.000	102010.000	1.000	0.000	0.319	0.040
252.000	103082.000	1.000	0.000	0.298	0.040
253.000	104154.000	1.000	0.000	0.326	0.040
254.000	105226.000	1.000	0.000	0.296	0.040
255.000	106298.000	1.000	0.000	0.290	0.040
256.000	107370.000	1.000	0.000	0.295	0.040
257.000	108442.000	1.000	0.000	0.279	0.040
258.000	109513.000	1.000	0.000	0.316	0.040
259.000	110585.000	1.000	0.000	0.302	0.040
260.000	111657.000	1.000	0.000	0.280	0.040
261.000	112729.000	1.000	0.000	0.305	0.040
262.000	113801.000	1.000	0.000	0.286	0.040
263.000	114873.000	1.000	0.000	0.288	0.040
264.000	115945.000	1.000	0.000	0.300	0.040
265.000	117017.000	1.000	0.000	0.305	0.040
266.000	118089.000	1.000	0.000	0.320	0.040
267.000	119161.000	1.000	0.000	0.311	0.040
268.000	120233.000	1.000	0.000	0.325	0.040
269.000	121305.000	1.000	0.000	0.319	0.040
270.000	122377.000	1.000	0.000	0.320	0.040
271.000	123449.000	1.000	0.000	0.303	0.040
272.000	124521.000	1.000	0.000	0.310	0.040
273.000	125593.000	1.000	0.000	0.297	0.040
274.000	126665.000	1.000	0.000	0.293	0.040
275.000	127736.000	1.000	0.000	0.270	0.040
276.000	128808.000	1.000	0.000	0.299	0.040
277.000	129880.000	1.000	0.000	0.323	0.040
278.000	130952.000	1.000	0.000	0.303	0.040
279.000	132024.000	1.000	0.000	0.305	0.040
280.000	133096.000	1.000	0.000	0.312	0.040
281.000	134168.000	1.000	0.000	0.306	0.040
282.000	135240.000	1.000	0.000	0.308	0.040
283.000	136312.000	1.000	0.000	0.289	0.040
284.000	137384.000	1.000	0.000	0.302	0.040
285.000	138456.000	1.000	0.000	0.313	0.040
286.000	139528.000	1.000	0.000	0.313	0.040
287.000	140600.000	1.000	0.000	0.289	0.040
288.000	141672.000	1.000	0.000	0.317	0.040
289.000	142744.000	1.000	0.000	0.298	0.040
290.000	143816.000	1.000	0.000	0.294	0.040
