# Title: Diode Laser Delay Scan, 5.0 dB on Var Attn, 0 V applied, n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan, 5.0 dB on Var Attn, 0 V applied, n=27 looking for 2x MWF modulation.
# Type:	Delay
# Hittite Freq:	18511.9 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	1.4
# Laser Mod Attn:	35.0 dB
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	n	nb	s	sb
263	114873	1	0	0.292642	0.0373341	
264	115945	1	0	0.285933	0.0373341	
265	117017	1	0	0.271727	0.0373341	
266	118089	1	0	0.293562	0.0373341	
267	119161	1	0	0.279883	0.0373341	
268	120233	1	0	0.289978	0.0373341	
269	121305	1	0	0.290438	0.0373341	
270	122377	1	0	0.279422	0.0373341	
271	123449	1	0	0.28373	0.0373341	
272	124521	1	0	0.292214	0.0373341	
273	125593	1	0	0.270576	0.0373341	
274	126665	1	0	0.262717	0.0373341	
275	127736	1	0	0.275246	0.0373341	
276	128808	1	0	0.269886	0.0373341	
277	129880	1	0	0.275345	0.0373341	
278	130952	1	0	0.285966	0.0373341	
279	132024	1	0	0.276528	0.0373341	
280	133096	1	0	0.274884	0.0373341	
281	134168	1	0	0.285013	0.0373341	
282	135240	1	0	0.263737	0.0373341	
283	136312	1	0	0.275805	0.0373341	
284	137384	1	0	0.291622	0.0373341	
285	138456	1	0	0.28419	0.0373341	
286	139528	1	0	0.290142	0.0373341	
287	140600	1	0	0.280409	0.0373341	
288	141672	1	0	0.275641	0.0373341	
289	142744	1	0	0.291721	0.0373341	
290	143816	1	0	0.281987	0.0373341	
291	144888	1	0	0.291589	0.0373341	
292	145959	1	0	0.281034	0.0373341	
293	147031	1	0	0.279422	0.0373341	
294	148103	1	0	0.290965	0.0373341	
295	149175	1	0	0.276726	0.0373341	
296	150247	1	0	0.273174	0.0373341	
297	151319	1	0	0.297344	0.0373341	
298	152391	1	0	0.293069	0.0373341	
299	152659	1	0	0.293365	0.0373341	
300	151587	1	0	0.261073	0.0373341	
301	150515	1	0	0.261237	0.0373341	
302	149443	1	0	0.279883	0.0373341	
303	148371	1	0	0.285243	0.0373341	
304	147299	1	0	0.274851	0.0373341	
305	146227	1	0	0.270872	0.0373341	
306	145156	1	0	0.272517	0.0373341	
307	144084	1	0	0.269721	0.0373341	
308	143012	1	0	0.281264	0.0373341	
309	141940	1	0	0.287808	0.0373341	
310	140868	1	0	0.274983	0.0373341	
311	139796	1	0	0.265019	0.0373341	
312	138724	1	0	0.284717	0.0373341	
313	137652	1	0	0.270807	0.0373341	
314	136580	1	0	0.264329	0.0373341	
315	135508	1	0	0.28054	0.0373341	
316	134436	1	0	0.287578	0.0373341	
317	133364	1	0	0.276233	0.0373341	
318	132292	1	0	0.283007	0.0373341	
319	131220	1	0	0.272385	0.0373341	
320	130148	1	0	0.279916	0.0373341	
321	129076	1	0	0.26663	0.0373341	
322	128004	1	0	0.288564	0.0373341	
323	126933	1	0	0.274227	0.0373341	
324	125861	1	0	0.292181	0.0373341	
325	124789	1	0	0.284355	0.0373341	
326	123717	1	0	0.287873	0.0373341	
327	122645	1	0	0.286723	0.0373341	
328	121573	1	0	0.287939	0.0373341	
329	120501	1	0	0.273306	0.0373341	
330	119429	1	0	0.255022	0.0373341	
331	118357	1	0	0.295009	0.0373341	
332	117285	1	0	0.263309	0.0373341	
333	116213	1	0	0.295831	0.0373341	
334	115141	1	0	0.29057	0.0373341	
335	114069	1	0	0.292543	0.0373341	
336	112997	1	0	0.268275	0.0373341	
337	111925	1	0	0.276167	0.0373341	
338	110853	1	0	0.281198	0.0373341	
339	109781	1	0	0.264329	0.0373341	
340	108710	1	0	0.281395	0.0373341	
341	107638	1	0	0.289386	0.0373341	
342	106566	1	0	0.285966	0.0373341	
343	105494	1	0	0.25374	0.0373341	
344	104422	1	0	0.277416	0.0373341	
345	103350	1	0	0.265151	0.0373341	
346	102278	1	0	0.269426	0.0373341	
347	101206	1	0	0.265348	0.0373341	
348	100134	1	0	0.267847	0.0373341	
349	99062	1	0	0.266499	0.0373341	
350	97990	1	0	0.275871	0.0373341	
351	96918	1	0	0.274095	0.0373341	
352	95846	1	0	0.279488	0.0373341	
353	94774	1	0	0.268406	0.0373341	
354	93702	1	0	0.256798	0.0373341	
355	92630	1	0	0.259462	0.0373341	
356	91558	1	0	0.275016	0.0373341	
357	90487	1	0	0.276726	0.0373341	
358	89415	1	0	0.265479	0.0373341	
359	88343	1	0	0.261172	0.0373341	
360	87271	1	0	0.265414	0.0373341	
361	86199	1	0	0.259889	0.0373341	
362	85127	1	0	0.240389	0.0373341	
363	84055	1	0	0.256272	0.0373341	
364	82983	1	0	0.262257	0.0373341	
365	81911	1	0	0.263243	0.0373341	
366	80839	1	0	0.260152	0.0373341	
367	79767	1	0	0.267584	0.0373341	
368	78695	1	0	0.292872	0.0373341	
369	77623	1	0	0.276759	0.0373341	
370	76551	1	0	0.253773	0.0373341	
371	75479	1	0	0.271629	0.0373341	
372	74407	1	0	0.293036	0.0373341	
373	73335	1	0	0.270083	0.0373341	
374	72264	1	0	0.276496	0.0373341	
375	71192	1	0	0.268932	0.0373341	
376	70120	1	0	0.288038	0.0373341	
377	69048	1	0	0.275838	0.0373341	
378	67976	1	0	0.273372	0.0373341	
379	66904	1	0	0.270971	0.0373341	
380	65832	1	0	0.251076	0.0373341	
381	64760	1	0	0.264624	0.0373341	
382	63688	1	0	0.264394	0.0373341	
383	62616	1	0	0.258377	0.0373341	
384	61544	1	0	0.276693	0.0373341	
385	60472	1	0	0.284717	0.0373341	
386	59400	1	0	0.281034	0.0373341	
387	58328	1	0	0.264657	0.0373341	
388	57256	1	0	0.267584	0.0373341	
389	56184	1	0	0.273306	0.0373341	
390	55112	1	0	0.247064	0.0373341	
391	54041	1	0	0.271333	0.0373341	
392	52969	1	0	0.265907	0.0373341	
393	51897	1	0	0.251602	0.0373341	
394	50825	1	0	0.276857	0.0373341	
395	49753	1	0	0.290537	0.0373341	
396	48681	1	0	0.258015	0.0373341	
397	47609	1	0	0.251931	0.0412341	
