# Filename	C:\Users\labuser\Documents\Data\2018-10-09\1_fscan.txt
# Date	2018-10-9-18:1
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 7 dB. Laser at -180 GHz. MW Pulse from Laser +100 ns to +400 ns. Looking for MW Ionization. Field not zeroed.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	-0.007	0.062	0.064
18502000000.000	-0.007	0.055	0.062
18504000000.000	-0.007	0.063	0.069
18506000000.000	-0.007	0.054	0.062
18508000000.000	-0.007	0.046	0.065
18510000000.000	-0.007	0.030	0.066
18512000000.000	-0.007	0.028	0.068
18514000000.000	-0.007	0.039	0.065
18516000000.000	-0.007	0.044	0.071
18518000000.000	-0.007	0.049	0.065
18520000000.000	-0.007	0.059	0.059
18500200000.000	-0.007	0.056	0.065
18502200000.000	-0.007	0.060	0.064
18504200000.000	-0.007	0.056	0.065
18506200000.000	-0.007	0.044	0.062
18508200000.000	-0.007	0.039	0.062
18510200000.000	-0.007	0.031	0.064
18512200000.000	-0.007	0.026	0.064
18514200000.000	-0.007	0.034	0.070
18516200000.000	-0.007	0.044	0.066
18518200000.000	-0.007	0.061	0.062
18500400000.000	-0.007	0.068	0.068
18502400000.000	-0.007	0.062	0.073
18504400000.000	-0.007	0.057	0.060
18506400000.000	-0.007	0.050	0.073
18508400000.000	-0.007	0.043	0.067
18510400000.000	-0.007	0.033	0.064
18512400000.000	-0.007	0.027	0.068
18514400000.000	-0.007	0.039	0.065
18516400000.000	-0.007	0.040	0.063
18518400000.000	-0.007	0.056	0.068
18500600000.000	-0.007	0.058	0.062
18502600000.000	-0.007	0.050	0.060
18504600000.000	-0.007	0.046	0.064
18506600000.000	-0.007	0.043	0.063
18508600000.000	-0.007	0.040	0.064
18510600000.000	-0.007	0.030	0.067
18512600000.000	-0.007	0.029	0.061
18514600000.000	-0.007	0.038	0.064
18516600000.000	-0.007	0.047	0.070
18518600000.000	-0.007	0.051	0.067
18500800000.000	-0.007	0.065	0.061
18502800000.000	-0.007	0.060	0.060
18504800000.000	-0.007	0.060	0.064
18506800000.000	-0.007	0.051	0.059
18508800000.000	-0.007	0.035	0.062
18510800000.000	-0.007	0.027	0.064
18512800000.000	-0.007	0.028	0.061
18514800000.000	-0.007	0.033	0.063
18516800000.000	-0.007	0.046	0.064
18518800000.000	-0.007	0.055	0.066
18501000000.000	-0.007	0.055	0.067
18503000000.000	-0.007	0.059	0.066
18505000000.000	-0.007	0.060	0.065
18507000000.000	-0.007	0.049	0.065
18509000000.000	-0.007	0.033	0.063
18511000000.000	-0.007	0.032	0.065
18513000000.000	-0.007	0.032	0.068
18515000000.000	-0.007	0.037	0.073
18517000000.000	-0.007	0.048	0.075
18519000000.000	-0.007	0.046	0.064
18501200000.000	-0.007	0.071	0.064
18503200000.000	-0.007	0.055	0.060
18505200000.000	-0.007	0.051	0.068
18507200000.000	-0.007	0.049	0.067
18509200000.000	-0.007	0.032	0.061
18511200000.000	-0.007	0.030	0.058
18513200000.000	-0.007	0.026	0.061
18515200000.000	-0.007	0.036	0.061
18517200000.000	-0.007	0.045	0.062
18519200000.000	-0.007	0.055	0.067
18501400000.000	-0.007	0.061	0.069
18503400000.000	-0.007	0.059	0.061
18505400000.000	-0.007	0.052	0.072
18507400000.000	-0.007	0.048	0.067
18509400000.000	-0.007	0.038	0.068
18511400000.000	-0.007	0.030	0.061
18513400000.000	-0.007	0.030	0.057
18515400000.000	-0.007	0.046	0.067
18517400000.000	-0.007	0.044	0.061
18519400000.000	-0.007	0.059	0.060
18501600000.000	-0.007	0.056	0.064
18503600000.000	-0.007	0.061	0.059
18505600000.000	-0.007	0.049	0.058
18507600000.000	-0.007	0.046	0.071
18509600000.000	-0.007	0.031	0.065
18511600000.000	-0.007	0.027	0.063
18513600000.000	-0.007	0.030	0.061
18515600000.000	-0.007	0.042	0.057
18517600000.000	-0.007	0.044	0.065
18519600000.000	-0.007	0.059	0.061
18501800000.000	-0.007	0.063	0.070
18503800000.000	-0.007	0.056	0.065
18505800000.000	-0.007	0.052	0.072
18507800000.000	-0.007	0.042	0.063
18509800000.000	-0.007	0.032	0.064
18511800000.000	-0.007	0.031	0.070
18513800000.000	-0.007	0.037	0.063
18515800000.000	-0.007	0.040	0.069
18517800000.000	-0.007	0.041	0.068
18519800000.000	-0.007	0.061	0.065
