# Title: Diode Laser Frequency Scan, MW Blink at -5 dB MW and -35 dB PM, 40 V Static, n=27.
# Note:	Diode Frequency Scan at n=27, 40 V static, MW Blink at -5 dB Attn, phase modulation at -35 dB (1.4), looking for MW power shift. Tuned to red end of manifold.
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	f	b	s	r
0.000	-4520.520	0.055	0.081	0.064
1.000	-4520.520	0.055	0.083	0.062
2.000	-4520.520	0.055	0.089	0.063
3.000	-4520.520	0.055	0.082	0.064
4.000	-4520.420	0.055	0.080	0.065
5.000	-4520.420	0.055	0.084	0.065
6.000	-4520.420	0.055	0.075	0.064
7.000	-4520.420	0.055	0.086	0.061
8.000	-4520.420	0.055	0.081	0.067
9.000	-4520.320	0.055	0.086	0.059
10.000	-4520.320	0.055	0.086	0.064
11.000	-4520.320	0.055	0.090	0.069
12.000	-4520.320	0.055	0.091	0.072
13.000	-4520.220	0.055	0.094	0.065
14.000	-4520.220	0.055	0.095	0.070
15.000	-4520.220	0.055	0.089	0.065
16.000	-4520.220	0.055	0.094	0.066
17.000	-4520.220	0.055	0.088	0.068
18.000	-4520.220	0.055	0.085	0.067
19.000	-4520.120	0.055	0.082	0.063
20.000	-4520.120	0.055	0.077	0.062
21.000	-4520.120	0.055	0.075	0.066
22.000	-4520.120	0.055	0.071	0.065
23.000	-4520.020	0.055	0.068	0.065
24.000	-4520.020	0.055	0.082	0.067
25.000	-4520.020	0.055	0.072	0.073
26.000	-4520.020	0.055	0.069	0.069
27.000	-4520.020	0.055	0.077	0.071
28.000	-4520.020	0.055	0.074	0.068
29.000	-4520.020	0.055	0.081	0.077
30.000	-4520.020	0.055	0.072	0.080
31.000	-4520.020	0.055	0.075	0.094
32.000	-4519.920	0.055	0.074	0.096
33.000	-4519.920	0.055	0.075	0.106
34.000	-4519.920	0.055	0.079	0.117
35.000	-4519.920	0.055	0.077	0.117
36.000	-4519.920	0.055	0.082	0.102
37.000	-4519.920	0.055	0.087	0.097
38.000	-4519.920	0.055	0.090	0.102
39.000	-4519.920	0.055	0.085	0.105
40.000	-4519.920	0.055	0.086	0.110
41.000	-4519.920	0.055	0.095	0.080
42.000	-4519.920	0.055	0.093	0.086
43.000	-4519.820	0.055	0.103	0.080
44.000	-4519.820	0.055	0.099	0.072
45.000	-4519.820	0.055	0.102	0.081
46.000	-4519.820	0.055	0.101	0.073
47.000	-4519.720	0.055	0.102	0.073
48.000	-4519.720	0.055	0.099	0.070
49.000	-4519.720	0.055	0.095	0.069
50.000	-4519.620	0.055	0.110	0.069
51.000	-4519.620	0.055	0.116	0.068
52.000	-4519.620	0.055	0.106	0.064
53.000	-4519.620	0.055	0.109	0.074
54.000	-4519.520	0.055	0.098	0.069
55.000	-4519.520	0.055	0.105	0.070
56.000	-4519.520	0.055	0.112	0.072
57.000	-4519.520	0.055	0.100	0.067
58.000	-4519.420	0.055	0.100	0.063
59.000	-4519.420	0.055	0.112	0.064
60.000	-4519.320	0.055	0.114	0.067
61.000	-4519.320	0.055	0.115	0.069
62.000	-4519.220	0.055	0.123	0.064
63.000	-4519.220	0.055	0.137	0.064
64.000	-4519.220	0.055	0.138	0.064
65.000	-4519.120	0.055	0.147	0.070
66.000	-4519.120	0.055	0.127	0.068
67.000	-4519.120	0.055	0.122	0.072
68.000	-4519.020	0.055	0.122	0.069
69.000	-4519.020	0.055	0.118	0.074
70.000	-4519.020	0.055	0.142	0.083
71.000	-4519.020	0.055	0.160	0.083
72.000	-4519.020	0.055	0.172	0.087
73.000	-4519.020	0.055	0.189	0.103
74.000	-4518.920	0.055	0.197	0.102
75.000	-4518.920	0.055	0.193	0.132
76.000	-4518.820	0.055	0.182	0.132
77.000	-4518.920	0.055	0.167	0.120
78.000	-4518.820	0.055	0.170	0.127
79.000	-4518.820	0.055	0.148	0.127
80.000	-4518.820	0.055	0.141	0.112
81.000	-4518.820	0.055	0.130	0.101
82.000	-4518.720	0.055	0.122	0.093
83.000	-4518.720	0.055	0.117	0.087
84.000	-4518.720	0.055	0.107	0.095
85.000	-4518.720	0.055	0.110	0.092
86.000	-4518.620	0.055	0.109	0.092
87.000	-4518.620	0.055	0.116	0.100
88.000	-4518.620	0.055	0.112	0.109
89.000	-4518.620	0.055	0.117	0.116
90.000	-4518.620	0.055	0.114	0.127
91.000	-4518.520	0.055	0.111	0.152
92.000	-4518.520	0.055	0.101	0.187
93.000	-4518.420	0.055	0.104	0.216
94.000	-4518.420	0.055	0.106	0.239
95.000	-4518.420	0.055	0.107	0.210
96.000	-4518.420	0.055	0.106	0.205
97.000	-4518.320	0.055	0.108	0.197
98.000	-4518.320	0.055	0.121	0.206
99.000	-4518.320	0.055	0.114	0.216
100.000	-4518.320	0.055	0.137	0.210
101.000	-4518.320	0.055	0.129	0.175
102.000	-4518.220	0.055	0.143	0.146
103.000	-4518.220	0.055	0.157	0.118
104.000	-4518.220	0.055	0.155	0.107
105.000	-4518.220	0.055	0.125	0.108
106.000	-4518.120	0.055	0.145	0.100
107.000	-4518.120	0.055	0.155	0.099
108.000	-4518.120	0.055	0.154	0.097
109.000	-4518.120	0.055	0.159	0.093
110.000	-4518.120	0.055	0.176	0.103
111.000	-4518.120	0.055	0.179	0.103
112.000	-4518.120	0.055	0.155	0.108
113.000	-4518.120	0.055	0.143	0.109
114.000	-4518.120	0.055	0.142	0.108
115.000	-4518.120	0.055	0.125	0.137
116.000	-4518.120	0.055	0.124	0.145
117.000	-4518.020	0.055	0.109	0.133
