# Title: Diode Laser Frequency Scan, MW Blink at -5 dB, 40 V Static, n=27.
# Note:	Diode Frequency Scan at n=27, 40 V static, MW Blink at -5 dB Attn, no phase modulation, looking for MW power shift. Tuned to red end of manifold.
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	f	b	s	r
29	-4519.82	0.0529605	0.0696886	0.0835656	
30	-4519.82	0.0529605	0.0685047	0.0798168	
31	-4519.82	0.0529605	0.0614347	0.0797839	
32	-4519.82	0.0529605	0.0644929	0.0860976	
33	-4519.72	0.0529605	0.0664988	0.0967191	
34	-4519.72	0.0529605	0.0688336	0.10711	
35	-4519.72	0.0529605	0.070971	0.113589	
36	-4519.72	0.0529605	0.0625856	0.115594	
37	-4519.62	0.0529605	0.0730756	0.103362	
38	-4519.62	0.0529605	0.0683074	0.0974426	
39	-4519.62	0.0529605	0.0761667	0.116384	
40	-4519.52	0.0529605	0.0753117	0.115233	
41	-4519.62	0.0529605	0.0718918	0.106519	
42	-4519.52	0.0529605	0.0732729	0.103855	
43	-4519.52	0.0529605	0.0734044	0.0829737	
44	-4519.52	0.0529605	0.0803429	0.0841904	
45	-4519.52	0.0529605	0.0819543	0.0815925	
46	-4519.52	0.0529605	0.0848152	0.0792578	
47	-4519.52	0.0529605	0.0845192	0.0775149	
48	-4519.52	0.0529605	0.0784028	0.0700174	
49	-4519.52	0.0529605	0.0820529	0.0682088	
50	-4519.42	0.0529605	0.0834011	0.070708	
51	-4519.42	0.0529605	0.0934636	0.0691295	
52	-4519.42	0.0529605	0.0907671	0.0724508	
53	-4519.42	0.0529605	0.0917865	0.0719247	
54	-4519.42	0.0529605	0.0851111	0.0734044	
55	-4519.42	0.0529605	0.0835985	0.0764626	
56	-4519.32	0.0529605	0.0803101	0.0736346	
57	-4519.32	0.0529605	0.0808033	0.0744567	
58	-4519.32	0.0529605	0.0770217	0.0691295	
59	-4519.22	0.0529605	0.0805402	0.0682746	
60	-4519.22	0.0529605	0.0803101	0.0683074	
61	-4519.22	0.0529605	0.0770217	0.0674853	
62	-4519.22	0.0529605	0.0861634	0.068998	
63	-4519.22	0.0529605	0.0971795	0.0650848	
64	-4519.22	0.0529605	0.100402	0.0706422	
65	-4519.22	0.0529605	0.0914906	0.0697214	
66	-4519.22	0.0529605	0.100238	0.0708724	
67	-4519.22	0.0529605	0.0968507	0.074654	
68	-4519.22	0.0529605	0.0945159	0.0704449	
69	-4519.12	0.0529605	0.0887283	0.0792249	
70	-4519.12	0.0529605	0.0894189	0.0796195	
71	-4519.12	0.0529605	0.0956997	0.0796853	
72	-4519.12	0.0529605	0.106321	0.0851769	
73	-4519.12	0.0529605	0.123322	0.0846836	
74	-4519.02	0.0529605	0.132826	0.0952393	
75	-4519.02	0.0529605	0.151274	0.114312	
76	-4519.02	0.0529605	0.145848	0.121941	
77	-4519.02	0.0529605	0.144236	0.134141	
78	-4518.92	0.0529605	0.127729	0.12809	
79	-4518.92	0.0529605	0.111714	0.129439	
80	-4518.92	0.0529605	0.110826	0.129471	
81	-4518.82	0.0529605	0.105039	0.127959	
82	-4518.82	0.0529605	0.0984291	0.112438	
83	-4518.82	0.0529605	0.0901095	0.100862	
84	-4518.82	0.0529605	0.0873143	0.0914248	
85	-4518.82	0.0529605	0.0974097	0.0945488	
86	-4518.82	0.0529605	0.0877089	0.0979358	
87	-4518.72	0.0529605	0.0888599	0.101356	
88	-4518.72	0.0529605	0.0883337	0.101553	
89	-4518.72	0.0529605	0.0938582	0.116351	
90	-4518.72	0.0529605	0.098462	0.124703	
