# Filename	C:\Users\labuser\Documents\Data\2018-10-10\1_fscan.txt
# Date	2018-10-10-21:34
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 27 dB. Laser at -180 GHz. MW continous. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18534800000.000	-0.000	0.059	0.062
18536800000.000	-0.000	0.059	0.062
18538800000.000	-0.000	0.059	0.063
18481000000.000	-0.000	0.063	0.062
18483000000.000	-0.000	0.061	0.068
18485000000.000	-0.000	0.057	0.062
18487000000.000	-0.000	0.059	0.068
18489000000.000	-0.000	0.061	0.060
18491000000.000	-0.000	0.061	0.060
18493000000.000	-0.000	0.057	0.065
18495000000.000	-0.000	0.054	0.063
18497000000.000	-0.000	0.062	0.063
18499000000.000	-0.000	0.048	0.062
18501000000.000	-0.000	0.049	0.060
18503000000.000	-0.000	0.044	0.058
18505000000.000	-0.000	0.043	0.061
18507000000.000	-0.000	0.028	0.062
18509000000.000	-0.000	0.024	0.058
18511000000.000	-0.000	0.026	0.059
18513000000.000	-0.000	0.028	0.061
18515000000.000	-0.000	0.043	0.053
18517000000.000	-0.000	0.047	0.067
18519000000.000	-0.000	0.058	0.067
18521000000.000	-0.000	0.055	0.064
18523000000.000	-0.000	0.058	0.065
18525000000.000	-0.000	0.056	0.065
18527000000.000	-0.000	0.058	0.058
18529000000.000	-0.000	0.056	0.061
18531000000.000	-0.000	0.054	0.061
18533000000.000	-0.000	0.063	0.060
18535000000.000	-0.000	0.057	0.060
18537000000.000	-0.000	0.052	0.057
18539000000.000	-0.000	0.057	0.064
18481200000.000	-0.000	0.060	0.065
18483200000.000	-0.000	0.058	0.059
18485200000.000	-0.000	0.056	0.060
18487200000.000	-0.000	0.064	0.058
18489200000.000	-0.000	0.063	0.066
18491200000.000	-0.000	0.059	0.061
18493200000.000	-0.000	0.063	0.060
18495200000.000	-0.000	0.063	0.068
18497200000.000	-0.000	0.058	0.070
18499200000.000	-0.000	0.054	0.061
18501200000.000	-0.000	0.053	0.057
18503200000.000	-0.000	0.044	0.057
18505200000.000	-0.000	0.032	0.058
18507200000.000	-0.000	0.034	0.060
18509200000.000	-0.000	0.022	0.060
18511200000.000	-0.000	0.022	0.055
18513200000.000	-0.000	0.027	0.058
18515200000.000	-0.000	0.033	0.063
18517200000.000	-0.000	0.045	0.062
18519200000.000	-0.000	0.052	0.063
18521200000.000	-0.000	0.053	0.064
18523200000.000	-0.000	0.060	0.065
18525200000.000	-0.000	0.059	0.061
18527200000.000	-0.000	0.061	0.060
18529200000.000	-0.000	0.059	0.061
18531200000.000	-0.000	0.059	0.061
18533200000.000	-0.000	0.061	0.059
18535200000.000	-0.000	0.055	0.055
18537200000.000	-0.000	0.054	0.061
18539200000.000	-0.000	0.060	0.053
18481400000.000	-0.000	0.053	0.057
18483400000.000	-0.000	0.058	0.054
18485400000.000	-0.000	0.051	0.058
18487400000.000	-0.000	0.063	0.055
18489400000.000	-0.000	0.054	0.049
18491400000.000	-0.000	0.058	0.053
18493400000.000	-0.000	0.056	0.053
18495400000.000	-0.000	0.056	0.058
18497400000.000	-0.000	0.057	0.061
18499400000.000	-0.000	0.050	0.062
18501400000.000	-0.000	0.048	0.059
18503400000.000	-0.000	0.047	0.059
18505400000.000	-0.000	0.042	0.056
18507400000.000	-0.000	0.031	0.058
18509400000.000	-0.000	0.023	0.058
18511400000.000	-0.000	0.025	0.059
18513400000.000	-0.000	0.029	0.057
18515400000.000	-0.000	0.042	0.056
18517400000.000	-0.000	0.048	0.061
18519400000.000	-0.000	0.047	0.055
18521400000.000	-0.000	0.049	0.050
18523400000.000	-0.000	0.045	0.055
18525400000.000	-0.000	0.056	0.056
18527400000.000	-0.000	0.057	0.062
18529400000.000	-0.000	0.055	0.059
18531400000.000	-0.000	0.061	0.063
18533400000.000	-0.000	0.062	0.066
18535400000.000	-0.000	0.061	0.057
18537400000.000	-0.000	0.067	0.060
18539400000.000	-0.000	0.060	0.063
18481600000.000	-0.000	0.065	0.068
18483600000.000	-0.000	0.064	0.064
18485600000.000	-0.000	0.067	0.061
18487600000.000	-0.000	0.064	0.065
18489600000.000	-0.000	0.053	0.057
18491600000.000	-0.000	0.064	0.059
18493600000.000	-0.000	0.055	0.064
18495600000.000	-0.000	0.059	0.063
18497600000.000	-0.000	0.054	0.057
18499600000.000	-0.000	0.043	0.064
18501600000.000	-0.000	0.050	0.054
18503600000.000	-0.000	0.045	0.069
18505600000.000	-0.000	0.037	0.061
18507600000.000	-0.000	0.032	0.058
18509600000.000	-0.000	0.022	0.067
18511600000.000	-0.000	0.028	0.067
18513600000.000	-0.000	0.030	0.065
18515600000.000	-0.000	0.051	0.068
18517600000.000	-0.000	0.050	0.070
18519600000.000	-0.000	0.047	0.065
18521600000.000	-0.000	0.055	0.061
18523600000.000	-0.000	0.059	0.064
18525600000.000	-0.000	0.060	0.062
18527600000.000	-0.000	0.061	0.062
18529600000.000	-0.000	0.058	0.059
18531600000.000	-0.000	0.055	0.057
18533600000.000	-0.000	0.052	0.057
18535600000.000	-0.000	0.054	0.056
18537600000.000	-0.000	0.055	0.060
18539600000.000	-0.000	0.069	0.055
18481800000.000	-0.000	0.057	0.062
18483800000.000	-0.000	0.056	0.060
18485800000.000	-0.000	0.054	0.067
18487800000.000	-0.000	0.059	0.064
18489800000.000	-0.000	0.060	0.062
18491800000.000	-0.000	0.060	0.058
18493800000.000	-0.000	0.067	0.055
18495800000.000	-0.000	0.065	0.066
18497800000.000	-0.000	0.061	0.064
18499800000.000	-0.000	0.057	0.058
18501800000.000	-0.000	0.049	0.067
18503800000.000	-0.000	0.039	0.066
18505800000.000	-0.000	0.041	0.060
18507800000.000	-0.000	0.028	0.057
18509800000.000	-0.000	0.021	0.055
18511800000.000	-0.000	0.022	0.059
18513800000.000	-0.000	0.033	0.053
18515800000.000	-0.000	0.040	0.060
18517800000.000	-0.000	0.042	0.061
18519800000.000	-0.000	0.056	0.057
18521800000.000	-0.000	0.060	0.070
18523800000.000	-0.000	0.056	0.058
18525800000.000	-0.000	0.065	0.063
18527800000.000	-0.000	0.062	0.057
18529800000.000	-0.000	0.062	0.065
18531800000.000	-0.000	0.059	0.060
18533800000.000	-0.000	0.058	0.055
18535800000.000	-0.000	0.059	0.058
18537800000.000	-0.000	0.063	0.055
18539800000.000	-0.000	0.049	0.052
