# Title: Diode Laser Delay Scan with MW, Static, and PM
# Note:	Diode Laser Delay Scan w/ Norm, 11.0 dB on MW Var Attn, 40 V applied, 35 dB on PM Var Attn (1.4), n=27 looking for modulation at the MW period. Laser tuned to Reddest Stark State, looking at smaller field for no 2x modulation, just 1x.
# Type:	Delay
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361350.8 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	35 dB
# MW Attn:	11.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	d	n	nb	s	sb
114.000	138187.000	1.000	0.000	0.158	0.055
115.000	137115.000	1.000	0.000	0.112	0.055
116.000	136043.000	1.000	0.000	0.074	0.055
117.000	134971.000	1.000	0.000	0.066	0.055
118.000	133899.000	1.000	0.000	0.073	0.055
119.000	132827.000	1.000	0.000	0.068	0.055
120.000	131755.000	1.000	0.000	0.078	0.055
121.000	130683.000	1.000	0.000	0.098	0.055
122.000	129611.000	1.000	0.000	0.124	0.055
123.000	128540.000	1.000	0.000	0.179	0.055
124.000	127468.000	1.000	0.000	0.217	0.055
125.000	126396.000	1.000	0.000	0.246	0.055
126.000	125324.000	1.000	0.000	0.256	0.055
127.000	124252.000	1.000	0.000	0.221	0.055
128.000	123180.000	1.000	0.000	0.191	0.055
129.000	122108.000	1.000	0.000	0.156	0.055
130.000	121036.000	1.000	0.000	0.094	0.055
131.000	119964.000	1.000	0.000	0.073	0.055
132.000	118892.000	1.000	0.000	0.065	0.055
133.000	117820.000	1.000	0.000	0.069	0.055
134.000	116749.000	1.000	0.000	0.073	0.055
135.000	115677.000	1.000	0.000	0.079	0.055
136.000	114605.000	1.000	0.000	0.109	0.055
137.000	113533.000	1.000	0.000	0.147	0.055
138.000	112461.000	1.000	0.000	0.179	0.055
139.000	111389.000	1.000	0.000	0.209	0.055
140.000	110317.000	1.000	0.000	0.238	0.055
141.000	109245.000	1.000	0.000	0.235	0.055
142.000	108173.000	1.000	0.000	0.235	0.055
143.000	107101.000	1.000	0.000	0.187	0.055
144.000	106029.000	1.000	0.000	0.143	0.055
145.000	104958.000	1.000	0.000	0.097	0.055
146.000	103886.000	1.000	0.000	0.065	0.055
147.000	102814.000	1.000	0.000	0.068	0.055
148.000	101742.000	1.000	0.000	0.073	0.055
149.000	100670.000	1.000	0.000	0.073	0.055
150.000	99598.000	1.000	0.000	0.085	0.055
151.000	98526.000	1.000	0.000	0.106	0.055
152.000	97454.000	1.000	0.000	0.161	0.055
153.000	96382.000	1.000	0.000	0.196	0.055
154.000	95310.000	1.000	0.000	0.217	0.055
155.000	94239.000	1.000	0.000	0.244	0.055
156.000	93167.000	1.000	0.000	0.229	0.055
157.000	92095.000	1.000	0.000	0.231	0.055
158.000	91023.000	1.000	0.000	0.188	0.055
159.000	89951.000	1.000	0.000	0.139	0.055
160.000	88879.000	1.000	0.000	0.094	0.055
161.000	87807.000	1.000	0.000	0.069	0.055
162.000	86735.000	1.000	0.000	0.071	0.055
163.000	85663.000	1.000	0.000	0.070	0.055
164.000	84591.000	1.000	0.000	0.071	0.055
165.000	83519.000	1.000	0.000	0.084	0.055
166.000	82448.000	1.000	0.000	0.127	0.055
167.000	81376.000	1.000	0.000	0.161	0.055
168.000	80304.000	1.000	0.000	0.188	0.055
169.000	79232.000	1.000	0.000	0.232	0.055
170.000	78160.000	1.000	0.000	0.240	0.055
171.000	77088.000	1.000	0.000	0.244	0.055
172.000	76016.000	1.000	0.000	0.209	0.055
173.000	74944.000	1.000	0.000	0.174	0.055
174.000	73872.000	1.000	0.000	0.124	0.055
175.000	72800.000	1.000	0.000	0.089	0.055
176.000	71728.000	1.000	0.000	0.066	0.055
177.000	70657.000	1.000	0.000	0.067	0.055
178.000	69585.000	1.000	0.000	0.072	0.055
179.000	68513.000	1.000	0.000	0.080	0.055
180.000	67441.000	1.000	0.000	0.096	0.055
181.000	66369.000	1.000	0.000	0.119	0.055
182.000	65297.000	1.000	0.000	0.163	0.055
183.000	64225.000	1.000	0.000	0.195	0.055
184.000	63153.000	1.000	0.000	0.248	0.055
185.000	62081.000	1.000	0.000	0.238	0.055
186.000	61009.000	1.000	0.000	0.219	0.055
187.000	59937.000	1.000	0.000	0.215	0.055
188.000	58866.000	1.000	0.000	0.165	0.055
189.000	57794.000	1.000	0.000	0.119	0.055
190.000	56722.000	1.000	0.000	0.086	0.055
191.000	55650.000	1.000	0.000	0.070	0.055
192.000	54578.000	1.000	0.000	0.067	0.055
193.000	53506.000	1.000	0.000	0.073	0.055
194.000	52434.000	1.000	0.000	0.072	0.055
195.000	51362.000	1.000	0.000	0.091	0.055
196.000	50290.000	1.000	0.000	0.125	0.055
197.000	49218.000	1.000	0.000	0.170	0.055
198.000	48147.000	1.000	0.000	0.197	0.055
199.000	47075.000	1.000	0.000	0.208	0.055
200.000	47343.000	1.000	0.000	0.227	0.055
201.000	48414.000	1.000	0.000	0.210	0.055
202.000	49486.000	1.000	0.000	0.165	0.055
203.000	50558.000	1.000	0.000	0.119	0.055
204.000	51630.000	1.000	0.000	0.089	0.055
205.000	52702.000	1.000	0.000	0.074	0.055
206.000	53774.000	1.000	0.000	0.075	0.055
207.000	54846.000	1.000	0.000	0.071	0.055
208.000	55918.000	1.000	0.000	0.061	0.055
209.000	56990.000	1.000	0.000	0.095	0.055
210.000	58062.000	1.000	0.000	0.127	0.055
211.000	59134.000	1.000	0.000	0.185	0.055
212.000	60205.000	1.000	0.000	0.219	0.055
213.000	61277.000	1.000	0.000	0.234	0.055
214.000	62349.000	1.000	0.000	0.226	0.055
215.000	63421.000	1.000	0.000	0.217	0.055
216.000	64493.000	1.000	0.000	0.188	0.055
217.000	65565.000	1.000	0.000	0.153	0.055
218.000	66637.000	1.000	0.000	0.124	0.055
219.000	67709.000	1.000	0.000	0.089	0.055
220.000	68781.000	1.000	0.000	0.075	0.055
221.000	69853.000	1.000	0.000	0.072	0.055
222.000	70925.000	1.000	0.000	0.063	0.055
223.000	71996.000	1.000	0.000	0.065	0.055
224.000	73068.000	1.000	0.000	0.091	0.055
225.000	74140.000	1.000	0.000	0.133	0.055
226.000	75212.000	1.000	0.000	0.188	0.055
227.000	76284.000	1.000	0.000	0.232	0.055
228.000	77356.000	1.000	0.000	0.233	0.055
229.000	78428.000	1.000	0.000	0.241	0.055
230.000	79500.000	1.000	0.000	0.214	0.055
231.000	80572.000	1.000	0.000	0.189	0.055
232.000	81644.000	1.000	0.000	0.153	0.055
233.000	82716.000	1.000	0.000	0.107	0.055
234.000	83787.000	1.000	0.000	0.076	0.055
235.000	84859.000	1.000	0.000	0.075	0.055
236.000	85931.000	1.000	0.000	0.071	0.055
237.000	87003.000	1.000	0.000	0.065	0.055
238.000	88075.000	1.000	0.000	0.063	0.055
239.000	89147.000	1.000	0.000	0.096	0.055
240.000	90219.000	1.000	0.000	0.142	0.055
241.000	91291.000	1.000	0.000	0.183	0.055
242.000	92363.000	1.000	0.000	0.237	0.055
243.000	93435.000	1.000	0.000	0.245	0.055
244.000	94506.000	1.000	0.000	0.242	0.055
245.000	95578.000	1.000	0.000	0.222	0.055
246.000	96650.000	1.000	0.000	0.182	0.055
