# Title: Diode Laser Delay Scan w/ Norm, 5.0 dB on Var Attn, 0 V applied, 35 dB on PM (1.4), n=27 looking for 2x MWF modulation.
# Note:	Diode Laser Delay Scan w/ Norm, 5.0 dB on Var Attn, 0 V applied, 35 dB on PM (1.4), n=27 looking for 2x MWF modulation.
# Type:	Delay w/ Norm
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	361359.4 GHz
# Laser Mod:	NaN
# Laser Mod Attn:	35 dB
# MW Attn:	5.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	0.00 V
# Static:	0 V
# Static Off:	NaN
i	d	b	s	r
0.000	46807.000	0.005	0.107	0.156
1.000	47879.000	0.005	0.111	0.151
2.000	48950.000	0.005	0.105	0.145
3.000	50022.000	0.005	0.113	0.162
4.000	51094.000	0.005	0.112	0.150
5.000	52166.000	0.005	0.113	0.163
6.000	53238.000	0.005	0.110	0.154
7.000	54310.000	0.005	0.092	0.150
8.000	55382.000	0.005	0.098	0.173
9.000	56454.000	0.005	0.096	0.153
10.000	57526.000	0.005	0.117	0.140
11.000	58598.000	0.005	0.120	0.146
12.000	59670.000	0.005	0.110	0.143
13.000	60741.000	0.005	0.090	0.174
14.000	61813.000	0.005	0.092	0.118
15.000	62885.000	0.005	0.100	0.150
16.000	63957.000	0.005	0.119	0.155
17.000	65029.000	0.005	0.123	0.145
18.000	66101.000	0.005	0.123	0.158
19.000	67173.000	0.005	0.114	0.140
20.000	68245.000	0.005	0.102	0.145
21.000	69317.000	0.005	0.103	0.160
22.000	70389.000	0.005	0.104	0.162
23.000	71460.000	0.005	0.110	0.155
24.000	72532.000	0.005	0.110	0.145
25.000	73604.000	0.005	0.138	0.132
26.000	74676.000	0.005	0.118	0.151
27.000	75748.000	0.005	0.116	0.145
28.000	76820.000	0.005	0.099	0.127
29.000	77892.000	0.005	0.079	0.144
30.000	78964.000	0.005	0.107	0.155
31.000	80036.000	0.005	0.091	0.138
32.000	81108.000	0.005	0.117	0.146
33.000	82180.000	0.005	0.121	0.149
34.000	83251.000	0.005	0.110	0.142
35.000	84323.000	0.005	0.110	0.153
36.000	85395.000	0.005	0.109	0.149
37.000	86467.000	0.005	0.110	0.155
38.000	87539.000	0.005	0.104	0.138
39.000	88611.000	0.005	0.107	0.134
40.000	89683.000	0.005	0.125	0.158
41.000	90755.000	0.005	0.122	0.138
42.000	91827.000	0.005	0.121	0.136
43.000	92899.000	0.005	0.101	0.149
44.000	93971.000	0.005	0.100	0.145
45.000	95042.000	0.005	0.102	0.147
46.000	96114.000	0.005	0.093	0.151
47.000	97186.000	0.005	0.117	0.155
48.000	98258.000	0.005	0.124	0.143
49.000	99330.000	0.005	0.108	0.150
50.000	100402.000	0.005	0.103	0.146
51.000	101474.000	0.005	0.111	0.144
52.000	102546.000	0.005	0.100	0.149
53.000	103618.000	0.005	0.112	0.137
54.000	104690.000	0.005	0.104	0.139
55.000	105761.000	0.005	0.123	0.139
56.000	106833.000	0.005	0.128	0.144
57.000	107905.000	0.005	0.117	0.156
58.000	108977.000	0.005	0.102	0.139
59.000	110049.000	0.005	0.102	0.146
60.000	111121.000	0.005	0.107	0.154
61.000	112193.000	0.005	0.112	0.152
62.000	113265.000	0.005	0.110	0.143
63.000	114337.000	0.005	0.138	0.128
64.000	115409.000	0.005	0.112	0.159
65.000	116481.000	0.005	0.108	0.160
66.000	117552.000	0.005	0.096	0.159
67.000	118624.000	0.005	0.085	0.136
68.000	119696.000	0.005	0.105	0.154
69.000	120768.000	0.005	0.107	0.144
70.000	121840.000	0.005	0.114	0.159
71.000	122912.000	0.005	0.096	0.139
72.000	123984.000	0.005	0.102	0.131
73.000	125056.000	0.005	0.098	0.137
74.000	126128.000	0.005	0.093	0.152
75.000	127200.000	0.005	0.112	0.149
76.000	128272.000	0.005	0.128	0.130
77.000	129343.000	0.005	0.105	0.142
78.000	130415.000	0.005	0.115	0.131
79.000	131487.000	0.005	0.102	0.155
80.000	132559.000	0.005	0.120	0.144
81.000	133631.000	0.005	0.101	0.160
82.000	134703.000	0.005	0.099	0.136
83.000	135775.000	0.005	0.109	0.148
84.000	136847.000	0.005	0.105	0.145
85.000	137919.000	0.005	0.117	0.152
86.000	138991.000	0.005	0.110	0.141
87.000	140063.000	0.005	0.113	0.142
88.000	141134.000	0.005	0.096	0.139
89.000	142206.000	0.005	0.091	0.143
90.000	143278.000	0.005	0.116	0.155
91.000	144350.000	0.005	0.122	0.135
92.000	145422.000	0.005	0.106	0.129
93.000	146494.000	0.005	0.108	0.143
94.000	147566.000	0.005	0.119	0.127
95.000	148638.000	0.005	0.101	0.132
96.000	149710.000	0.005	0.111	0.146
97.000	150782.000	0.005	0.095	0.135
98.000	151853.000	0.005	0.106	0.141
99.000	152925.000	0.005	0.125	0.141
100.000	153193.000	0.005	0.113	0.150
101.000	152121.000	0.005	0.109	0.147
102.000	151050.000	0.005	0.096	0.150
103.000	149978.000	0.005	0.105	0.135
104.000	148906.000	0.005	0.094	0.143
105.000	147834.000	0.005	0.085	0.151
106.000	146762.000	0.005	0.115	0.158
107.000	145690.000	0.005	0.117	0.135
108.000	144618.000	0.005	0.108	0.139
109.000	143546.000	0.005	0.088	0.148
110.000	142474.000	0.005	0.090	0.130
111.000	141402.000	0.005	0.093	0.140
112.000	140330.000	0.005	0.087	0.123
113.000	139259.000	0.005	0.106	0.134
114.000	138187.000	0.005	0.106	0.141
115.000	137115.000	0.005	0.119	0.154
116.000	136043.000	0.005	0.099	0.137
117.000	134971.000	0.005	0.102	0.135
118.000	133899.000	0.005	0.091	0.138
119.000	132827.000	0.005	0.085	0.141
120.000	131755.000	0.005	0.113	0.151
121.000	130683.000	0.005	0.107	0.150
122.000	129611.000	0.005	0.114	0.145
123.000	128540.000	0.005	0.096	0.133
124.000	127468.000	0.005	0.107	0.155
125.000	126396.000	0.005	0.099	0.150
126.000	125324.000	0.005	0.097	0.134
127.000	124252.000	0.005	0.105	0.136
128.000	123180.000	0.005	0.105	0.137
129.000	122108.000	0.005	0.116	0.132
130.000	121036.000	0.005	0.114	0.124
131.000	119964.000	0.005	0.106	0.140
132.000	118892.000	0.005	0.091	0.125
133.000	117820.000	0.005	0.097	0.146
134.000	116749.000	0.005	0.095	0.143
135.000	115677.000	0.005	0.113	0.140
136.000	114605.000	0.005	0.129	0.142
137.000	113533.000	0.005	0.112	0.145
138.000	112461.000	0.005	0.097	0.127
139.000	111389.000	0.005	0.104	0.147
140.000	110317.000	0.005	0.101	0.152
141.000	109245.000	0.005	0.101	0.135
142.000	108173.000	0.005	0.098	0.147
143.000	107101.000	0.005	0.109	0.134
144.000	106029.000	0.005	0.126	0.142
145.000	104958.000	0.005	0.114	0.144
146.000	103886.000	0.005	0.104	0.144
147.000	102814.000	0.005	0.084	0.142
148.000	101742.000	0.005	0.082	0.149
149.000	100670.000	0.005	0.101	0.136
150.000	99598.000	0.005	0.090	0.131
151.000	98526.000	0.005	0.112	0.145
152.000	97454.000	0.005	0.112	0.144
153.000	96382.000	0.005	0.122	0.148
154.000	95310.000	0.005	0.093	0.144
155.000	94239.000	0.005	0.098	0.149
156.000	93167.000	0.005	0.095	0.137
157.000	92095.000	0.005	0.104	0.135
158.000	91023.000	0.005	0.102	0.139
159.000	89951.000	0.005	0.113	0.116
160.000	88879.000	0.005	0.105	0.129
161.000	87807.000	0.005	0.099	0.146
162.000	86735.000	0.005	0.082	0.138
163.000	85663.000	0.005	0.096	0.140
164.000	84591.000	0.005	0.093	0.146
165.000	83519.000	0.005	0.094	0.137
166.000	82448.000	0.005	0.101	0.134
167.000	81376.000	0.005	0.100	0.141
168.000	80304.000	0.005	0.103	0.147
169.000	79232.000	0.005	0.094	0.138
170.000	78160.000	0.005	0.100	0.129
171.000	77088.000	0.005	0.081	0.133
172.000	76016.000	0.005	0.098	0.129
173.000	74944.000	0.005	0.097	0.144
174.000	73872.000	0.005	0.108	0.145
175.000	72800.000	0.005	0.094	0.151
176.000	71728.000	0.005	0.085	0.140
