# Title: Diode Laser Frequency Scan, MW Blink With MW, Static, no PM, n=27.
# Note:	Diode Frequency Scan at n=27, 40 V static, MW Blink at -5 dB Attn, no PM, looking for MW power shift. Tuned to blue end of manifold.
# Type:	Frequency
# Hittite Freq:	18510.2 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	11.0 dB
# Delay:	1000 ns
# MW Off:	NaN
# Top w/o Static:	-0.033 V
# Static:	40 V
# Static Off:	NaN
i	f	b	s	r
132.000	-4501.220	0.056	0.056	0.075
133.000	-4501.220	0.056	0.059	0.071
134.000	-4501.220	0.056	0.058	0.073
135.000	-4501.120	0.056	0.059	0.071
136.000	-4501.120	0.056	0.061	0.072
137.000	-4501.120	0.056	0.061	0.068
138.000	-4501.120	0.056	0.059	0.070
139.000	-4501.020	0.056	0.057	0.068
140.000	-4501.020	0.056	0.058	0.063
141.000	-4501.020	0.056	0.061	0.061
142.000	-4501.020	0.056	0.060	0.063
143.000	-4501.020	0.056	0.061	0.064
144.000	-4501.020	0.056	0.060	0.066
145.000	-4501.020	0.056	0.060	0.064
146.000	-4500.920	0.056	0.059	0.063
147.000	-4500.920	0.056	0.063	0.062
148.000	-4500.920	0.056	0.060	0.068
149.000	-4500.920	0.056	0.059	0.064
150.000	-4500.920	0.056	0.059	0.069
151.000	-4500.920	0.056	0.060	0.064
152.000	-4500.820	0.056	0.063	0.063
153.000	-4500.820	0.056	0.064	0.065
154.000	-4500.820	0.056	0.061	0.062
155.000	-4500.820	0.056	0.060	0.066
156.000	-4500.820	0.056	0.060	0.066
157.000	-4500.720	0.056	0.061	0.063
158.000	-4500.720	0.056	0.064	0.062
159.000	-4500.720	0.056	0.064	0.065
160.000	-4500.720	0.056	0.060	0.063
161.000	-4500.620	0.056	0.060	0.061
162.000	-4500.620	0.056	0.060	0.063
163.000	-4500.620	0.056	0.063	0.062
164.000	-4500.520	0.056	0.065	0.065
165.000	-4500.520	0.056	0.061	0.063
166.000	-4500.520	0.056	0.059	0.069
167.000	-4500.520	0.056	0.060	0.065
168.000	-4500.520	0.056	0.062	0.063
169.000	-4500.420	0.056	0.061	0.064
170.000	-4500.420	0.056	0.057	0.061
171.000	-4500.420	0.056	0.063	0.064
172.000	-4500.420	0.056	0.061	0.061
173.000	-4500.420	0.056	0.062	0.062
174.000	-4500.320	0.056	0.060	0.060
175.000	-4500.320	0.056	0.062	0.062
176.000	-4500.320	0.056	0.060	0.064
177.000	-4500.320	0.056	0.063	0.061
178.000	-4500.320	0.056	0.059	0.063
179.000	-4500.320	0.056	0.063	0.061
180.000	-4500.320	0.056	0.059	0.060
181.000	-4500.320	0.056	0.055	0.063
182.000	-4500.220	0.056	0.061	0.060
183.000	-4500.320	0.056	0.060	0.061
184.000	-4500.220	0.056	0.057	0.063
185.000	-4500.220	0.056	0.059	0.062
186.000	-4500.220	0.056	0.061	0.065
187.000	-4500.220	0.056	0.064	0.063
188.000	-4500.220	0.056	0.062	0.063
189.000	-4500.220	0.056	0.058	0.058
190.000	-4500.220	0.056	0.057	0.060
191.000	-4500.220	0.056	0.056	0.057
192.000	-4500.120	0.056	0.062	0.062
193.000	-4500.120	0.056	0.060	0.060
194.000	-4500.120	0.056	0.063	0.061
195.000	-4500.120	0.056	0.061	0.060
196.000	-4500.120	0.056	0.057	0.060
197.000	-4500.020	0.056	0.062	0.062
198.000	-4500.020	0.056	0.061	0.059
199.000	-4500.020	0.056	0.058	0.065
200.000	-4500.020	0.056	0.059	0.065
