# Delay Scan
# Diode Laser at 365859 GHz
# PM at 35 dB (Coeff is 1.4) (Cooled Amp has different characteristics)
# MW Attn at 19 dB, off at Lasers + 30 ns
# Hittite at 18.5106 GHz and 18.6 dBm
# +120 mV Static applied to Top, until Lasers + 30 ns
i	d	n	nb	s	sb
0.000	82841.000	1.000	0.000	0.049	0.019
1.000	83914.000	1.000	0.000	0.049	0.019
2.000	84986.000	1.000	0.000	0.048	0.019
3.000	86058.000	1.000	0.000	0.060	0.019
4.000	87131.000	1.000	0.000	0.050	0.019
5.000	88203.000	1.000	0.000	0.053	0.019
6.000	89276.000	1.000	0.000	0.050	0.019
7.000	90348.000	1.000	0.000	0.041	0.019
8.000	91421.000	1.000	0.000	0.046	0.019
9.000	92493.000	1.000	0.000	0.033	0.019
10.000	93565.000	1.000	0.000	0.042	0.019
11.000	94638.000	1.000	0.000	0.037	0.019
12.000	95710.000	1.000	0.000	0.037	0.019
13.000	96783.000	1.000	0.000	0.042	0.019
14.000	97855.000	1.000	0.000	0.036	0.019
15.000	98928.000	1.000	0.000	0.042	0.019
16.000	100000.000	1.000	0.000	0.048	0.019
17.000	101072.000	1.000	0.000	0.049	0.019
18.000	102145.000	1.000	0.000	0.051	0.019
19.000	103217.000	1.000	0.000	0.060	0.019
20.000	104290.000	1.000	0.000	0.055	0.019
21.000	105362.000	1.000	0.000	0.046	0.019
22.000	106435.000	1.000	0.000	0.041	0.019
23.000	107507.000	1.000	0.000	0.040	0.019
24.000	108579.000	1.000	0.000	0.034	0.019
25.000	109652.000	1.000	0.000	0.038	0.019
26.000	110724.000	1.000	0.000	0.027	0.019
27.000	111797.000	1.000	0.000	0.039	0.019
28.000	112869.000	1.000	0.000	0.050	0.019
29.000	113942.000	1.000	0.000	0.033	0.019
30.000	115014.000	1.000	0.000	0.045	0.019
31.000	116086.000	1.000	0.000	0.048	0.019
32.000	117159.000	1.000	0.000	0.044	0.019
33.000	116354.000	1.000	0.000	0.043	0.019
34.000	115282.000	1.000	0.000	0.041	0.019
35.000	114210.000	1.000	0.000	0.033	0.019
36.000	113137.000	1.000	0.000	0.041	0.019
37.000	112065.000	1.000	0.000	0.035	0.019
38.000	110992.000	1.000	0.000	0.032	0.019
39.000	109920.000	1.000	0.000	0.034	0.019
40.000	108847.000	1.000	0.000	0.036	0.019
41.000	107775.000	1.000	0.000	0.033	0.019
42.000	106703.000	1.000	0.000	0.042	0.019
43.000	105630.000	1.000	0.000	0.048	0.019
44.000	104558.000	1.000	0.000	0.048	0.019
45.000	103485.000	1.000	0.000	0.050	0.019
46.000	102413.000	1.000	0.000	0.062	0.019
47.000	101341.000	1.000	0.000	0.039	0.019
48.000	100268.000	1.000	0.000	0.045	0.019
49.000	99196.000	1.000	0.000	0.044	0.019
50.000	98123.000	1.000	0.000	0.040	0.019
51.000	97051.000	1.000	0.000	0.047	0.019
52.000	95978.000	1.000	0.000	0.040	0.019
53.000	94906.000	1.000	0.000	0.037	0.019
54.000	93834.000	1.000	0.000	0.035	0.019
55.000	92761.000	1.000	0.000	0.028	0.019
56.000	91689.000	1.000	0.000	0.046	0.019
57.000	90616.000	1.000	0.000	0.043	0.019
58.000	89544.000	1.000	0.000	0.040	0.019
59.000	88471.000	1.000	0.000	0.049	0.019
60.000	87399.000	1.000	0.000	0.059	0.019
61.000	86327.000	1.000	0.000	0.058	0.019
62.000	85254.000	1.000	0.000	0.054	0.019
63.000	84182.000	1.000	0.000	0.041	0.019
64.000	83109.000	1.000	0.000	0.042	0.019
65.000	83377.000	1.000	0.000	0.036	0.019
66.000	84450.000	1.000	0.000	0.044	0.019
67.000	85522.000	1.000	0.000	0.051	0.019
68.000	86595.000	1.000	0.000	0.041	0.019
69.000	87667.000	1.000	0.000	0.051	0.019
70.000	88740.000	1.000	0.000	0.048	0.019
71.000	89812.000	1.000	0.000	0.045	0.019
72.000	90884.000	1.000	0.000	0.037	0.019
73.000	91957.000	1.000	0.000	0.040	0.019
74.000	93029.000	1.000	0.000	0.043	0.019
75.000	94102.000	1.000	0.000	0.043	0.019
76.000	95174.000	1.000	0.000	0.033	0.019
77.000	96247.000	1.000	0.000	0.035	0.019
78.000	97319.000	1.000	0.000	0.043	0.019
79.000	98391.000	1.000	0.000	0.043	0.019
80.000	99464.000	1.000	0.000	0.038	0.019
81.000	100536.000	1.000	0.000	0.052	0.019
82.000	101609.000	1.000	0.000	0.044	0.019
83.000	102681.000	1.000	0.000	0.046	0.019
84.000	103753.000	1.000	0.000	0.058	0.019
85.000	104826.000	1.000	0.000	0.062	0.019
86.000	105898.000	1.000	0.000	0.046	0.019
87.000	106971.000	1.000	0.000	0.048	0.019
88.000	108043.000	1.000	0.000	0.046	0.019
89.000	109116.000	1.000	0.000	0.049	0.019
90.000	110188.000	1.000	0.000	0.045	0.019
91.000	111260.000	1.000	0.000	0.046	0.019
92.000	112333.000	1.000	0.000	0.045	0.019
93.000	113405.000	1.000	0.000	0.040	0.019
94.000	114478.000	1.000	0.000	0.042	0.019
95.000	115550.000	1.000	0.000	0.043	0.019
96.000	116623.000	1.000	0.000	0.050	0.019
97.000	116891.000	1.000	0.000	0.042	0.019
98.000	115818.000	1.000	0.000	0.049	0.019
99.000	114746.000	1.000	0.000	0.044	0.019
100.000	113673.000	1.000	0.000	0.038	0.019
101.000	112601.000	1.000	0.000	0.037	0.019
102.000	111529.000	1.000	0.000	0.037	0.019
103.000	110456.000	1.000	0.000	0.042	0.019
104.000	109384.000	1.000	0.000	0.034	0.019
105.000	108311.000	1.000	0.000	0.050	0.019
106.000	107239.000	1.000	0.000	0.035	0.019
107.000	106166.000	1.000	0.000	0.031	0.019
108.000	105094.000	1.000	0.000	0.050	0.019
109.000	104022.000	1.000	0.000	0.052	0.019
110.000	102949.000	1.000	0.000	0.057	0.019
111.000	101877.000	1.000	0.000	0.047	0.019
112.000	100804.000	1.000	0.000	0.053	0.019
113.000	99732.000	1.000	0.000	0.048	0.019
114.000	98659.000	1.000	0.000	0.041	0.019
115.000	97587.000	1.000	0.000	0.037	0.019
116.000	96515.000	1.000	0.000	0.040	0.019
117.000	95442.000	1.000	0.000	0.037	0.019
118.000	94370.000	1.000	0.000	0.038	0.019
119.000	93297.000	1.000	0.000	0.038	0.019
120.000	92225.000	1.000	0.000	0.032	0.019
121.000	91153.000	1.000	0.000	0.039	0.019
122.000	90080.000	1.000	0.000	0.050	0.019
123.000	89008.000	1.000	0.000	0.052	0.019
124.000	87935.000	1.000	0.000	0.047	0.019
125.000	86863.000	1.000	0.000	0.060	0.019
126.000	85790.000	1.000	0.000	0.053	0.019
127.000	84718.000	1.000	0.000	0.050	0.019
128.000	83646.000	1.000	0.000	0.041	0.019
