# MW Resoncance Scan w/ the Dye laser.
# Hittite at 18510.6 MHz & 18.6 dBm
# MW Attn at 20 dB
i	f	s
0.000	-60.220	0.121
0.000	-60.365	0.127
1.000	-60.010	0.116
2.000	-59.655	0.121
3.000	-59.299	0.125
4.000	-58.944	0.123
5.000	-58.589	0.124
6.000	-58.234	0.122
7.000	-57.879	0.119
8.000	-57.524	0.131
9.000	-57.169	0.119
10.000	-56.813	0.142
11.000	-56.458	0.126
12.000	-56.103	0.133
13.000	-55.748	0.126
14.000	-55.393	0.132
15.000	-55.038	0.137
16.000	-54.682	0.131
17.000	-54.327	0.129
18.000	-53.972	0.136
19.000	-53.617	0.137
20.000	-53.262	0.145
21.000	-52.907	0.138
22.000	-52.552	0.141
23.000	-52.196	0.130
24.000	-51.841	0.134
25.000	-51.486	0.135
26.000	-51.131	0.136
27.000	-50.776	0.128
28.000	-50.421	0.129
29.000	-50.066	0.133
30.000	-49.710	0.138
31.000	-49.355	0.136
32.000	-49.000	0.146
33.000	-48.645	0.149
34.000	-48.290	0.137
35.000	-47.935	0.124
36.000	-47.579	0.151
37.000	-47.224	0.150
38.000	-46.869	0.149
39.000	-46.514	0.143
40.000	-46.159	0.144
41.000	-45.804	0.137
42.000	-45.449	0.139
43.000	-45.093	0.139
44.000	-44.738	0.138
45.000	-44.383	0.150
46.000	-44.028	0.146
47.000	-43.673	0.140
48.000	-43.318	0.130
49.000	-42.963	0.121
50.000	-42.607	0.128
51.000	-42.252	0.116
52.000	-41.897	0.133
53.000	-41.542	0.122
54.000	-41.187	0.121
55.000	-40.832	0.111
56.000	-40.476	0.122
57.000	-40.121	0.117
58.000	-39.766	0.105
59.000	-39.411	0.104
60.000	-39.056	0.103
61.000	-38.701	0.106
62.000	-38.346	0.114
63.000	-37.990	0.102
64.000	-37.635	0.101
65.000	-37.280	0.099
66.000	-36.925	0.094
67.000	-36.570	0.093
68.000	-36.215	0.092
69.000	-35.860	0.092
70.000	-35.504	0.096
71.000	-35.149	0.086
72.000	-34.794	0.090
73.000	-34.439	0.089
74.000	-34.084	0.088
75.000	-33.729	0.085
76.000	-33.373	0.094
77.000	-33.018	0.093
78.000	-32.663	0.094
79.000	-32.308	0.088
80.000	-31.953	0.084
81.000	-31.598	0.087
82.000	-31.243	0.089
83.000	-30.887	0.085
84.000	-30.532	0.087
85.000	-30.177	0.083
86.000	-29.822	0.088
87.000	-29.467	0.083
88.000	-29.112	0.084
89.000	-28.757	0.085
