# Filename	C:\Users\labuser\Documents\Data\2018-11-03\7_fscan.txt
# Date	2018-11-4-7:47
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	18.60
# Note	Hittite HMC-T2100 at 18.6 dBm connected to Splitter to -2 dB to Mixer to Doubler to -20 dB to Amp to Var Attn to Cavity. Var Attn at 20 dB. Laser at -60 GHz with -15 GHz Limit. MW Pulse from Laser -270 ns to +30 ns. Looking for MW Ionization.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.035	0.116	0.151
18502000000.000	0.035	0.109	0.140
18504000000.000	0.035	0.101	0.145
18506000000.000	0.035	0.075	0.148
18508000000.000	0.035	0.085	0.142
18510000000.000	0.035	0.069	0.158
18512000000.000	0.035	0.078	0.154
18514000000.000	0.035	0.088	0.141
18516000000.000	0.035	0.093	0.155
18518000000.000	0.035	0.102	0.142
18520000000.000	0.035	0.109	0.138
18500200000.000	0.035	0.106	0.138
18502200000.000	0.035	0.105	0.145
18504200000.000	0.035	0.078	0.148
18506200000.000	0.035	0.088	0.130
18508200000.000	0.035	0.078	0.135
18510200000.000	0.035	0.071	0.139
18512200000.000	0.035	0.063	0.130
18514200000.000	0.035	0.076	0.141
18516200000.000	0.035	0.075	0.141
18518200000.000	0.035	0.105	0.121
18500400000.000	0.035	0.094	0.133
18502400000.000	0.035	0.101	0.141
18504400000.000	0.035	0.090	0.135
18506400000.000	0.035	0.081	0.125
18508400000.000	0.035	0.067	0.138
18510400000.000	0.035	0.069	0.147
18512400000.000	0.035	0.069	0.128
18514400000.000	0.035	0.074	0.148
18516400000.000	0.035	0.094	0.131
18518400000.000	0.035	0.099	0.121
18500600000.000	0.035	0.104	0.126
18502600000.000	0.035	0.092	0.125
18504600000.000	0.035	0.076	0.129
18506600000.000	0.035	0.074	0.151
18508600000.000	0.035	0.075	0.120
18510600000.000	0.035	0.069	0.149
18512600000.000	0.035	0.071	0.125
18514600000.000	0.035	0.076	0.127
18516600000.000	0.035	0.089	0.128
18518600000.000	0.035	0.106	0.139
18500800000.000	0.035	0.117	0.128
18502800000.000	0.035	0.096	0.134
18504800000.000	0.035	0.100	0.132
18506800000.000	0.035	0.071	0.138
18508800000.000	0.035	0.075	0.138
18510800000.000	0.035	0.065	0.120
18512800000.000	0.035	0.063	0.127
18514800000.000	0.035	0.080	0.138
18516800000.000	0.035	0.099	0.145
18518800000.000	0.035	0.103	0.136
18501000000.000	0.035	0.111	0.129
18503000000.000	0.035	0.098	0.127
18505000000.000	0.035	0.092	0.131
18507000000.000	0.035	0.080	0.136
18509000000.000	0.035	0.074	0.130
18511000000.000	0.035	0.071	0.137
18513000000.000	0.035	0.085	0.129
18515000000.000	0.035	0.081	0.152
18517000000.000	0.035	0.090	0.137
18519000000.000	0.035	0.101	0.125
18501200000.000	0.035	0.105	0.142
18503200000.000	0.035	0.095	0.134
18505200000.000	0.035	0.084	0.133
18507200000.000	0.035	0.079	0.141
18509200000.000	0.035	0.065	0.129
18511200000.000	0.035	0.064	0.120
18513200000.000	0.035	0.065	0.118
18515200000.000	0.035	0.090	0.106
18517200000.000	0.035	0.090	0.134
18519200000.000	0.035	0.105	0.115
18501400000.000	0.035	0.109	0.118
18503400000.000	0.035	0.100	0.126
18505400000.000	0.035	0.092	0.124
18507400000.000	0.035	0.081	0.123
18509400000.000	0.035	0.069	0.132
18511400000.000	0.035	0.064	0.128
18513400000.000	0.035	0.079	0.127
18515400000.000	0.035	0.094	0.129
18517400000.000	0.035	0.099	0.140
18519400000.000	0.035	0.100	0.138
18501600000.000	0.035	0.098	0.130
18503600000.000	0.035	0.087	0.114
18505600000.000	0.035	0.081	0.122
18507600000.000	0.035	0.069	0.130
18509600000.000	0.035	0.066	0.115
18511600000.000	0.035	0.061	0.132
18513600000.000	0.035	0.071	0.134
18515600000.000	0.035	0.082	0.138
18517600000.000	0.035	0.094	0.133
18519600000.000	0.035	0.092	0.141
18501800000.000	0.035	0.112	0.141
18503800000.000	0.035	0.091	0.142
18505800000.000	0.035	0.085	0.127
18507800000.000	0.035	0.071	0.123
18509800000.000	0.035	0.066	0.119
18511800000.000	0.035	0.064	0.126
18513800000.000	0.035	0.074	0.123
18515800000.000	0.035	0.083	0.118
18517800000.000	0.035	0.086	0.133
18519800000.000	0.035	0.101	0.131
