# Dye Scan of Depressed Ionization Limit. No MW or Static field.
i	f	s
0.000	-60.164	0.233
1.000	-59.808	0.249
2.000	-59.453	0.258
3.000	-59.097	0.267
4.000	-58.741	0.250
5.000	-58.385	0.243
6.000	-58.029	0.248
7.000	-57.673	0.256
8.000	-57.318	0.266
9.000	-56.962	0.255
10.000	-56.606	0.242
11.000	-56.250	0.239
12.000	-55.894	0.261
13.000	-55.539	0.259
14.000	-55.183	0.272
15.000	-54.827	0.263
16.000	-54.471	0.255
17.000	-54.115	0.257
18.000	-53.760	0.253
19.000	-53.404	0.269
20.000	-53.048	0.276
21.000	-52.692	0.270
22.000	-52.336	0.275
23.000	-51.980	0.276
24.000	-51.625	0.276
25.000	-51.269	0.271
26.000	-50.913	0.269
27.000	-50.557	0.263
28.000	-50.201	0.259
29.000	-49.846	0.263
30.000	-49.490	0.267
31.000	-49.134	0.252
32.000	-48.778	0.257
33.000	-48.422	0.278
34.000	-48.067	0.262
35.000	-47.711	0.267
36.000	-47.355	0.273
37.000	-46.999	0.264
38.000	-46.643	0.246
39.000	-46.287	0.240
40.000	-45.932	0.257
41.000	-45.576	0.257
42.000	-45.220	0.257
43.000	-44.864	0.250
44.000	-44.508	0.251
45.000	-44.153	0.249
46.000	-43.797	0.259
47.000	-43.441	0.259
48.000	-43.085	0.260
49.000	-42.729	0.248
50.000	-42.373	0.242
51.000	-42.018	0.241
52.000	-41.662	0.238
53.000	-41.306	0.227
54.000	-40.950	0.237
55.000	-40.594	0.241
56.000	-40.239	0.238
57.000	-39.883	0.230
58.000	-39.527	0.247
59.000	-39.171	0.235
60.000	-38.815	0.218
61.000	-38.460	0.219
62.000	-38.104	0.215
63.000	-37.748	0.240
64.000	-37.392	0.209
65.000	-37.036	0.202
66.000	-36.680	0.205
67.000	-36.325	0.200
68.000	-35.969	0.220
69.000	-35.613	0.212
70.000	-35.257	0.203
71.000	-34.901	0.208
72.000	-34.546	0.194
73.000	-34.190	0.191
74.000	-33.834	0.197
75.000	-33.478	0.194
76.000	-33.122	0.192
77.000	-32.767	0.189
78.000	-32.411	0.183
79.000	-32.055	0.185
80.000	-31.699	0.181
81.000	-31.343	0.171
82.000	-30.987	0.186
83.000	-30.632	0.202
84.000	-30.276	0.194
85.000	-29.920	0.210
86.000	-29.564	0.194
87.000	-29.208	0.200
88.000	-28.853	0.202
89.000	-28.497	0.188
90.000	-28.141	0.184
91.000	-27.785	0.187
92.000	-27.429	0.180
93.000	-27.073	0.196
94.000	-26.718	0.193
95.000	-26.362	0.191
96.000	-26.006	0.185
97.000	-25.650	0.176
98.000	-25.294	0.184
99.000	-24.939	0.178
100.000	-24.583	0.161
101.000	-24.227	0.161
102.000	-23.871	0.170
103.000	-23.515	0.166
104.000	-23.160	0.160
105.000	-22.804	0.159
106.000	-22.448	0.166
107.000	-22.092	0.165
108.000	-21.736	0.150
109.000	-21.380	0.154
110.000	-21.025	0.140
111.000	-20.669	0.138
112.000	-20.313	0.141
113.000	-19.957	0.139
114.000	-19.601	0.142
115.000	-19.246	0.133
116.000	-18.890	0.129
117.000	-18.534	0.124
118.000	-18.178	0.124
119.000	-17.822	0.125
120.000	-17.467	0.128
121.000	-17.111	0.127
122.000	-16.755	0.120
123.000	-16.399	0.118
124.000	-16.043	0.125
125.000	-15.687	0.132
126.000	-15.332	0.126
127.000	-14.976	0.134
128.000	-14.620	0.110
129.000	-14.264	0.115
130.000	-13.908	0.099
131.000	-13.553	0.101
132.000	-13.197	0.107
133.000	-12.841	0.103
134.000	-12.485	0.099
135.000	-12.129	0.100
136.000	-11.773	0.095
137.000	-11.418	0.092
138.000	-11.062	0.087
139.000	-10.706	0.089
140.000	-10.350	0.080
141.000	-9.994	0.079
142.000	-9.639	0.070
143.000	-9.283	0.069
144.000	-8.927	0.064
145.000	-8.571	0.059
146.000	-8.215	0.057
147.000	-7.860	0.056
148.000	-7.504	0.051
149.000	-7.148	0.051
150.000	-6.792	0.052
151.000	-6.436	0.050
152.000	-6.080	0.045
153.000	-5.725	0.042
154.000	-5.369	0.040
155.000	-5.013	0.040
156.000	-4.657	0.039
157.000	-4.301	0.044
158.000	-3.946	0.040
159.000	-3.590	0.038
160.000	-3.234	0.040
161.000	-2.878	0.038
162.000	-2.522	0.034
163.000	-2.167	0.032
164.000	-1.811	0.039
165.000	-1.455	0.039
166.000	-1.099	0.039
167.000	-0.743	0.040
168.000	-0.387	0.038
169.000	-0.032	0.037
170.000	0.324	0.036
171.000	0.680	0.041
172.000	1.036	0.043
173.000	1.392	0.042
174.000	1.747	0.038
175.000	2.103	0.042
176.000	2.459	0.038
177.000	2.815	0.040
178.000	3.171	0.035
179.000	3.527	0.043
180.000	3.882	0.041
181.000	4.238	0.042
182.000	4.594	0.045
183.000	4.950	0.042
184.000	5.306	0.041
185.000	5.661	0.045
186.000	6.017	0.044
187.000	6.373	0.040
188.000	6.729	0.036
189.000	7.085	0.038
190.000	7.440	0.037
191.000	7.796	0.036
192.000	8.152	0.040
193.000	8.508	0.038
194.000	8.864	0.040
195.000	9.220	0.042
196.000	9.575	0.044
197.000	9.931	0.038
198.000	10.287	0.039
199.000	10.643	0.041
200.000	10.999	0.041
201.000	11.354	0.041
202.000	11.710	0.037
203.000	12.066	0.038
204.000	12.422	0.041
205.000	12.778	0.037
206.000	13.133	0.042
207.000	13.489	0.040
208.000	13.845	0.038
209.000	14.201	0.038
210.000	14.557	0.036
211.000	14.913	0.037
212.000	15.268	0.038
213.000	15.624	0.039
214.000	15.980	0.038
215.000	16.336	0.037
216.000	16.692	0.039
217.000	17.047	0.041
218.000	17.403	0.034
219.000	17.759	0.035
220.000	18.115	0.037
221.000	18.471	0.037
222.000	18.827	0.037
223.000	19.182	0.035
224.000	19.538	0.038
225.000	19.894	0.038
226.000	20.250	0.039
227.000	20.606	0.037
228.000	20.961	0.036
229.000	21.317	0.035
230.000	21.673	0.038
231.000	22.029	0.037
232.000	22.385	0.040
233.000	22.740	0.037
234.000	23.096	0.038
