# Dye Scan of Depressed Ionization Limit. No MW or Static field.
i	f	s
0.000	-60.364	0.138
1.000	-60.007	0.136
2.000	-59.651	0.130
3.000	-59.294	0.141
4.000	-58.938	0.140
5.000	-58.581	0.148
6.000	-58.225	0.155
7.000	-57.868	0.138
8.000	-57.512	0.135
9.000	-57.155	0.159
10.000	-56.799	0.146
11.000	-56.442	0.145
12.000	-56.086	0.161
13.000	-55.729	0.164
14.000	-55.373	0.167
15.000	-55.016	0.147
16.000	-54.660	0.156
17.000	-54.303	0.165
18.000	-53.947	0.183
19.000	-53.590	0.167
20.000	-53.234	0.154
21.000	-52.877	0.160
22.000	-52.521	0.138
23.000	-52.165	0.141
24.000	-51.808	0.157
25.000	-51.452	0.164
26.000	-51.095	0.155
27.000	-50.739	0.164
28.000	-50.382	0.159
29.000	-50.026	0.168
30.000	-49.669	0.154
31.000	-49.313	0.149
32.000	-48.956	0.142
33.000	-48.600	0.146
34.000	-48.243	0.156
35.000	-47.887	0.165
36.000	-47.530	0.160
37.000	-47.174	0.167
38.000	-46.817	0.154
39.000	-46.461	0.149
40.000	-46.104	0.154
41.000	-45.748	0.161
42.000	-45.391	0.152
43.000	-45.035	0.171
44.000	-44.678	0.163
45.000	-44.322	0.155
46.000	-43.966	0.143
47.000	-43.609	0.135
48.000	-43.253	0.152
49.000	-42.896	0.155
50.000	-42.540	0.143
51.000	-42.183	0.152
52.000	-41.827	0.159
53.000	-41.470	0.140
54.000	-41.114	0.147
55.000	-40.757	0.133
56.000	-40.401	0.140
57.000	-40.044	0.136
58.000	-39.688	0.138
59.000	-39.331	0.138
60.000	-38.975	0.121
61.000	-38.618	0.114
62.000	-38.262	0.119
63.000	-37.905	0.126
64.000	-37.549	0.126
65.000	-37.192	0.132
66.000	-36.836	0.122
67.000	-36.479	0.125
68.000	-36.123	0.125
69.000	-35.767	0.131
70.000	-35.410	0.114
71.000	-35.054	0.121
72.000	-34.697	0.130
73.000	-34.341	0.125
74.000	-33.984	0.122
75.000	-33.628	0.131
76.000	-33.271	0.125
77.000	-32.915	0.118
78.000	-32.558	0.120
79.000	-32.202	0.132
80.000	-31.845	0.132
81.000	-31.489	0.122
82.000	-31.132	0.123
83.000	-30.776	0.132
84.000	-30.419	0.118
85.000	-30.063	0.123
86.000	-29.706	0.115
87.000	-29.350	0.107
88.000	-28.993	0.110
89.000	-28.637	0.118
