# 16 dB MW, -30 GHz DIL?
i	f	s
0.000	-100.220	-0.001
1.000	-100.020	-0.015
2.000	-99.920	-0.019
3.000	-99.720	-0.018
4.000	-99.620	-0.012
5.000	-99.320	-0.009
6.000	-99.020	-0.016
7.000	-98.920	-0.022
8.000	-98.620	-0.004
9.000	-98.220	-0.019
10.000	-98.020	-0.015
11.000	-97.520	-0.018
12.000	-97.220	-0.006
13.000	-97.020	-0.006
14.000	-96.420	-0.009
15.000	-96.220	-0.004
16.000	-95.520	-0.011
17.000	-95.520	-0.010
18.000	-95.320	-0.011
19.000	-95.020	-0.011
20.000	-94.520	-0.015
21.000	-94.120	-0.013
22.000	-93.720	-0.007
23.000	-93.320	-0.007
24.000	-93.020	-0.012
25.000	-92.820	-0.008
26.000	-92.420	-0.005
27.000	-92.220	-0.002
28.000	-91.820	-0.014
29.000	-91.220	-0.009
30.000	-91.020	-0.005
31.000	-90.420	-0.001
32.000	-90.220	-0.011
33.000	-90.020	-0.018
34.000	-89.620	-0.019
35.000	-89.320	-0.005
36.000	-89.120	-0.011
37.000	-88.320	-0.006
38.000	-88.020	-0.010
39.000	-87.820	-0.009
40.000	-87.220	-0.024
41.000	-86.920	-0.012
42.000	-86.620	-0.014
43.000	-86.220	-0.021
44.000	-86.020	-0.012
45.000	-85.720	-0.008
46.000	-85.120	-0.011
47.000	-84.720	-0.007
48.000	-84.420	0.005
49.000	-84.020	-0.012
50.000	-83.520	-0.009
51.000	-83.120	-0.011
52.000	-83.020	-0.010
53.000	-82.720	-0.010
54.000	-82.320	-0.002
55.000	-81.720	-0.001
56.000	-81.520	-0.004
57.000	-81.220	-0.008
58.000	-80.720	-0.009
59.000	-80.520	-0.011
60.000	-80.320	-0.018
61.000	-79.820	-0.009
62.000	-79.620	-0.011
63.000	-78.920	-0.007
64.000	-78.620	-0.000
65.000	-78.420	-0.007
66.000	-78.020	-0.021
67.000	-77.820	-0.017
68.000	-77.720	-0.015
69.000	-77.220	-0.009
70.000	-77.020	-0.019
71.000	-76.820	-0.018
72.000	-76.420	-0.010
73.000	-76.020	-0.010
74.000	-75.720	-0.009
75.000	-75.220	0.001
76.000	-75.020	-0.019
77.000	-74.620	-0.021
78.000	-74.520	-0.007
79.000	-74.220	0.005
80.000	-74.020	-0.007
81.000	-73.020	-0.005
82.000	-72.920	-0.016
83.000	-72.420	-0.013
84.000	-72.320	-0.012
85.000	-71.920	-0.007
86.000	-71.620	-0.022
87.000	-71.420	-0.019
88.000	-71.220	-0.019
89.000	-70.820	0.006
90.000	-70.520	-0.012
91.000	-70.020	-0.007
92.000	-69.520	-0.004
93.000	-69.320	-0.010
94.000	-68.820	-0.016
95.000	-68.620	-0.002
96.000	-68.420	-0.007
97.000	-68.220	-0.011
98.000	-67.720	-0.006
99.000	-67.320	-0.017
100.000	-67.020	-0.016
101.000	-66.320	-0.008
102.000	-66.020	-0.012
103.000	-65.820	-0.013
104.000	-65.420	-0.014
105.000	-65.220	-0.026
106.000	-64.920	-0.017
107.000	-64.320	-0.015
108.000	-64.020	-0.011
109.000	-63.820	-0.013
110.000	-63.220	-0.012
111.000	-62.820	-0.018
112.000	-62.720	-0.024
113.000	-62.320	-0.017
114.000	-62.120	-0.013
115.000	-61.620	-0.013
116.000	-61.420	-0.015
117.000	-60.820	-0.006
118.000	-60.520	-0.016
119.000	-60.320	-0.015
120.000	-59.820	-0.007
121.000	-59.520	-0.011
122.000	-59.320	-0.003
123.000	-58.820	-0.009
124.000	-58.420	-0.006
125.000	-58.220	-0.008
126.000	-57.520	-0.009
127.000	-57.320	-0.007
128.000	-57.020	-0.006
129.000	-56.620	-0.004
130.000	-56.420	-0.005
131.000	-56.120	-0.007
132.000	-55.620	-0.003
133.000	-55.220	-0.010
134.000	-54.920	0.000
135.000	-54.320	-0.015
136.000	-54.120	-0.008
137.000	-53.520	-0.013
138.000	-53.320	0.007
139.000	-53.120	-0.001
140.000	-52.820	-0.012
141.000	-52.220	-0.019
142.000	-52.020	-0.012
143.000	-51.620	-0.007
144.000	-51.220	-0.017
145.000	-51.020	-0.014
146.000	-50.520	-0.019
147.000	-50.320	-0.019
148.000	-50.020	-0.002
149.000	-49.620	-0.007
150.000	-49.320	-0.018
151.000	-49.020	-0.025
152.000	-48.320	-0.023
153.000	-48.020	-0.004
154.000	-47.920	-0.011
155.000	-47.620	-0.013
156.000	-47.120	-0.025
157.000	-47.020	-0.021
158.000	-46.620	-0.021
159.000	-46.220	-0.010
160.000	-45.820	-0.016
161.000	-45.320	-0.018
162.000	-45.120	-0.013
163.000	-44.620	-0.023
164.000	-44.420	-0.016
165.000	-44.220	-0.023
166.000	-43.820	-0.013
167.000	-43.520	-0.010
168.000	-43.320	-0.016
169.000	-42.920	-0.017
170.000	-42.720	-0.025
171.000	-42.320	-0.017
172.000	-41.820	-0.017
173.000	-41.720	-0.006
174.000	-41.420	-0.023
175.000	-41.020	-0.003
176.000	-40.820	-0.024
177.000	-40.420	-0.017
178.000	-40.320	-0.022
179.000	-39.820	-0.006
180.000	-39.520	-0.012
181.000	-38.920	-0.019
182.000	-38.420	-0.019
183.000	-38.220	-0.013
184.000	-38.120	-0.025
185.000	-37.620	-0.024
186.000	-37.320	-0.016
187.000	-37.020	-0.018
188.000	-36.520	-0.014
189.000	-36.220	-0.012
190.000	-35.720	-0.023
191.000	-35.420	-0.006
192.000	-35.220	-0.021
193.000	-34.720	-0.024
194.000	-34.520	-0.008
195.000	-34.320	-0.017
196.000	-33.420	-0.024
197.000	-33.220	-0.011
198.000	-32.920	-0.010
199.000	-32.620	-0.008
200.000	-32.120	-0.018
201.000	-31.820	-0.014
202.000	-30.920	-0.028
203.000	-30.920	-0.019
204.000	-30.620	-0.021
205.000	-30.020	-0.020
206.000	-29.920	-0.020
207.000	-29.620	-0.028
208.000	-29.120	-0.016
209.000	-28.720	-0.026
210.000	-28.620	-0.014
211.000	-28.220	-0.023
212.000	-27.820	-0.010
213.000	-27.220	-0.026
214.000	-27.020	-0.017
215.000	-26.720	-0.029
216.000	-26.320	-0.020
217.000	-25.920	-0.016
218.000	-25.720	-0.020
219.000	-25.420	-0.017
220.000	-24.920	-0.016
221.000	-24.420	-0.018
222.000	-24.020	-0.019
223.000	-23.620	-0.014
224.000	-23.420	-0.017
225.000	-23.120	-0.023
226.000	-22.720	-0.017
227.000	-22.420	-0.013
228.000	-22.220	-0.019
229.000	-21.920	-0.018
230.000	-21.220	-0.020
231.000	-20.920	-0.014
232.000	-20.720	-0.013
233.000	-18.620	-0.006
234.000	-18.520	-0.023
235.000	-18.220	-0.012
236.000	-18.120	-0.020
237.000	-17.820	-0.009
238.000	-17.620	-0.010
239.000	-17.320	-0.014
240.000	-17.020	-0.016
241.000	-16.820	-0.016
242.000	-16.220	-0.015
243.000	-16.120	-0.008
244.000	-15.720	-0.016
245.000	-15.120	-0.021
246.000	-14.920	-0.024
247.000	-14.520	-0.019
248.000	-14.120	-0.012
249.000	-13.720	-0.016
250.000	-13.520	-0.019
251.000	-12.920	-0.012
252.000	-12.520	-0.022
253.000	-12.320	-0.007
254.000	-11.820	-0.019
255.000	-11.520	-0.017
256.000	-11.320	-0.016
257.000	-10.820	-0.019
258.000	-10.520	-0.020
259.000	-10.220	-0.013
260.000	-9.820	-0.014
261.000	-9.520	-0.017
262.000	-9.220	-0.023
263.000	-8.620	-0.028
264.000	-8.520	-0.024
265.000	-8.020	-0.016
266.000	-7.720	-0.024
267.000	-7.520	-0.021
268.000	-7.320	-0.024
269.000	-6.920	-0.026
270.000	-6.520	-0.017
271.000	-6.120	-0.026
272.000	-5.620	-0.017
273.000	-5.420	-0.023
274.000	-5.220	-0.023
275.000	-4.720	-0.018
276.000	-4.420	-0.018
277.000	-4.220	-0.018
278.000	-3.720	-0.027
279.000	-3.420	-0.020
280.000	-2.820	-0.022
281.000	-2.520	-0.029
282.000	-2.220	-0.026
283.000	-1.720	-0.024
284.000	-1.420	-0.026
285.000	-1.220	-0.026
286.000	-0.720	-0.023
287.000	-0.420	-0.026
288.000	0.280	-0.023
289.000	0.480	-0.025
290.000	0.680	-0.023
291.000	1.080	-0.020
292.000	1.480	-0.026
293.000	1.780	-0.023
294.000	1.980	-0.020
295.000	2.480	-0.022
296.000	2.780	-0.023
297.000	2.980	-0.027
298.000	3.680	-0.024
299.000	3.980	-0.016
300.000	4.480	-0.020
301.000	4.780	-0.017
302.000	5.080	-0.020
303.000	5.380	-0.022
304.000	6.180	-0.019
305.000	6.480	-0.024
306.000	6.980	-0.020
307.000	7.180	-0.027
308.000	7.480	-0.029
309.000	7.780	-0.029
310.000	8.580	-0.025
311.000	8.780	-0.027
312.000	9.080	-0.017
313.000	9.580	-0.026
314.000	9.880	-0.022
315.000	10.280	-0.024
316.000	10.580	-0.028
317.000	11.080	-0.026
318.000	11.280	-0.019
319.000	11.780	-0.023
320.000	12.080	-0.022
321.000	12.380	-0.027
322.000	12.980	-0.025
323.000	13.180	-0.029
324.000	13.580	-0.027
325.000	13.880	-0.026
326.000	14.180	-0.026
327.000	14.280	-0.021
328.000	15.080	-0.021
329.000	15.380	-0.027
330.000	15.680	-0.024
331.000	16.280	-0.026
332.000	16.580	-0.016
333.000	16.880	-0.021
334.000	17.380	-0.024
335.000	17.680	-0.025
336.000	18.180	-0.018
337.000	18.680	-0.027
338.000	18.980	-0.018
339.000	19.380	-0.024
340.000	19.480	-0.020
341.000	19.980	-0.020
342.000	20.180	-0.027
343.000	20.580	-0.020
344.000	21.280	-0.028
345.000	21.480	-0.018
346.000	21.980	-0.028
347.000	22.180	-0.023
348.000	22.480	-0.019
349.000	22.880	-0.029
350.000	23.280	-0.020
351.000	23.580	-0.029
352.000	24.080	-0.023
353.000	24.480	-0.019
354.000	24.780	-0.018
355.000	25.280	-0.026
356.000	25.580	-0.035
357.000	25.780	-0.032
358.000	26.280	-0.026
359.000	26.480	-0.022
360.000	26.780	-0.029
361.000	27.180	-0.027
362.000	27.680	-0.025
363.000	27.880	-0.030
364.000	28.280	-0.026
365.000	28.580	-0.024
366.000	28.780	-0.035
367.000	29.180	-0.031
368.000	29.380	-0.024
369.000	29.680	-0.027
370.000	30.080	-0.025
371.000	30.380	-0.024
372.000	30.880	-0.028
373.000	31.180	-0.024
374.000	31.380	-0.030
375.000	31.780	-0.027
376.000	31.980	-0.030
377.000	32.380	-0.027
378.000	32.680	-0.019
379.000	33.080	-0.028
380.000	33.780	-0.030
381.000	33.880	-0.028
382.000	34.180	-0.029
383.000	34.580	-0.024
384.000	34.880	-0.027
385.000	35.180	-0.022
386.000	35.580	-0.033
387.000	35.880	-0.033
388.000	36.180	-0.029
389.000	36.780	-0.036
390.000	37.180	-0.029
391.000	37.480	-0.029
392.000	37.980	-0.032
393.000	38.180	-0.030
394.000	38.380	-0.033
395.000	38.980	-0.019
396.000	39.280	-0.028
397.000	39.880	-0.031
398.000	40.180	-0.024
399.000	40.480	-0.026
400.000	40.680	-0.033
401.000	41.180	-0.030
402.000	41.480	-0.024
403.000	41.980	-0.026
404.000	42.480	-0.023
405.000	42.580	-0.026
406.000	43.280	-0.030
407.000	43.480	-0.031
408.000	43.780	-0.026
409.000	44.180	-0.023
410.000	44.480	-0.028
411.000	44.680	-0.031
412.000	45.180	-0.025
413.000	45.580	-0.029
414.000	45.880	-0.029
415.000	46.880	-0.021
416.000	47.080	-0.025
417.000	47.280	-0.028
418.000	47.480	-0.028
419.000	47.680	-0.030
420.000	48.180	-0.027
421.000	48.580	-0.029
422.000	48.880	-0.028
423.000	49.380	-0.028
424.000	49.580	-0.024
425.000	49.880	-0.026
426.000	50.280	-0.025
427.000	50.580	-0.029
428.000	50.780	-0.024
429.000	51.480	-0.030
430.000	51.580	-0.027
431.000	51.980	-0.019
432.000	52.580	-0.025
433.000	53.080	-0.033
434.000	53.280	-0.026
435.000	53.780	-0.029
436.000	54.080	-0.023
437.000	54.380	-0.032
438.000	54.880	-0.028
439.000	55.180	-0.027
440.000	55.580	-0.025
441.000	55.880	-0.032
442.000	56.280	-0.024
443.000	56.580	-0.029
