# MW Resoncance Scan w/ the Dye laser.
# Hittite at 18510.6 MHz & 18.6 dBm
# MW Attn at 14 dB
i	f	s
247.000	27.522	0.068
248.000	27.878	0.075
249.000	28.233	0.071
250.000	28.589	0.077
251.000	28.945	0.073
252.000	29.301	0.068
253.000	29.657	0.070
254.000	30.013	0.064
255.000	30.368	0.070
256.000	30.724	0.068
257.000	31.080	0.067
258.000	31.436	0.066
259.000	31.792	0.066
260.000	32.147	0.068
261.000	32.503	0.068
262.000	32.859	0.062
263.000	33.215	0.063
264.000	33.571	0.065
265.000	33.927	0.058
266.000	34.282	0.066
267.000	34.638	0.065
268.000	34.994	0.068
269.000	35.350	0.060
270.000	35.706	0.061
271.000	36.061	0.060
272.000	36.417	0.055
273.000	36.773	0.056
274.000	37.129	0.057
275.000	37.485	0.055
276.000	37.840	0.057
277.000	38.196	0.057
278.000	38.552	0.054
279.000	38.908	0.054
280.000	39.264	0.056
281.000	39.620	0.056
282.000	39.975	0.051
283.000	40.331	0.049
284.000	40.687	0.048
285.000	41.043	0.046
286.000	41.399	0.047
287.000	41.754	0.047
288.000	42.110	0.053
289.000	42.466	0.059
290.000	42.822	0.054
291.000	43.178	0.058
292.000	43.533	0.055
293.000	43.889	0.054
294.000	44.245	0.055
295.000	44.601	0.054
296.000	44.957	0.054
297.000	45.313	0.058
298.000	45.668	0.058
299.000	46.024	0.054
300.000	46.380	0.056
0.000	-60.363	0.077
1.000	-60.006	0.083
2.000	-59.650	0.085
3.000	-59.293	0.085
4.000	-58.936	0.085
5.000	-58.579	0.088
6.000	-58.222	0.089
7.000	-57.866	0.086
8.000	-57.509	0.086
9.000	-57.152	0.090
10.000	-56.795	0.083
11.000	-56.438	0.089
12.000	-56.081	0.092
13.000	-55.725	0.085
14.000	-55.368	0.082
15.000	-55.011	0.089
16.000	-54.654	0.089
17.000	-54.297	0.094
18.000	-53.941	0.086
19.000	-53.584	0.086
20.000	-53.227	0.089
21.000	-52.870	0.096
22.000	-52.513	0.093
23.000	-52.157	0.093
24.000	-51.800	0.094
25.000	-51.443	0.089
26.000	-51.086	0.093
27.000	-50.729	0.090
28.000	-50.372	0.094
29.000	-50.016	0.100
30.000	-49.659	0.097
31.000	-49.302	0.104
32.000	-48.945	0.101
33.000	-48.588	0.101
34.000	-48.232	0.113
35.000	-47.875	0.098
36.000	-47.518	0.113
37.000	-47.161	0.103
38.000	-46.804	0.095
39.000	-46.448	0.095
40.000	-46.091	0.106
41.000	-45.734	0.108
42.000	-45.377	0.106
43.000	-45.020	0.104
44.000	-44.664	0.099
45.000	-44.307	0.096
46.000	-43.950	0.101
47.000	-43.593	0.100
48.000	-43.236	0.097
49.000	-42.879	0.096
50.000	-42.523	0.094
51.000	-42.166	0.088
52.000	-41.809	0.086
53.000	-41.452	0.092
54.000	-41.095	0.093
55.000	-40.739	0.090
56.000	-40.382	0.086
57.000	-40.025	0.091
58.000	-39.668	0.090
59.000	-39.311	0.087
60.000	-38.955	0.089
61.000	-38.598	0.092
62.000	-38.241	0.091
63.000	-37.884	0.088
64.000	-37.527	0.081
65.000	-37.170	0.084
66.000	-36.814	0.087
67.000	-36.457	0.085
68.000	-36.100	0.084
69.000	-35.743	0.078
70.000	-35.386	0.080
71.000	-35.030	0.078
72.000	-34.673	0.080
73.000	-34.316	0.074
74.000	-33.959	0.071
75.000	-33.602	0.067
76.000	-33.246	0.068
77.000	-32.889	0.071
78.000	-32.532	0.071
79.000	-32.175	0.068
80.000	-31.818	0.069
81.000	-31.462	0.071
82.000	-31.105	0.065
83.000	-30.748	0.067
84.000	-30.391	0.069
85.000	-30.034	0.068
86.000	-29.677	0.068
87.000	-29.321	0.072
88.000	-28.964	0.069
89.000	-28.607	0.067
90.000	-28.250	0.063
91.000	-27.893	0.065
92.000	-27.537	0.068
93.000	-27.180	0.064
94.000	-26.823	0.069
95.000	-26.466	0.064
96.000	-26.109	0.070
97.000	-25.753	0.070
98.000	-25.396	0.065
99.000	-25.039	0.067
