# Dye Scan of Depressed Ionization Limit. No MW or Static field.
i	f	s
0.000	-60.266	0.165
1.000	-59.912	0.170
2.000	-59.559	0.169
3.000	-59.205	0.181
4.000	-58.851	0.171
5.000	-58.497	0.174
6.000	-58.143	0.176
7.000	-57.789	0.180
8.000	-57.436	0.190
9.000	-57.082	0.186
10.000	-56.728	0.181
11.000	-56.374	0.173
12.000	-56.020	0.181
13.000	-55.667	0.179
14.000	-55.313	0.180
15.000	-54.959	0.192
16.000	-54.605	0.177
17.000	-54.251	0.170
18.000	-53.897	0.171
19.000	-53.544	0.180
20.000	-53.190	0.184
21.000	-52.836	0.178
22.000	-52.482	0.184
23.000	-52.128	0.179
24.000	-51.774	0.173
25.000	-51.421	0.175
26.000	-51.067	0.180
27.000	-50.713	0.169
28.000	-50.359	0.167
29.000	-50.005	0.181
30.000	-49.652	0.170
31.000	-49.298	0.187
32.000	-48.944	0.180
33.000	-48.590	0.186
34.000	-48.236	0.182
35.000	-47.882	0.166
36.000	-47.529	0.168
37.000	-47.175	0.167
38.000	-46.821	0.182
39.000	-46.467	0.188
40.000	-46.113	0.168
41.000	-45.760	0.165
42.000	-45.406	0.168
43.000	-45.052	0.166
44.000	-44.698	0.161
45.000	-44.344	0.165
46.000	-43.990	0.153
47.000	-43.637	0.178
48.000	-43.283	0.192
49.000	-42.929	0.178
50.000	-42.575	0.172
51.000	-42.221	0.178
52.000	-41.868	0.178
53.000	-41.514	0.176
54.000	-41.160	0.175
55.000	-40.806	0.173
56.000	-40.452	0.178
57.000	-40.098	0.161
58.000	-39.745	0.157
59.000	-39.391	0.181
60.000	-39.037	0.167
61.000	-38.683	0.145
62.000	-38.329	0.150
63.000	-37.975	0.156
64.000	-37.622	0.158
65.000	-37.268	0.147
66.000	-36.914	0.172
67.000	-36.560	0.154
68.000	-36.206	0.153
69.000	-35.853	0.155
70.000	-35.499	0.154
71.000	-35.145	0.143
72.000	-34.791	0.147
73.000	-34.437	0.149
74.000	-34.083	0.140
75.000	-33.730	0.141
76.000	-33.376	0.134
77.000	-33.022	0.144
78.000	-32.668	0.137
79.000	-32.314	0.140
80.000	-31.961	0.132
81.000	-31.607	0.133
82.000	-31.253	0.137
83.000	-30.899	0.141
84.000	-30.545	0.139
85.000	-30.191	0.146
86.000	-29.838	0.148
87.000	-29.484	0.137
88.000	-29.130	0.126
89.000	-28.776	0.128
90.000	-28.422	0.134
91.000	-28.069	0.141
92.000	-27.715	0.125
93.000	-27.361	0.140
94.000	-27.007	0.142
95.000	-26.653	0.133
96.000	-26.299	0.126
97.000	-25.946	0.121
98.000	-25.592	0.126
99.000	-25.238	0.120
100.000	-24.884	0.133
101.000	-24.530	0.122
102.000	-24.176	0.112
103.000	-23.823	0.131
104.000	-23.469	0.136
105.000	-23.115	0.133
106.000	-22.761	0.124
107.000	-22.407	0.129
108.000	-22.054	0.132
109.000	-21.700	0.114
110.000	-21.346	0.127
111.000	-20.992	0.120
112.000	-20.638	0.117
113.000	-20.284	0.113
114.000	-19.931	0.112
115.000	-19.577	0.125
116.000	-19.223	0.111
117.000	-18.869	0.120
118.000	-18.515	0.123
119.000	-18.162	0.114
120.000	-17.808	0.109
121.000	-17.454	0.117
122.000	-17.100	0.104
123.000	-16.746	0.119
124.000	-16.392	0.117
125.000	-16.039	0.111
126.000	-15.685	0.117
127.000	-15.331	0.124
128.000	-14.977	0.117
129.000	-14.623	0.120
130.000	-14.270	0.114
131.000	-13.916	0.109
132.000	-13.562	0.114
133.000	-13.208	0.114
134.000	-12.854	0.120
135.000	-12.500	0.123
136.000	-12.147	0.121
137.000	-11.793	0.109
138.000	-11.439	0.112
139.000	-11.085	0.110
140.000	-10.731	0.111
141.000	-10.377	0.108
142.000	-10.024	0.096
143.000	-9.670	0.095
144.000	-9.316	0.103
145.000	-8.962	0.103
146.000	-8.608	0.099
147.000	-8.255	0.106
148.000	-7.901	0.097
149.000	-7.547	0.097
150.000	-7.193	0.097
151.000	-6.839	0.094
152.000	-6.485	0.096
153.000	-6.132	0.090
154.000	-5.778	0.085
155.000	-5.424	0.085
156.000	-5.070	0.080
157.000	-4.716	0.082
158.000	-4.363	0.076
159.000	-4.009	0.068
160.000	-3.655	0.071
161.000	-3.301	0.073
162.000	-2.947	0.069
163.000	-2.593	0.074
164.000	-2.240	0.069
165.000	-1.886	0.074
166.000	-1.532	0.068
167.000	-1.178	0.064
168.000	-0.824	0.067
169.000	-0.470	0.062
170.000	-0.117	0.057
171.000	0.237	0.052
172.000	0.591	0.051
173.000	0.945	0.059
174.000	1.299	0.055
175.000	1.652	0.061
176.000	2.006	0.052
177.000	2.360	0.044
178.000	2.714	0.042
179.000	3.068	0.043
180.000	3.422	0.042
181.000	3.775	0.050
182.000	4.129	0.050
183.000	4.483	0.045
184.000	4.837	0.045
185.000	5.191	0.049
186.000	5.544	0.045
187.000	5.898	0.039
188.000	6.252	0.050
189.000	6.606	0.046
190.000	6.960	0.048
191.000	7.314	0.050
192.000	7.667	0.051
193.000	8.021	0.045
194.000	8.375	0.048
195.000	8.729	0.047
196.000	9.083	0.047
197.000	9.436	0.047
198.000	9.790	0.049
199.000	10.144	0.048
200.000	10.498	0.046
201.000	10.852	0.047
202.000	11.206	0.048
203.000	11.559	0.049
204.000	11.913	0.045
205.000	12.267	0.044
206.000	12.621	0.045
207.000	12.975	0.045
208.000	13.329	0.041
209.000	13.682	0.044
210.000	14.036	0.041
211.000	14.390	0.043
212.000	14.744	0.041
213.000	15.098	0.047
214.000	15.451	0.038
215.000	15.805	0.045
216.000	16.159	0.046
217.000	16.513	0.044
218.000	16.867	0.046
219.000	17.221	0.043
220.000	17.574	0.045
221.000	17.928	0.048
222.000	18.282	0.042
223.000	18.636	0.044
224.000	18.990	0.046
225.000	19.343	0.045
226.000	19.697	0.044
227.000	20.051	0.043
228.000	20.405	0.041
229.000	20.759	0.042
230.000	21.113	0.043
231.000	21.466	0.042
232.000	21.820	0.038
233.000	22.174	0.038
234.000	22.528	0.041
235.000	22.882	0.041
236.000	23.235	0.044
237.000	23.589	0.041
238.000	23.943	0.043
239.000	24.297	0.044
240.000	24.651	0.042
241.000	25.005	0.043
242.000	25.358	0.041
243.000	25.712	0.045
244.000	26.066	0.043
245.000	26.420	0.041
246.000	26.774	0.040
247.000	27.128	0.043
248.000	27.481	0.045
249.000	27.835	0.049
250.000	28.189	0.042
251.000	28.543	0.046
252.000	28.897	0.041
253.000	29.250	0.039
254.000	29.604	0.042
255.000	29.958	0.045
256.000	30.312	0.052
257.000	30.666	0.051
258.000	31.020	0.048
259.000	31.373	0.046
260.000	31.727	0.048
261.000	32.081	0.044
262.000	32.435	0.044
263.000	32.789	0.047
264.000	33.142	0.051
265.000	33.496	0.048
266.000	33.850	0.044
267.000	34.204	0.044
268.000	34.558	0.045
269.000	34.912	0.043
270.000	35.265	0.042
271.000	35.619	0.041
272.000	35.973	0.046
273.000	36.327	0.046
274.000	36.681	0.052
275.000	37.034	0.049
276.000	37.388	0.044
277.000	37.742	0.046
278.000	38.096	0.045
279.000	38.450	0.042
280.000	38.804	0.042
281.000	39.157	0.047
282.000	39.511	0.046
283.000	39.865	0.050
284.000	40.219	0.047
285.000	40.573	0.046
286.000	40.927	0.043
287.000	41.280	0.045
288.000	41.634	0.039
289.000	41.988	0.042
290.000	42.342	0.046
291.000	42.696	0.044
292.000	43.049	0.046
293.000	43.403	0.043
294.000	43.757	0.043
295.000	44.111	0.043
296.000	44.465	0.040
297.000	44.819	0.041
298.000	45.172	0.043
299.000	45.526	0.044
300.000	45.880	0.048
0.000	-60.367	0.169
1.000	-60.013	0.180
2.000	-59.660	0.175
3.000	-59.306	0.166
4.000	-58.953	0.185
5.000	-58.599	0.165
6.000	-58.246	0.168
7.000	-57.892	0.175
8.000	-57.539	0.177
9.000	-57.185	0.176
10.000	-56.832	0.175
11.000	-56.478	0.181
12.000	-56.125	0.182
13.000	-55.771	0.177
14.000	-55.418	0.184
15.000	-55.064	0.181
16.000	-54.711	0.173
17.000	-54.357	0.168
18.000	-54.004	0.183
19.000	-53.650	0.194
20.000	-53.297	0.177
21.000	-52.943	0.175
22.000	-52.590	0.177
23.000	-52.236	0.182
24.000	-51.883	0.176
25.000	-51.529	0.186
26.000	-51.176	0.203
27.000	-50.822	0.178
28.000	-50.469	0.177
29.000	-50.115	0.183
30.000	-49.762	0.166
31.000	-49.408	0.175
32.000	-49.055	0.191
33.000	-48.701	0.181
34.000	-48.348	0.175
35.000	-47.994	0.168
36.000	-47.641	0.162
37.000	-47.287	0.182
38.000	-46.934	0.179
39.000	-46.580	0.175
40.000	-46.227	0.186
41.000	-45.873	0.182
42.000	-45.520	0.180
43.000	-45.167	0.181
44.000	-44.813	0.169
45.000	-44.460	0.169
46.000	-44.106	0.181
47.000	-43.753	0.174
48.000	-43.399	0.170
49.000	-43.046	0.164
50.000	-42.692	0.169
51.000	-42.339	0.153
52.000	-41.985	0.160
53.000	-41.632	0.166
54.000	-41.278	0.154
55.000	-40.925	0.153
56.000	-40.571	0.166
57.000	-40.218	0.171
58.000	-39.864	0.175
59.000	-39.511	0.158
60.000	-39.157	0.169
61.000	-38.804	0.174
62.000	-38.450	0.160
63.000	-38.097	0.155
64.000	-37.743	0.161
65.000	-37.390	0.168
66.000	-37.036	0.168
67.000	-36.683	0.159
68.000	-36.329	0.153
69.000	-35.976	0.151
70.000	-35.622	0.141
71.000	-35.269	0.140
72.000	-34.915	0.147
73.000	-34.562	0.140
74.000	-34.208	0.137
75.000	-33.855	0.146
76.000	-33.501	0.149
77.000	-33.148	0.150
78.000	-32.794	0.154
79.000	-32.441	0.139
80.000	-32.087	0.134
81.000	-31.734	0.147
82.000	-31.380	0.138
83.000	-31.027	0.152
84.000	-30.673	0.158
85.000	-30.320	0.149
86.000	-29.967	0.159
87.000	-29.613	0.151
88.000	-29.260	0.145
89.000	-28.906	0.130
90.000	-28.553	0.127
91.000	-28.199	0.137
92.000	-27.846	0.141
93.000	-27.492	0.136
94.000	-27.139	0.135
95.000	-26.785	0.127
96.000	-26.432	0.140
97.000	-26.078	0.135
98.000	-25.725	0.141
99.000	-25.371	0.128
100.000	-25.018	0.138
101.000	-24.664	0.132
102.000	-24.311	0.141
103.000	-23.957	0.138
104.000	-23.604	0.140
105.000	-23.250	0.145
106.000	-22.897	0.144
107.000	-22.543	0.140
108.000	-22.190	0.122
109.000	-21.836	0.133
110.000	-21.483	0.132
111.000	-21.129	0.128
112.000	-20.776	0.136
113.000	-20.422	0.133
114.000	-20.069	0.133
115.000	-19.715	0.140
116.000	-19.362	0.130
117.000	-19.008	0.125
118.000	-18.655	0.120
119.000	-18.301	0.135
120.000	-17.948	0.136
121.000	-17.594	0.121
122.000	-17.241	0.122
123.000	-16.887	0.122
124.000	-16.534	0.122
125.000	-16.180	0.123
126.000	-15.827	0.117
127.000	-15.473	0.119
128.000	-15.120	0.121
129.000	-14.767	0.116
130.000	-14.413	0.130
131.000	-14.060	0.125
132.000	-13.706	0.129
133.000	-13.353	0.129
134.000	-12.999	0.128
135.000	-12.646	0.133
136.000	-12.292	0.114
137.000	-11.939	0.114
138.000	-11.585	0.116
139.000	-11.232	0.116
140.000	-10.878	0.105
141.000	-10.525	0.118
142.000	-10.171	0.111
143.000	-9.818	0.107
144.000	-9.464	0.113
145.000	-9.111	0.110
146.000	-8.757	0.109
147.000	-8.404	0.114
148.000	-8.050	0.105
149.000	-7.697	0.105
150.000	-7.343	0.101
151.000	-6.990	0.092
152.000	-6.636	0.089
153.000	-6.283	0.097
154.000	-5.929	0.099
155.000	-5.576	0.094
156.000	-5.222	0.091
157.000	-4.869	0.086
158.000	-4.515	0.078
159.000	-4.162	0.090
160.000	-3.808	0.081
161.000	-3.455	0.081
162.000	-3.101	0.079
163.000	-2.748	0.081
164.000	-2.394	0.074
165.000	-2.041	0.067
166.000	-1.687	0.071
167.000	-1.334	0.065
168.000	-0.980	0.058
169.000	-0.627	0.054
170.000	-0.273	0.062
171.000	0.080	0.061
172.000	0.433	0.058
173.000	0.787	0.058
174.000	1.140	0.055
175.000	1.494	0.051
176.000	1.847	0.054
177.000	2.201	0.057
178.000	2.554	0.052
179.000	2.908	0.054
180.000	3.261	0.048
181.000	3.615	0.050
182.000	3.968	0.048
183.000	4.322	0.053
184.000	4.675	0.055
185.000	5.029	0.052
186.000	5.382	0.050
187.000	5.736	0.047
188.000	6.089	0.048
189.000	6.443	0.044
190.000	6.796	0.039
191.000	7.150	0.043
192.000	7.503	0.044
193.000	7.857	0.045
194.000	8.210	0.046
195.000	8.564	0.043
