# 19 dB MW Attn, -30 GHz DIL?
i	f	s
0.000	-100.120	0.006
1.000	-100.020	0.004
2.000	-99.920	0.006
3.000	-99.620	0.011
4.000	-99.420	0.007
5.000	-99.120	0.001
6.000	-99.020	0.012
7.000	-98.620	0.012
8.000	-98.420	0.002
9.000	-98.220	0.008
10.000	-97.620	0.016
11.000	-97.520	0.009
12.000	-97.220	0.009
13.000	-96.820	0.008
14.000	-96.420	0.006
15.000	-96.220	0.009
16.000	-95.620	0.006
17.000	-95.520	0.009
18.000	-95.220	0.009
19.000	-94.720	0.014
20.000	-94.420	0.016
21.000	-93.920	0.011
22.000	-93.720	0.015
23.000	-93.420	0.017
24.000	-93.020	0.007
25.000	-92.820	0.015
26.000	-92.620	0.008
27.000	-92.120	0.007
28.000	-91.920	0.007
29.000	-91.520	0.004
30.000	-90.920	0.010
31.000	-90.620	0.019
32.000	-90.320	0.006
33.000	-89.820	0.013
34.000	-89.520	0.013
35.000	-89.120	0.010
36.000	-88.720	0.014
37.000	-88.420	0.009
38.000	-88.020	0.013
39.000	-87.520	0.008
40.000	-87.220	0.012
41.000	-86.920	0.013
42.000	-86.520	0.011
43.000	-86.220	0.013
44.000	-85.720	0.019
45.000	-85.420	0.005
46.000	-85.020	0.013
47.000	-84.520	0.011
48.000	-84.320	0.014
49.000	-83.820	0.015
50.000	-83.520	0.014
51.000	-83.320	0.011
52.000	-83.020	0.010
53.000	-82.420	0.011
54.000	-82.020	0.006
55.000	-81.720	0.009
56.000	-81.220	0.014
57.000	-81.020	0.010
58.000	-80.820	0.006
59.000	-80.420	0.007
60.000	-80.220	0.007
61.000	-79.820	0.002
62.000	-79.220	0.013
63.000	-78.520	0.007
64.000	-78.520	0.005
65.000	-78.020	0.004
66.000	-77.820	0.008
67.000	-77.720	0.006
68.000	-77.420	0.005
69.000	-77.120	0.013
70.000	-76.820	0.011
71.000	-76.320	0.006
72.000	-76.120	0.008
73.000	-75.820	0.007
74.000	-75.220	0.009
75.000	-75.020	0.010
76.000	-74.920	0.006
77.000	-74.420	0.005
78.000	-74.120	0.005
79.000	-73.820	0.013
80.000	-73.420	0.011
81.000	-73.120	0.009
82.000	-72.720	0.010
83.000	-72.320	0.006
84.000	-72.020	0.009
85.000	-71.820	0.007
86.000	-71.320	0.012
87.000	-70.920	0.007
88.000	-70.420	0.015
89.000	-70.120	0.012
90.000	-69.820	0.008
91.000	-69.320	0.007
92.000	-69.120	0.003
93.000	-68.820	0.003
94.000	-68.420	0.005
95.000	-68.120	0.007
96.000	-67.820	0.010
97.000	-67.220	0.001
98.000	-67.020	0.005
99.000	-66.620	0.005
100.000	-66.320	0.007
101.000	-65.820	0.001
102.000	-65.620	0.010
103.000	-65.120	0.005
104.000	-64.920	0.002
105.000	-64.720	0.005
106.000	-64.020	0.007
107.000	-63.820	0.007
108.000	-63.420	0.008
109.000	-62.920	0.008
110.000	-62.720	0.004
111.000	-62.420	0.008
112.000	-62.120	0.007
113.000	-61.820	0.004
114.000	-61.520	0.003
115.000	-61.020	0.006
116.000	-60.720	0.006
117.000	-60.420	0.011
118.000	-60.120	0.006
119.000	-59.620	0.007
120.000	-59.320	0.007
121.000	-58.920	0.008
122.000	-58.620	0.012
123.000	-58.320	0.002
124.000	-57.620	0.013
125.000	-57.320	0.008
126.000	-57.120	0.008
127.000	-56.420	0.015
128.000	-56.020	0.004
129.000	-55.620	0.008
130.000	-55.520	0.006
131.000	-55.320	0.007
132.000	-54.620	0.011
133.000	-54.420	0.012
134.000	-54.120	0.003
135.000	-53.520	0.004
136.000	-53.320	0.004
137.000	-53.020	0.007
138.000	-52.620	0.008
139.000	-52.320	0.005
140.000	-51.920	0.003
141.000	-51.520	0.011
