# MW Resoncance Scan w/ the Dye laser.
# Hittite at 18510.6 MHz & 18.6 dBm
# MW Attn at 9 dB
i	f	s
0.000	-60.165	0.062
1.000	-59.809	0.065
2.000	-59.454	0.064
3.000	-59.098	0.063
4.000	-58.743	0.063
5.000	-58.387	0.061
6.000	-58.032	0.065
7.000	-57.676	0.058
8.000	-57.321	0.065
9.000	-56.965	0.064
10.000	-56.610	0.061
11.000	-56.254	0.067
12.000	-55.899	0.068
13.000	-55.543	0.069
14.000	-55.188	0.064
15.000	-54.832	0.066
16.000	-54.477	0.068
17.000	-54.121	0.064
18.000	-53.766	0.063
19.000	-53.410	0.070
20.000	-53.055	0.066
21.000	-52.699	0.070
22.000	-52.344	0.065
23.000	-51.988	0.065
24.000	-51.633	0.070
25.000	-51.277	0.074
26.000	-50.922	0.066
27.000	-50.567	0.072
28.000	-50.211	0.069
29.000	-49.856	0.069
30.000	-49.500	0.072
31.000	-49.145	0.073
32.000	-48.789	0.078
33.000	-48.434	0.077
34.000	-48.078	0.074
35.000	-47.723	0.076
36.000	-47.367	0.075
37.000	-47.012	0.076
38.000	-46.656	0.071
39.000	-46.301	0.077
40.000	-45.945	0.080
41.000	-45.590	0.079
42.000	-45.234	0.080
43.000	-44.879	0.080
44.000	-44.523	0.076
45.000	-44.168	0.080
46.000	-43.812	0.083
47.000	-43.457	0.076
48.000	-43.101	0.070
49.000	-42.746	0.075
50.000	-42.390	0.080
51.000	-42.035	0.073
52.000	-41.679	0.078
53.000	-41.324	0.078
54.000	-40.969	0.073
55.000	-40.613	0.079
56.000	-40.258	0.080
57.000	-39.902	0.078
58.000	-39.547	0.072
59.000	-39.191	0.072
60.000	-38.836	0.073
61.000	-38.480	0.070
62.000	-38.125	0.070
63.000	-37.769	0.069
64.000	-37.414	0.068
65.000	-37.058	0.069
66.000	-36.703	0.065
67.000	-36.347	0.070
68.000	-35.992	0.067
69.000	-35.636	0.070
70.000	-35.281	0.072
71.000	-34.925	0.067
72.000	-34.570	0.064
73.000	-34.214	0.064
74.000	-33.859	0.062
75.000	-33.503	0.062
76.000	-33.148	0.062
77.000	-32.792	0.065
78.000	-32.437	0.069
79.000	-32.081	0.063
80.000	-31.726	0.063
81.000	-31.370	0.063
82.000	-31.015	0.061
83.000	-30.660	0.058
84.000	-30.304	0.059
85.000	-29.949	0.064
86.000	-29.593	0.068
87.000	-29.238	0.067
88.000	-28.882	0.069
89.000	-28.527	0.067
90.000	-28.171	0.068
91.000	-27.816	0.067
92.000	-27.460	0.069
93.000	-27.105	0.065
94.000	-26.749	0.067
95.000	-26.394	0.074
96.000	-26.038	0.068
97.000	-25.683	0.071
98.000	-25.327	0.070
99.000	-24.972	0.072
100.000	-24.616	0.071
101.000	-24.261	0.068
102.000	-23.905	0.070
103.000	-23.550	0.069
104.000	-23.194	0.068
105.000	-22.839	0.070
106.000	-22.483	0.066
107.000	-22.128	0.070
108.000	-21.772	0.072
109.000	-21.417	0.072
110.000	-21.062	0.070
111.000	-20.706	0.068
112.000	-20.351	0.070
113.000	-19.995	0.073
114.000	-19.640	0.072
115.000	-19.284	0.073
116.000	-18.929	0.075
117.000	-18.573	0.074
118.000	-18.218	0.075
119.000	-17.862	0.074
120.000	-17.507	0.073
121.000	-17.151	0.074
122.000	-16.796	0.074
123.000	-16.440	0.076
124.000	-16.085	0.072
125.000	-15.729	0.072
126.000	-15.374	0.074
127.000	-15.018	0.076
128.000	-14.663	0.063
129.000	-14.307	0.068
130.000	-13.952	0.073
131.000	-13.596	0.074
132.000	-13.241	0.073
133.000	-12.885	0.074
134.000	-12.530	0.075
135.000	-12.174	0.078
136.000	-11.819	0.076
137.000	-11.464	0.074
138.000	-11.108	0.074
139.000	-10.753	0.073
140.000	-10.397	0.077
141.000	-10.042	0.077
142.000	-9.686	0.072
143.000	-9.331	0.080
144.000	-8.975	0.078
145.000	-8.620	0.084
146.000	-8.264	0.082
147.000	-7.909	0.080
148.000	-7.553	0.073
149.000	-7.198	0.079
150.000	-6.842	0.080
151.000	-6.487	0.078
152.000	-6.131	0.080
153.000	-5.776	0.076
154.000	-5.420	0.079
155.000	-5.065	0.080
156.000	-4.709	0.077
157.000	-4.354	0.076
158.000	-3.998	0.077
159.000	-3.643	0.078
160.000	-3.287	0.080
161.000	-2.932	0.076
162.000	-2.576	0.073
163.000	-2.221	0.073
164.000	-1.866	0.070
165.000	-1.510	0.069
166.000	-1.155	0.069
167.000	-0.799	0.067
168.000	-0.444	0.067
169.000	-0.088	0.068
170.000	0.267	0.069
171.000	0.623	0.065
172.000	0.978	0.065
173.000	1.334	0.067
174.000	1.689	0.067
175.000	2.045	0.067
176.000	2.400	0.064
177.000	2.756	0.063
178.000	3.111	0.062
179.000	3.467	0.066
180.000	3.822	0.061
181.000	4.178	0.062
182.000	4.533	0.062
183.000	4.889	0.063
184.000	5.244	0.069
185.000	5.600	0.067
186.000	5.955	0.069
187.000	6.311	0.066
188.000	6.666	0.066
189.000	7.022	0.063
190.000	7.377	0.059
191.000	7.732	0.060
192.000	8.088	0.063
193.000	8.443	0.063
194.000	8.799	0.064
195.000	9.154	0.061
196.000	9.510	0.064
197.000	9.865	0.058
198.000	10.221	0.061
199.000	10.576	0.065
200.000	10.932	0.067
201.000	11.287	0.065
202.000	11.643	0.065
203.000	11.998	0.063
204.000	12.354	0.065
205.000	12.709	0.059
206.000	13.065	0.060
207.000	13.420	0.058
208.000	13.776	0.056
209.000	14.131	0.056
210.000	14.487	0.061
211.000	14.842	0.060
212.000	15.198	0.063
213.000	15.553	0.064
214.000	15.909	0.064
215.000	16.264	0.063
216.000	16.620	0.065
217.000	16.975	0.064
218.000	17.330	0.063
219.000	17.686	0.066
220.000	18.041	0.067
221.000	18.397	0.069
222.000	18.752	0.067
223.000	19.108	0.064
224.000	19.463	0.064
225.000	19.819	0.067
226.000	20.174	0.069
227.000	20.530	0.071
228.000	20.885	0.069
229.000	21.241	0.077
230.000	21.596	0.074
231.000	21.952	0.069
232.000	22.307	0.074
233.000	22.663	0.080
234.000	23.018	0.071
235.000	23.374	0.068
236.000	23.729	0.066
237.000	24.085	0.068
238.000	24.440	0.073
239.000	24.796	0.076
240.000	25.151	0.077
241.000	25.507	0.074
242.000	25.862	0.078
243.000	26.218	0.080
244.000	26.573	0.072
245.000	26.929	0.074
246.000	27.284	0.073
247.000	27.639	0.070
248.000	27.995	0.075
249.000	28.350	0.076
250.000	28.706	0.072
251.000	29.061	0.076
252.000	29.417	0.076
253.000	29.772	0.072
