# MW Resoncance Scan w/ the Dye laser.
# Hittite at 18510.6 MHz & 18.6 dBm
# MW Attn at 26 dB
i	f	s
0.000	-60.163	0.138
1.000	-59.805	0.151
2.000	-59.448	0.137
3.000	-59.090	0.137
4.000	-58.733	0.135
5.000	-58.375	0.132
6.000	-58.018	0.137
7.000	-57.660	0.133
8.000	-57.303	0.143
9.000	-56.945	0.150
10.000	-56.588	0.134
11.000	-56.230	0.143
12.000	-55.873	0.149
13.000	-55.515	0.143
14.000	-55.158	0.157
15.000	-54.800	0.153
16.000	-54.443	0.140
17.000	-54.085	0.144
18.000	-53.728	0.147
19.000	-53.370	0.155
20.000	-53.013	0.145
21.000	-52.656	0.156
22.000	-52.298	0.146
23.000	-51.941	0.146
24.000	-51.583	0.137
25.000	-51.226	0.131
26.000	-50.868	0.141
27.000	-50.511	0.136
28.000	-50.153	0.133
29.000	-49.796	0.147
30.000	-49.438	0.144
31.000	-49.081	0.143
32.000	-48.723	0.131
33.000	-48.366	0.128
34.000	-48.008	0.137
35.000	-47.651	0.142
36.000	-47.293	0.138
37.000	-46.936	0.140
38.000	-46.578	0.137
39.000	-46.221	0.134
40.000	-45.864	0.140
41.000	-45.506	0.132
42.000	-45.149	0.125
43.000	-44.791	0.139
44.000	-44.434	0.122
45.000	-44.076	0.132
46.000	-43.719	0.132
47.000	-43.361	0.138
48.000	-43.004	0.128
49.000	-42.646	0.128
50.000	-42.289	0.126
51.000	-41.931	0.130
52.000	-41.574	0.143
53.000	-41.216	0.130
54.000	-40.859	0.127
55.000	-40.501	0.121
56.000	-40.144	0.120
57.000	-39.786	0.127
58.000	-39.429	0.122
59.000	-39.071	0.120
60.000	-38.714	0.119
61.000	-38.357	0.117
62.000	-37.999	0.125
63.000	-37.642	0.117
64.000	-37.284	0.114
65.000	-36.927	0.117
66.000	-36.569	0.119
67.000	-36.212	0.118
68.000	-35.854	0.112
69.000	-35.497	0.112
70.000	-35.139	0.111
71.000	-34.782	0.108
72.000	-34.424	0.116
