# Title: Diode Laser Frequency Scan of 3d_3/2 -> 27f w/o static or MW
# Note:	Frequency Scan at n=27. No Static, no PM, no MW. Testing a close up scan.
# Type:	Frequency
# Hittite Freq:	185511.7 MHz
# Hittite: Power	14 dBm
# Laser Freq:	NaN
# Laser Mod:	NaN
# Laser Mod Attn:	MAX
# MW Attn:	MAX
# Delay:	1000 ns
# MW Off:	Laser + 100 ns
# Top w/o Static:	+4.4 mV
# Static:	0 V
# Static Off:	NaN
i	f	n	nb	s	sb
0.000	-4511.520	1.000	0.000	0.030	0.020
1.000	-4511.420	1.000	0.000	0.035	0.020
2.000	-4511.420	1.000	0.000	0.030	0.020
3.000	-4511.420	1.000	0.000	0.032	0.020
4.000	-4511.420	1.000	0.000	0.034	0.020
5.000	-4511.420	1.000	0.000	0.028	0.020
6.000	-4511.420	1.000	0.000	0.029	0.020
7.000	-4511.420	1.000	0.000	0.031	0.020
8.000	-4511.420	1.000	0.000	0.029	0.020
9.000	-4511.420	1.000	0.000	0.030	0.020
10.000	-4511.420	1.000	0.000	0.031	0.020
11.000	-4511.420	1.000	0.000	0.029	0.020
12.000	-4511.420	1.000	0.000	0.024	0.020
13.000	-4511.320	1.000	0.000	0.029	0.020
14.000	-4511.320	1.000	0.000	0.038	0.020
15.000	-4511.320	1.000	0.000	0.031	0.020
16.000	-4511.320	1.000	0.000	0.027	0.020
17.000	-4511.320	1.000	0.000	0.034	0.020
18.000	-4511.320	1.000	0.000	0.032	0.020
19.000	-4511.320	1.000	0.000	0.030	0.020
20.000	-4511.320	1.000	0.000	0.025	0.020
21.000	-4511.320	1.000	0.000	0.035	0.020
22.000	-4511.320	1.000	0.000	0.036	0.020
23.000	-4511.320	1.000	0.000	0.028	0.020
24.000	-4511.320	1.000	0.000	0.034	0.020
25.000	-4511.320	1.000	0.000	0.032	0.020
26.000	-4511.320	1.000	0.000	0.036	0.020
27.000	-4511.320	1.000	0.000	0.032	0.020
28.000	-4511.320	1.000	0.000	0.039	0.020
29.000	-4511.320	1.000	0.000	0.035	0.020
30.000	-4511.320	1.000	0.000	0.030	0.020
31.000	-4511.320	1.000	0.000	0.033	0.020
32.000	-4511.320	1.000	0.000	0.037	0.020
33.000	-4511.320	1.000	0.000	0.034	0.020
34.000	-4511.320	1.000	0.000	0.041	0.020
35.000	-4511.320	1.000	0.000	0.032	0.020
36.000	-4511.220	1.000	0.000	0.036	0.020
