# Filename	C:\Users\labuser\Documents\Data\2018-10-23\2_fscan.txt
# Date	2018-10-23-22:32
# Source	C:\Users\labuser\Documents\Labview_prog\T2100\scan_freq.vi
# MW Power (dBm)	14.00
# Note	Hittite HMC-T2100 Connected to Splitter to Mixer to Doubler to -20 dB o Amp to Var Attn to Cavity. Var Attn at 20 dB. Laser at n=27 + f_MW. MW Pulse from Laser -200 ns to +100 ns. Looking for Sideband signal.
# Frequency (Hz)	Background (V)	Voltage (V)	Reference (V)
18500000000.000	0.003	0.019	0.003
18502000000.000	0.003	0.031	0.005
18504000000.000	0.003	0.042	0.003
18506000000.000	0.003	0.069	-0.000
18508000000.000	0.003	0.073	0.005
18510000000.000	0.003	0.083	0.003
18512000000.000	0.003	0.086	0.003
18514000000.000	0.003	0.060	0.005
18516000000.000	0.003	0.047	0.003
18518000000.000	0.003	0.036	0.000
18520000000.000	0.003	0.032	0.007
18500200000.000	0.003	0.022	0.003
18502200000.000	0.003	0.029	0.004
18504200000.000	0.003	0.047	0.001
18506200000.000	0.003	0.061	0.004
18508200000.000	0.003	0.069	0.003
18510200000.000	0.003	0.078	0.001
18512200000.000	0.003	0.074	0.001
18514200000.000	0.003	0.056	0.002
18516200000.000	0.003	0.043	-0.000
18518200000.000	0.003	0.041	0.009
18500400000.000	0.003	0.027	0.005
18502400000.000	0.003	0.040	0.006
18504400000.000	0.003	0.041	0.005
18506400000.000	0.003	0.063	0.002
18508400000.000	0.003	0.081	0.005
18510400000.000	0.003	0.079	0.003
18512400000.000	0.003	0.070	0.006
18514400000.000	0.003	0.061	0.003
18516400000.000	0.003	0.042	0.005
18518400000.000	0.003	0.033	-0.000
18500600000.000	0.003	0.026	0.005
18502600000.000	0.003	0.034	0.007
18504600000.000	0.003	0.048	0.000
18506600000.000	0.003	0.066	0.006
18508600000.000	0.003	0.077	0.005
18510600000.000	0.003	0.097	0.004
18512600000.000	0.003	0.071	0.006
18514600000.000	0.003	0.051	0.001
18516600000.000	0.003	0.041	-0.002
18518600000.000	0.003	0.023	0.002
18500800000.000	0.003	0.034	0.003
18502800000.000	0.003	0.031	0.001
18504800000.000	0.003	0.049	0.008
18506800000.000	0.003	0.057	0.004
18508800000.000	0.003	0.076	0.004
18510800000.000	0.003	0.080	0.006
18512800000.000	0.003	0.064	0.005
18514800000.000	0.003	0.048	0.005
18516800000.000	0.003	0.043	0.003
18518800000.000	0.003	0.033	0.003
18501000000.000	0.003	0.029	0.006
18503000000.000	0.003	0.045	0.006
18505000000.000	0.003	0.054	0.003
18507000000.000	0.003	0.063	0.004
18509000000.000	0.003	0.071	0.006
18511000000.000	0.003	0.071	0.005
18513000000.000	0.003	0.052	0.006
18515000000.000	0.003	0.049	0.001
18517000000.000	0.003	0.039	0.005
18519000000.000	0.003	0.028	0.002
18501200000.000	0.003	0.035	0.005
18503200000.000	0.003	0.039	0.003
18505200000.000	0.003	0.055	0.004
18507200000.000	0.003	0.073	0.004
18509200000.000	0.003	0.074	-0.002
18511200000.000	0.003	0.069	0.008
18513200000.000	0.003	0.054	0.002
18515200000.000	0.003	0.041	0.004
18517200000.000	0.003	0.047	0.001
18519200000.000	0.003	0.024	0.002
18501400000.000	0.003	0.035	0.006
18503400000.000	0.003	0.041	0.003
18505400000.000	0.003	0.045	-0.000
18507400000.000	0.003	0.069	0.003
18509400000.000	0.003	0.079	0.002
18511400000.000	0.003	0.072	0.003
18513400000.000	0.003	0.064	0.004
18515400000.000	0.003	0.050	-0.002
18517400000.000	0.003	0.027	0.005
18519400000.000	0.003	0.034	0.008
18501600000.000	0.003	0.042	0.006
18503600000.000	0.003	0.043	0.006
18505600000.000	0.003	0.071	0.006
18507600000.000	0.003	0.084	0.008
18509600000.000	0.003	0.078	0.006
18511600000.000	0.003	0.084	0.007
18513600000.000	0.003	0.056	0.004
18515600000.000	0.003	0.044	0.004
18517600000.000	0.003	0.039	0.003
18519600000.000	0.003	0.030	0.004
18501800000.000	0.003	0.029	0.004
18503800000.000	0.003	0.043	0.008
18505800000.000	0.003	0.052	0.005
18507800000.000	0.003	0.080	0.001
18509800000.000	0.003	0.084	0.007
18511800000.000	0.003	0.099	0.003
18513800000.000	0.003	0.071	0.006
18515800000.000	0.003	0.038	0.004
18517800000.000	0.003	0.036	0.004
18519800000.000	0.003	0.024	0.006
